sample_id,source_sheet,source_row_excel,membrane_name_raw,smiles_single,smiles_triple,occupied_volume_1,occupied_volume_2,ffv,aging_days,thickness_um,p_he_barrer,p_h2_barrer,p_n2_barrer,p_o2_barrer,p_ch4_barrer,p_co2_barrer,sel_h2_n2,sel_h2_ch4,sel_o2_n2,sel_co2_n2,sel_co2_ch4,refs_perm,refs_ffv,backbone_family,contortion_unit_family,modification_family,log10_p_co2_barrer,log10_p_ch4_barrer,log10_p_n2_barrer,log10_ffv,sel_co2_ch4_from_perm,sel_co2_n2_from_perm,log10_sel_co2_ch4,log10_sel_co2_n2,log10_sel_co2_ch4_from_perm,log10_sel_co2_n2_from_perm,sel_co2_ch4_rel_error,sel_co2_n2_rel_error,has_smiles,has_ffv,has_aging,has_thickness,has_co2_perm,has_ch4_perm,has_n2_perm,has_co2_ch4_sel,has_co2_n2_sel,eligible_ffv_pilot,eligible_co2_main,eligible_co2_ch4_pair,eligible_co2_n2_pair
S002,Sheet1,4,COOH-PIM-1,O=C(O)c1c2c(Oc3c(cc4[C@@]5(c6cc(c(cc6C(C5)(C)C)O*)O*)C(Cc4c3)(C)C)O2)c(c(c1*)*)C(=O)O,,14602.37,35196.99,,15.0,,,90.53,1.8,9.8,3.82,96.43,,,5.4,53.6,25.2,[S25],,,,,1.9842121667614339,0.5820633629117087,0.25527250510330607,,25.2434554973822,53.57222222222222,1.4014005407815442,1.72916478969277,1.4021488038497252,1.7289396616581278,0.0017244244992936906,0.0005182421227197493,True,False,True,False,True,True,True,True,True,False,True,True,True
S004,Sheet1,6,Thio−PIM-1,c1(c(cc2c(c1)C(C[C@]12C(Cc2c1cc1c(c2)Oc2c(O1)c(c(c(c2C(=S)N)*)*)C(=S)N)(C)C)(C)C)O*)O*,,,,,0.0,,270.0,610.0,37.0,140.0,56.0,1120.0,,,3.8,30.0,20.0,[S106],,,,,3.0492180226701815,1.7481880270062005,1.568201724066995,,20.0,30.27027027027027,1.3010299956639813,1.4771212547196624,1.3010299956639813,1.4810162986031865,0.0,0.009009009009009005,True,False,True,False,True,True,True,True,True,False,True,True,True
S005,Sheet1,7,AO−PIM-1,c1(c(cc2c(c1)C(C[C@]12C(Cc2c1cc1c(c2)Oc2c(O1)c(c(c(c2/C(=N/O)/[N+](=O)[O-])*)*)/C(=N/O)/[N+](=O)[O-])(C)C)(C)C)O*)O*,,,,0.26,0.0,,412.0,912.0,33.0,147.0,34.0,1153.0,,,4.5,35.0,34.0,[S14],,,,,3.061829307294699,1.5314789170422551,1.5185139398778875,-0.585026652029182,33.911764705882355,34.93939393939394,1.5314789170422551,1.5440680443502757,1.530350390252444,1.5433153674168114,0.0025951557093424993,0.0017316017316017808,True,True,True,False,True,True,True,True,True,True,True,True,True
S006,Sheet1,8,PIM-1-M,c1(c(cc2c(c1C)C(C[C@]12C(Cc2c1cc1c(c2C)Oc2c(O1)c(c(c(c2CN)*)*)CN)(C)C)(C)C)O*)O*,,,,0.337,0.0,,,3710.0,850.0,2180.0,1525.0,14180.0,,,2.6,17.0,9.0,[S107],,,,,4.151676230847047,3.1832698436828046,2.929418925714293,-0.47237009912866135,9.298360655737705,16.68235294117647,0.9542425094393249,1.2304489213782739,0.9684063871642431,1.222257305132755,0.033151183970856084,0.01868512110726637,True,True,True,False,True,True,True,True,True,True,True,True,True
S007,Sheet1,9,PIM-1-MBr,c1(c(cc2c(c1CBr)C(C[C@]12C(Cc2c1cc1c(c2CBr)Oc2c(O1)c(c(c(c2CN)*)*)CN)(C)C)(C)C)O*)O*,,,,,0.0,,,1300.0,115.0,480.0,185.0,3200.0,,,,27.0,17.0,[S107],,,,,3.505149978319906,2.2671717284030137,2.060697840353612,,17.2972972972973,27.82608695652174,1.2304489213782739,1.4313637641589874,1.237978249916892,1.4444521379662942,0.01748807631160578,0.03059581320450883,True,False,True,False,True,True,True,True,True,False,True,True,True
S008,Sheet1,10,Brominated vinylated PIM-1,C(=C\Br)(\Br)/c1c(c(cc2c1C(C[C@]12C(Cc2c1cc1c(c2/C(=C/Br)/Br)Oc2c(O1)c(c(c(c2CN)*)*)CN)(C)C)(C)C)O*)O*,,,,0.238,0.0,,,675.0,90.0,305.0,130.0,1890.0,,,,21.0,15.0,[S107],,,,,3.2764618041732443,2.113943352306837,1.954242509439325,-0.623423042943488,14.538461538461538,21.0,1.1760912590556813,1.3222192947339193,1.1625184518664073,1.3222192947339193,0.030769230769230778,0.0,True,True,True,False,True,True,True,True,True,True,True,True,True
S009,Sheet1,11,Thiophenated vinylated PIM-1,C(CSc1ccccc1)c1c(c(cc2c1C(C[C@]12C(Cc2c1cc1c(c2CCSc2ccccc2)Oc2c(O1)c(c(c(c2CN)*)*)CN)(C)C)(C)C)O*)O*,,,,0.238,0.0,,,775.0,70.0,234.0,125.0,1735.0,,,,25.0,14.0,[S107],,,,,3.2392994791268923,2.0969100130080562,1.845098040014257,-0.623423042943488,13.88,24.785714285714285,1.146128035678238,1.3979400086720377,1.142389466118836,1.3942014391126356,0.008571428571428516,0.008571428571428612,True,True,True,False,True,True,True,True,True,True,True,True,True
S010,Sheet1,12,Vinylated PIM-1,c1(c(cc2c(c1C=C)C(C[C@]12C(Cc2c1cc1c(c2C=C)Oc2c(O1)c(c(c(c2CN)*)*)CN)(C)C)(C)C)O*)O*,,,,0.268,0.0,,,1080.0,130.0,410.0,260.0,3240.0,,,,26.0,12.0,[S107],,,,,3.510545010206612,2.4149733479708178,2.113943352306837,-0.5718652059712112,12.461538461538462,24.923076923076923,1.0791812460476249,1.414973347970818,1.0955716622357943,1.3966016578997753,0.03846153846153847,0.041420118343195256,True,True,True,False,True,True,True,True,True,True,True,True,True
S011,Sheet1,13,Adamantane-AO-PIM-1,c1(c(cc2c(c1)C(C[C@]12C(Cc2c1cc1c(c2)Oc2c(O1)c(c(c(c2C(N)=NOC(=O)[C@@]12C[C@H]3C[C@@H](C1)C[C@H](C3)C2)*)*)C(N)=NOC(=O)[C@@]12C[C@H]3C[C@@H](C1)C[C@H](C3)C2)(C)C)(C)C)O*)O*,,,,,0.0,,,1360.3,79.5,366.5,82.5,2483.6,,,,31.2,30.1,[S61],,,,,3.3950816511739457,1.916453948549925,1.9003671286564703,,30.104242424242422,31.240251572327043,1.4785664955938433,1.4941545940184429,1.4786277026240204,1.4947145225174754,0.0001409443269907104,0.0012901144976616673,True,False,True,False,True,True,True,True,True,False,True,True,True
S012,Sheet1,14,PIM-1-SO3H,c1c2CC([C@@](c3cc(c(c(c3C(C)C)S(O)(=O)=O)O*)O*)(C)c2cc2c1Oc1c(O2)c(c(c(c1C#N)*)*)C#N)(C)C,,,,,0.0,,,2607.0,53.0,324.0,35.0,1388.0,49.0,74.5,6.11,26.2,39.7,[S75],,,,,3.142389466118836,1.5440680443502757,1.724275869600789,,39.65714285714286,26.18867924528302,1.5987905067631152,1.4183012913197455,1.5983214217685604,1.4181135965180471,0.0010795250089960825,0.0004320898746938939,True,False,True,False,True,True,True,True,True,False,True,True,True
