sample_id,source_sheet,source_row_excel,membrane_name_raw,smiles_single,smiles_triple,occupied_volume_1,occupied_volume_2,ffv,aging_days,thickness_um,p_he_barrer,p_h2_barrer,p_n2_barrer,p_o2_barrer,p_ch4_barrer,p_co2_barrer,sel_h2_n2,sel_h2_ch4,sel_o2_n2,sel_co2_n2,sel_co2_ch4,refs_perm,refs_ffv,backbone_family,contortion_unit_family,modification_family,log10_p_co2_barrer,log10_p_ch4_barrer,log10_p_n2_barrer,log10_ffv,sel_co2_ch4_from_perm,sel_co2_n2_from_perm,log10_sel_co2_ch4,log10_sel_co2_n2,log10_sel_co2_ch4_from_perm,log10_sel_co2_n2_from_perm,sel_co2_ch4_rel_error,sel_co2_n2_rel_error,has_smiles,has_ffv,has_aging,has_thickness,has_co2_perm,has_ch4_perm,has_n2_perm,has_co2_ch4_sel,has_co2_n2_sel,eligible_ffv_pilot,eligible_co2_main,eligible_co2_ch4_pair,eligible_co2_n2_pair
S005,Sheet1,7,AO−PIM-1,c1(c(cc2c(c1)C(C[C@]12C(Cc2c1cc1c(c2)Oc2c(O1)c(c(c(c2/C(=N/O)/[N+](=O)[O-])*)*)/C(=N/O)/[N+](=O)[O-])(C)C)(C)C)O*)O*,,,,0.26,0.0,,412.0,912.0,33.0,147.0,34.0,1153.0,,,4.5,35.0,34.0,[S14],,,,,3.061829307294699,1.5314789170422551,1.5185139398778875,-0.585026652029182,33.911764705882355,34.93939393939394,1.5314789170422551,1.5440680443502757,1.530350390252444,1.5433153674168114,0.0025951557093424993,0.0017316017316017808,True,True,True,False,True,True,True,True,True,True,True,True,True
S006,Sheet1,8,PIM-1-M,c1(c(cc2c(c1C)C(C[C@]12C(Cc2c1cc1c(c2C)Oc2c(O1)c(c(c(c2CN)*)*)CN)(C)C)(C)C)O*)O*,,,,0.337,0.0,,,3710.0,850.0,2180.0,1525.0,14180.0,,,2.6,17.0,9.0,[S107],,,,,4.151676230847047,3.1832698436828046,2.929418925714293,-0.47237009912866135,9.298360655737705,16.68235294117647,0.9542425094393249,1.2304489213782739,0.9684063871642431,1.222257305132755,0.033151183970856084,0.01868512110726637,True,True,True,False,True,True,True,True,True,True,True,True,True
S008,Sheet1,10,Brominated vinylated PIM-1,C(=C\Br)(\Br)/c1c(c(cc2c1C(C[C@]12C(Cc2c1cc1c(c2/C(=C/Br)/Br)Oc2c(O1)c(c(c(c2CN)*)*)CN)(C)C)(C)C)O*)O*,,,,0.238,0.0,,,675.0,90.0,305.0,130.0,1890.0,,,,21.0,15.0,[S107],,,,,3.2764618041732443,2.113943352306837,1.954242509439325,-0.623423042943488,14.538461538461538,21.0,1.1760912590556813,1.3222192947339193,1.1625184518664073,1.3222192947339193,0.030769230769230778,0.0,True,True,True,False,True,True,True,True,True,True,True,True,True
S009,Sheet1,11,Thiophenated vinylated PIM-1,C(CSc1ccccc1)c1c(c(cc2c1C(C[C@]12C(Cc2c1cc1c(c2CCSc2ccccc2)Oc2c(O1)c(c(c(c2CN)*)*)CN)(C)C)(C)C)O*)O*,,,,0.238,0.0,,,775.0,70.0,234.0,125.0,1735.0,,,,25.0,14.0,[S107],,,,,3.2392994791268923,2.0969100130080562,1.845098040014257,-0.623423042943488,13.88,24.785714285714285,1.146128035678238,1.3979400086720377,1.142389466118836,1.3942014391126356,0.008571428571428516,0.008571428571428612,True,True,True,False,True,True,True,True,True,True,True,True,True
S010,Sheet1,12,Vinylated PIM-1,c1(c(cc2c(c1C=C)C(C[C@]12C(Cc2c1cc1c(c2C=C)Oc2c(O1)c(c(c(c2CN)*)*)CN)(C)C)(C)C)O*)O*,,,,0.268,0.0,,,1080.0,130.0,410.0,260.0,3240.0,,,,26.0,12.0,[S107],,,,,3.510545010206612,2.4149733479708178,2.113943352306837,-0.5718652059712112,12.461538461538462,24.923076923076923,1.0791812460476249,1.414973347970818,1.0955716622357943,1.3966016578997753,0.03846153846153847,0.041420118343195256,True,True,True,False,True,True,True,True,True,True,True,True,True
S017,Sheet1,19,Pristine PIM-1,c1(c(cc2c(c1)C(C[C@]12C(Cc2c1cc1c(c2)Oc2c(O1)c(c(c(c2C#N)O*)O*)C#N)(C)C)(C)C)O*)O*,,,,0.319,1.0,,,4230.0,,650.0,1490.0,11840.0,6.51,,,18.23,7.94,https://doi.org/10.1016/j.memsci.2020.118245,,,,,4.073351702386901,3.173186268412274,,-0.4962093169428189,7.946308724832215,,0.8998205024270963,1.2607866686549762,0.9001654339746269,,0.00079454972697915,,True,True,True,False,True,True,False,True,True,True,True,True,False
S018,Sheet1,20,Pristine PIM-1,c1(c(cc2c(c1)C(C[C@]12C(Cc2c1cc1c(c2)Oc2c(O1)c(c(c(c2C#N)O*)O*)C#N)(C)C)(C)C)O*)O*,,,,0.248,10.0,,,3540.0,,420.0,700.0,8810.0,8.36,,,20.81,12.61,https://doi.org/10.1016/j.memsci.2020.118246,,,,,3.9449759084120477,2.845098040014257,,-0.6055483191737837,12.585714285714285,,1.1007150865730817,1.318272080211627,1.099877868397791,,0.0019259091424039668,,True,True,True,False,True,True,False,True,True,True,True,True,False
S019,Sheet1,21,Pristine PIM-1,c1(c(cc2c(c1)C(C[C@]12C(Cc2c1cc1c(c2)Oc2c(O1)c(c(c(c2C#N)O*)O*)C#N)(C)C)(C)C)O*)O*,,,,0.248,35.0,,,1930.0,,120.0,240.0,3130.0,16.43,,,26.63,12.95,https://doi.org/10.1016/j.memsci.2020.118247,,,,,3.4955443375464483,2.380211241711606,,-0.6055483191737837,13.041666666666666,,1.1122697684172707,1.4253711664389412,1.1153330958348424,,0.007078507078507088,,True,True,True,False,True,True,False,True,True,True,True,True,False
S058,Sheet1,60,PIM-Trip-TB,c12c(cc3c(c1)N(*)CN3*)[C@]1(c3c([C@]2(C)c2c1cccc2)cc(c(c3)*)*)C,,,,0.261,1.0,,,8039.0,629.0,2718.0,905.0,9709.0,12.8,8.9,4.3,15.4,10.7,,,,,,3.9871745010875417,2.9566485792052033,2.798650645445269,-0.583359492661719,10.72817679558011,15.435612082670906,1.0293837776852097,1.187520720836463,1.0305259218823384,1.1885238556422728,0.0026333453813187327,0.0023124729007081304,True,True,True,False,True,True,True,True,True,True,True,True,True
S059,Sheet1,61,PIM-Trip-TB,c12c(cc3c(c1)N(*)CN3*)[C@]1(c3c([C@]2(C)c2c1cccc2)cc(c(c3)*)*)C,,,,0.261,100.0,,,4740.0,189.0,1073.0,218.0,3951.0,25.1,21.7,5.7,20.9,18.1,,,,,,3.596707029681446,2.3384564936046046,2.2764618041732443,-0.583359492661719,18.123853211009173,20.904761904761905,1.2576785748691846,1.320146286111054,1.2582505360768415,1.320245225508202,0.0013178569618326969,0.0002278423331055752,True,True,True,False,True,True,True,True,True,True,True,True,True
