column,non_null_count,row_count,coverage_ratio
sample_id,88,88,1.0
source_sheet,88,88,1.0
source_row_excel,88,88,1.0
membrane_name_raw,88,88,1.0
smiles_single,87,88,0.9886363636363636
smiles_triple,0,88,0.0
occupied_volume_1,2,88,0.022727272727272728
occupied_volume_2,2,88,0.022727272727272728
ffv,13,88,0.14772727272727273
aging_days,82,88,0.9318181818181818
thickness_um,35,88,0.3977272727272727
p_he_barrer,36,88,0.4090909090909091
p_h2_barrer,80,88,0.9090909090909091
p_n2_barrer,77,88,0.875
p_o2_barrer,80,88,0.9090909090909091
p_ch4_barrer,71,88,0.8068181818181818
p_co2_barrer,74,88,0.8409090909090909
sel_h2_n2,68,88,0.7727272727272727
sel_h2_ch4,26,88,0.29545454545454547
sel_o2_n2,70,88,0.7954545454545454
sel_co2_n2,72,88,0.8181818181818182
sel_co2_ch4,74,88,0.8409090909090909
refs_perm,48,88,0.5454545454545454
refs_ffv,0,88,0.0
backbone_family,0,88,0.0
contortion_unit_family,0,88,0.0
modification_family,0,88,0.0
log10_p_co2_barrer,74,88,0.8409090909090909
log10_p_ch4_barrer,71,88,0.8068181818181818
log10_p_n2_barrer,77,88,0.875
log10_ffv,13,88,0.14772727272727273
sel_co2_ch4_from_perm,71,88,0.8068181818181818
sel_co2_n2_from_perm,71,88,0.8068181818181818
log10_sel_co2_ch4,74,88,0.8409090909090909
log10_sel_co2_n2,72,88,0.8181818181818182
log10_sel_co2_ch4_from_perm,71,88,0.8068181818181818
log10_sel_co2_n2_from_perm,71,88,0.8068181818181818
sel_co2_ch4_rel_error,71,88,0.8068181818181818
sel_co2_n2_rel_error,68,88,0.7727272727272727
has_smiles,88,88,1.0
has_ffv,88,88,1.0
has_aging,88,88,1.0
has_thickness,88,88,1.0
has_co2_perm,88,88,1.0
has_ch4_perm,88,88,1.0
has_n2_perm,88,88,1.0
has_co2_ch4_sel,88,88,1.0
has_co2_n2_sel,88,88,1.0
eligible_ffv_pilot,88,88,1.0
eligible_co2_main,88,88,1.0
eligible_co2_ch4_pair,88,88,1.0
eligible_co2_n2_pair,88,88,1.0
