sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family,model_name,fold_id,y_true,y_pred,residual,screening_x_true,pair_label,screening_target_column,screening_score_true,screening_score_pred,upper_bound_2008_log_selectivity,distance_to_upper_bound_2008_true,distance_to_upper_bound_2008_pred,upper_bound_2019_log_selectivity,distance_to_upper_bound_2019_true,distance_to_upper_bound_2019_pred,screening_rank_score,pred_rank
S047,PIM-TFM-Btrip,Sheet1,49,,,,random_forest,4,1.2943994167649682,1.3384595605749339,0.0440601438099657,4.193124598354461,CO2/CH4,log10_sel_co2_ch4_from_perm,5.48752401511943,5.531584158929395,0.9623553890776845,0.3320440276872837,0.3761041714972494,1.316399944516619,-0.022000527751650845,0.022059616058314857,0.3761041714972494,1
S046,PIM-TFM-Btrip,Sheet1,48,,,,random_forest,4,1.289434677672704,1.3174887508657247,0.02805407319302078,4.230448921378274,CO2/CH4,log10_sel_co2_ch4_from_perm,5.519883599050978,5.547937672243998,0.9481959342128086,0.34123874345989536,0.36929281665291613,1.3008546204750477,-0.011419942802343819,0.01663413039067696,0.36929281665291613,2
S045,PIM-TFM-Btrip,Sheet1,47,,,,random_forest,4,1.2857249223712102,1.2862308427353064,0.0005059203640962462,4.264817823009537,CO2/CH4,log10_sel_co2_ch4_from_perm,5.550542745380747,5.551048665744843,0.9351576559004935,0.3505672664707167,0.3510731868348129,1.286540209133414,-0.0008152867622037707,-0.00030936639810752453,0.3510731868348129,3
S050,PIM-TMN-Trip,Sheet1,52,,,,random_forest,3,1.105803726168039,1.2184500468323105,0.1126463206642716,4.413299764081252,CO2/CH4,log10_sel_co2_ch4_from_perm,5.519103490249291,5.631749810913562,0.8788291501828474,0.22697457598519155,0.33962089664946316,1.2246985010652276,-0.1188947748971887,-0.006248454232917089,0.33962089664946316,4
S044,PIM-TFM-Btrip,Sheet1,46,,,,random_forest,4,1.2474822606770544,1.2412245847101415,-0.006257675966912846,4.344392273685111,CO2/CH4,log10_sel_co2_ch4_from_perm,5.591874534362166,5.585616858395253,0.9049700797716717,0.3425121809053827,0.33625450493846987,1.253397997273533,-0.0059157365964785935,-0.01217341256339144,0.33625450493846987,5
S051,PIM-TMN-Trip,Sheet1,53,,,,random_forest,3,1.1305082706312857,1.2296344602237526,0.09912618959246688,4.373794416714731,CO2/CH4,log10_sel_co2_ch4_from_perm,5.5043026873460175,5.603428876938484,0.8938160042672634,0.2366922663640223,0.3358184559564892,1.2411522067572396,-0.11064393612595391,-0.011517746533487028,0.3358184559564892,6
S052,PIM-TMN-Trip,Sheet1,54,,,,random_forest,3,1.151267675330649,1.243653104796043,0.09238542946539408,4.309630167425898,CO2/CH4,log10_sel_co2_ch4_from_perm,5.460897842756547,5.553283272221941,0.9181575252417827,0.23311015008886626,0.32549557955426034,1.2678761756405519,-0.11660850030990288,-0.02422307084450881,0.32549557955426034,7
S049,PIM-TMN-Trip,Sheet1,51,,,,random_forest,3,1.0268998959598714,1.1511824673112923,0.12428257135142085,4.52244423350632,CO2/CH4,log10_sel_co2_ch4_from_perm,5.549344129466192,5.6736267008176124,0.837423812768178,0.1894760831916934,0.31375865454311425,1.1792405796053909,-0.15234068364551945,-0.028058112294098603,0.31375865454311425,8
S034,PIM-DTFM-Btrip,Sheet1,36,,,,random_forest,5,1.216820682085793,1.2088095513658363,-0.008011130719956627,4.359835482339888,CO2/CH4,log10_sel_co2_ch4_from_perm,5.576656164425682,5.5686450337057245,0.8991115028920141,0.31770917919377883,0.3096980484738222,1.2469660069966577,-0.030145324910864746,-0.03815645563082137,0.3096980484738222,9
S018,Pristine PIM-1,Sheet1,20,,,,random_forest,4,1.099877868397791,1.360101513778853,0.260223645381062,3.944975908412048,CO2/CH4,log10_sel_co2_ch4_from_perm,5.044853776809839,5.305077422190902,1.0564937388282205,0.043384129569570495,0.3036077749506325,1.4197521685659373,-0.31987430016814633,-0.05965065478708431,0.3036077749506325,10
S017,Pristine PIM-1,Sheet1,19,,,,random_forest,4,0.9001654339746269,1.307552127829327,0.40738669385470005,4.073351702386901,CO2/CH4,log10_sel_co2_ch4_from_perm,4.9735171363615285,5.380903830216228,1.0077927547709926,-0.10762732079636572,0.29975937305833433,1.3662845325914046,-0.4661190986167777,-0.05873240476207764,0.29975937305833433,11
S048,PIM-TMN-Trip,Sheet1,50,,,,random_forest,3,0.8622959159628186,1.058961878470179,0.19666596250736046,4.722633922533812,CO2/CH4,log10_sel_co2_ch4_from_perm,5.584929838496631,5.781595801003991,0.7614793176894634,0.1008165982733552,0.29748256078071567,1.0958629498563313,-0.23356703389351263,-0.03690107138615217,0.29748256078071567,12
S032,PIM-DTFM-Btrip,Sheet1,34,,,,random_forest,5,0.9919198695902082,1.0865799256750286,0.09466005608482042,4.629409599102719,CO2/CH4,log10_sel_co2_ch4_from_perm,5.621329468692927,5.715989524777748,0.7968451460017141,0.1950747235884941,0.2897347796733145,1.1346902399150955,-0.14277037032488737,-0.048110314240066954,0.2897347796733145,13
S043,PIM-TFM-Btrip,Sheet1,45,,,,random_forest,4,1.1696950538708848,1.1219189140645904,-0.04777613980629436,4.5276299008713385,CO2/CH4,log10_sel_co2_ch4_from_perm,5.697324954742223,5.649548814935929,0.8354565641471544,0.3342384897237304,0.286462349917436,1.1770807847844753,-0.007385730913590516,-0.055161870719884876,0.286462349917436,14
S033,PIM-DTFM-Btrip,Sheet1,35,,,,random_forest,5,1.1299595379833507,1.1441903784585936,0.014230840475242923,4.4623979978989565,CO2/CH4,log10_sel_co2_ch4_from_perm,5.592357535882307,5.60658837635755,0.8602031130744617,0.26975642490888896,0.2839872653841319,1.2042494240899237,-0.07428988610657306,-0.06005904563133013,0.2839872653841319,15
S035,PIM-DTFM-Btrip,Sheet1,37,,,,random_forest,5,1.2784966979687609,1.2253427189300465,-0.05315397903871433,4.227886704613674,CO2/CH4,log10_sel_co2_ch4_from_perm,5.5063834025824345,5.45322942354372,0.9491679436075735,0.32932875436118736,0.27617477532247303,1.3019217661496,-0.023425068180839226,-0.07657904721955355,0.27617477532247303,16
S037,PIM-HMI-Trip,Sheet1,39,,,,random_forest,2,0.9578933081344576,1.0525830298215029,0.09468972168704526,4.645422269349092,CO2/CH4,log10_sel_co2_ch4_from_perm,5.60331557748355,5.698005299170595,0.7907705366518002,0.16712277148265742,0.2618124931697027,1.1280210727987385,-0.17012776466428092,-0.07543804297723566,0.2618124931697027,17
S036,PIM-DTFM-Btrip,Sheet1,38,,,,random_forest,5,1.30813033608192,1.228229346543834,-0.079900989538086,4.1702617153949575,CO2/CH4,log10_sel_co2_ch4_from_perm,5.478392051476877,5.398491061938792,0.9710287134174052,0.33710162266451493,0.25720063312642893,1.3259221781523973,-0.017791842070477237,-0.09769283160856324,0.25720063312642893,18
S042,PIM-HMI-Trip,Sheet1,44,,,,random_forest,2,1.2294173739646963,1.2059541319600913,-0.023463242004605034,4.214843848047698,CO2/CH4,log10_sel_co2_ch4_from_perm,5.444261222012394,5.420797980007789,0.9541159165081713,0.275301457456525,0.25183821545192,1.307354026277037,-0.07793665231234059,-0.10139989431694563,0.25183821545192,19
S039,PIM-HMI-Trip,Sheet1,41,,,,random_forest,2,1.097313820086803,1.1193373000210851,0.02202347993428222,4.429752280002408,CO2/CH4,log10_sel_co2_ch4_from_perm,5.52706610008921,5.549089580023493,0.8725876798030463,0.2247261402837566,0.2467496202180388,1.2178461412480033,-0.12053232116120038,-0.09850884122691816,0.2467496202180388,20
S038,PIM-HMI-Trip,Sheet1,40,,,,random_forest,2,0.9900917113397508,1.054527230565488,0.0644355192257372,4.5910646070265,CO2/CH4,log10_sel_co2_ch4_from_perm,5.581156318366252,5.645591837591988,0.811391804604225,0.17869990673552583,0.24313542596126303,1.1506606656028169,-0.16056895426306605,-0.09613343503732885,0.24313542596126303,21
S041,PIM-HMI-Trip,Sheet1,43,,,,random_forest,2,1.206020617995359,1.1826246033608887,-0.023396014634470275,4.24064907462068,CO2/CH4,log10_sel_co2_ch4_from_perm,5.446669692616039,5.423273677981569,0.9443263768370856,0.26169424115827333,0.23829822652380306,1.2966063267464323,-0.0905857087510733,-0.11398172338554358,0.23829822652380306,22
S040,PIM-HMI-Trip,Sheet1,42,,,,random_forest,2,1.190101973498496,1.1653423088510038,-0.02475966464749213,4.276461804173244,CO2/CH4,log10_sel_co2_ch4_from_perm,5.466563777671739,5.441804113024247,0.9307403641084954,0.2593616093900005,0.2346019447425084,1.281690570997759,-0.09158859749926318,-0.11634826214675531,0.2346019447425084,23
S056,PIM-BTrip-TB,Sheet1,58,,,,random_forest,4,0.9623759134476932,1.2033468490422021,0.24097093559450888,4.120738405542943,CO2/CH4,log10_sel_co2_ch4_from_perm,5.083114318990636,5.324085254585144,0.989816008505423,-0.027440095057729708,0.21353084053677918,1.346548296374811,-0.38417238292711775,-0.14320144733260887,0.21353084053677918,24
S006,PIM-1-M,Sheet1,8,,,,random_forest,4,0.9684063871642432,1.1579182452388892,0.189511858074646,4.151676230847047,CO2/CH4,log10_sel_co2_ch4_from_perm,5.12008261801129,5.309594476085937,0.9780793524719993,-0.009672965307756076,0.1798388927668899,1.3336629047446131,-0.3652565175803699,-0.17574465950572393,0.1798388927668899,25
S057,PIM-BTrip-TB,Sheet1,59,,,,random_forest,4,1.1659475998397275,1.3562108035054847,0.19026320366575722,3.617734035364018,CO2/CH4,log10_sel_co2_ch4_from_perm,4.783681635203745,4.973944838869503,1.1806370897569118,-0.014689489917184329,0.1755737137485729,1.5560461598395858,-0.3900985599998583,-0.1998353563341011,0.1755737137485729,26
S023,PIM-Btrip,Sheet1,25,,,,random_forest,1,1.4155419558091404,1.1878052687653726,-0.22773668704376782,4.02938377768521,CO2/CH4,log10_sel_co2_ch4_from_perm,5.44492573349435,5.217189046450582,1.0244725441115432,0.39106941169759724,0.16333272465382942,1.384596871076074,0.03094508473306634,-0.19679160231070147,0.16333272465382942,27
S055,PIM-EA-TB,Sheet1,57,,,,random_forest,5,0.997524098346864,1.2416629352982123,0.2441388369513483,3.886265059029757,CO2/CH4,log10_sel_co2_ch4_from_perm,4.883789157376621,5.127927994327969,1.078766443449727,-0.0812423451028631,0.1628964918484852,1.4442048338646842,-0.4466807355178203,-0.20254189856647198,0.1628964918484852,28
S019,Pristine PIM-1,Sheet1,21,,,,random_forest,4,1.1153330958348424,1.378912060498166,0.26357896466332353,3.4955443375464483,CO2/CH4,log10_sel_co2_ch4_from_perm,4.61087743338129,4.8744563980446145,1.2269912998546242,-0.11165820401978177,0.15192076064354176,1.6069373292763078,-0.4916042334414654,-0.2280252687781419,0.15192076064354176,29
S021,PIM-Btrip,Sheet1,23,,,,random_forest,1,1.3646990755333586,1.1350776161541518,-0.22962145937920675,4.12057393120585,CO2/CH4,log10_sel_co2_ch4_from_perm,5.485273006739208,5.255651547360001,0.9898784039292063,0.3748206716041522,0.14519921222494547,1.3466167988059201,0.01808227672743845,-0.2115391826517683,0.14519921222494547,30
S024,PIM-Btrip,Sheet1,26,,,,random_forest,1,1.4539252599648025,1.2037855030690994,-0.2501397568957031,3.9041743682841634,CO2/CH4,log10_sel_co2_ch4_from_perm,5.358099628248966,5.107959871353263,1.0719723200603468,0.38195293990445567,0.13181318300875255,1.4367457296354436,0.017179530329358927,-0.2329602265663442,0.13181318300875255,31
S068,PIM-CN-HPB,Sheet1,70,,,,random_forest,2,1.0520620400193863,1.3947954286002062,0.3427333885808199,3.378397900948137,CO2/CH4,log10_sel_co2_ch4_from_perm,4.430459940967523,4.773193329548343,1.2714322849070943,-0.21937024488770795,0.12336314369311197,1.655728015073189,-0.6036659750538027,-0.2609325864729828,0.12336314369311197,32
