model_name,fold_id,n_train,n_test,train_mae,train_rmse,train_r2,mae,rmse,r2,mae_gap,rmse_gap
ridge,1,56,15,0.031622888468434605,0.038004386534651505,0.9562888928879228,0.2893603082833769,0.3126945629318606,-4.050593621791308,0.2577374198149423,0.2746901763972091
ridge,2,57,14,0.03201066807950881,0.040900425728424235,0.9595428757799352,0.09781116583224327,0.1100422107233683,-0.7082357379804698,0.06580049775273446,0.06914178499494406
ridge,3,57,14,0.03284618161661435,0.04224779032038063,0.9314184320428207,0.2090045125613876,0.23891439582357613,0.25777180498474495,0.17615833094477326,0.19666660550319548
ridge,4,57,14,0.03239075665905556,0.04089253729775276,0.9562174241191891,0.16740623568977117,0.22253819481568182,-0.8716527287062541,0.13501547903071562,0.18164565751792905
ridge,5,57,14,0.03262024676943891,0.04125885316736029,0.9583248175278866,0.13790370188511325,0.16573154283399066,-1.2020064603346001,0.10528345511567434,0.12447268966663037
random_forest,1,56,15,0.027998433255811594,0.04006003899064493,0.9514323501732322,0.21473861948811937,0.23625229388686636,-1.8830610186159,0.1867401862323078,0.19619225489622144
random_forest,2,57,14,0.02679999547387942,0.03602393050606636,0.968615042554257,0.08697789941602586,0.14067975608201713,-1.7918520733667753,0.06017790394214645,0.10465582557595077
random_forest,3,57,14,0.026344163221689174,0.037870377544708976,0.9448940261826462,0.20129863313597468,0.2723607308686919,0.03541214013246552,0.1749544699142855,0.2344903533239829
random_forest,4,57,14,0.023063354728110268,0.031646838152951114,0.9737775150938475,0.14547458416506512,0.1868896955765164,-0.32003930665279,0.12241122943695484,0.1552428574235653
random_forest,5,57,14,0.024197298839520945,0.03499826215656123,0.9700127827775785,0.0937060695549006,0.1252242493280781,-0.25714425781222916,0.06950877071537966,0.09022598717151686
svr,1,56,15,0.07268107943629461,0.07860798547322599,0.8129930761678108,0.267374793941923,0.28838048966626467,-3.295695768612579,0.1946937145056284,0.20977250419303867
svr,2,57,14,0.06218829003620767,0.0715710284915173,0.8761163854829216,0.08110220956383288,0.09729949837423557,-0.33551998931071525,0.01891391952762521,0.025728469882718277
svr,3,57,14,0.05978309157275553,0.06994299992253834,0.8120302675355047,0.23334136473822342,0.2916835693703328,-0.1063097542576441,0.1735582731654679,0.22174056944779447
svr,4,57,14,0.061640382475809316,0.07127614499669312,0.8669847002749159,0.1264329133462733,0.1689462279813322,-0.07873097604964441,0.06479253087046398,0.09767008298463907
svr,5,57,14,0.06120363464720522,0.07129328036955161,0.8755656160875476,0.11163680441425186,0.13809168782265302,-0.5287741045982859,0.05043316976704664,0.06679840745310141
hist_gb,1,56,15,0.11998666676807465,0.17168738797615754,0.10792546947089343,0.18784347651349992,0.2056864056449874,-1.1853094517489415,0.06785680974542527,0.03399901766882987
hist_gb,2,57,14,0.14806275726363105,0.1832352336220059,0.18799757864469313,0.12527974289668403,0.16207530888209107,-2.705637272688951,-0.02278301436694702,-0.02115992473991482
hist_gb,3,57,14,0.06990985422826196,0.08709101235797168,0.7085620591835802,0.1961138722120699,0.25773858405834493,0.13620300987441625,0.12620401798380795,0.17064757170037326
hist_gb,4,57,14,0.07338041583828461,0.09090833101324694,0.7836182836371379,0.17848415887370997,0.21382198865904808,-0.7279090485775086,0.10510374303542536,0.12291365764580114
hist_gb,5,57,14,0.0912243297724271,0.11488953744835016,0.6768499944980833,0.11805047533849296,0.14764710471395875,-0.7476646920771779,0.026826145566065857,0.03275756726560859
xgboost,1,56,15,0.000634301242996125,0.0008451997976764229,0.9999783806256243,0.23627425202175925,0.2548289960669291,-2.3542810813058668,0.23563995077876312,0.25398379626925266
xgboost,2,57,14,0.0006258451322918335,0.0008493798607996387,0.9999825520956918,0.09428768754182311,0.15234970164300574,-2.274254297685329,0.09366184240953128,0.1515003217822061
xgboost,3,57,14,0.0007329486816864844,0.0010025419050489982,0.999961380692565,0.20165793059723175,0.28298196322844893,-0.04128669755592984,0.20092498191554525,0.2819794213233999
xgboost,4,57,14,0.0007095282739642229,0.0009514392493515324,0.9999762985280278,0.19333898711403386,0.22742400733647333,-0.9547389449962114,0.19262945884006963,0.2264725680871218
xgboost,5,57,14,0.0006587838945124154,0.0009090230474000981,0.999979770134529,0.106367316179886,0.14782989929069681,-0.7519947652519272,0.10570853228537358,0.14692087624329672
