sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family,model_name,fold_id,y_true,y_pred,residual,screening_x_true,pair_label,screening_target_column,screening_score_true,screening_score_pred,upper_bound_2008_log_selectivity,distance_to_upper_bound_2008_true,distance_to_upper_bound_2008_pred,upper_bound_2019_log_selectivity,distance_to_upper_bound_2019_true,distance_to_upper_bound_2019_pred,screening_rank_score,pred_rank
S049,PIM-TMN-Trip,Sheet1,51,,,,svr,3,1.0268998959598714,1.24726788652209,0.22036799056221867,4.52244423350632,CO2/CH4,log10_sel_co2_ch4_from_perm,5.549344129466192,5.7697121200284105,0.837423812768178,0.1894760831916934,0.4098440737539121,1.1792405796053909,-0.15234068364551945,0.06802730691669923,0.4098440737539121,1
S033,PIM-DTFM-Btrip,Sheet1,35,,,,svr,5,1.1299595379833507,1.2650674748043171,0.13510793682096645,4.4623979978989565,CO2/CH4,log10_sel_co2_ch4_from_perm,5.592357535882307,5.727465472703273,0.8602031130744617,0.26975642490888896,0.4048643617298554,1.2042494240899237,-0.07428988610657306,0.06081805071439339,0.4048643617298554,2
S032,PIM-DTFM-Btrip,Sheet1,34,,,,svr,5,0.9919198695902082,1.1961706039727824,0.20425073438257424,4.629409599102719,CO2/CH4,log10_sel_co2_ch4_from_perm,5.621329468692927,5.825580203075502,0.7968451460017141,0.1950747235884941,0.39932545797106833,1.1346902399150955,-0.14277037032488737,0.061480364057686865,0.39932545797106833,3
S050,PIM-TMN-Trip,Sheet1,52,,,,svr,3,1.105803726168039,1.266477873099547,0.16067414693150806,4.413299764081252,CO2/CH4,log10_sel_co2_ch4_from_perm,5.519103490249291,5.679777637180798,0.8788291501828474,0.22697457598519155,0.3876487229166996,1.2246985010652276,-0.1188947748971887,0.04177937203431936,0.3876487229166996,4
S039,PIM-HMI-Trip,Sheet1,41,,,,svr,2,1.097313820086803,1.2589527638719848,0.16163894378518195,4.429752280002408,CO2/CH4,log10_sel_co2_ch4_from_perm,5.52706610008921,5.688705043874393,0.8725876798030463,0.2247261402837566,0.38636508406893855,1.2178461412480033,-0.12053232116120038,0.04110662262398157,0.38636508406893855,5
S034,PIM-DTFM-Btrip,Sheet1,36,,,,svr,5,1.216820682085793,1.2811980933152127,0.06437741122941976,4.359835482339888,CO2/CH4,log10_sel_co2_ch4_from_perm,5.576656164425682,5.641033575655101,0.8991115028920141,0.31770917919377883,0.3820865904231986,1.2469660069966577,-0.030145324910864746,0.03423208631855501,0.3820865904231986,6
S051,PIM-TMN-Trip,Sheet1,53,,,,svr,3,1.1305082706312857,1.2753995178097672,0.14489124717848156,4.373794416714731,CO2/CH4,log10_sel_co2_ch4_from_perm,5.5043026873460175,5.649193934524499,0.8938160042672634,0.2366922663640223,0.38158351354250386,1.2411522067572396,-0.11064393612595391,0.03424731105252765,0.38158351354250386,7
S052,PIM-TMN-Trip,Sheet1,54,,,,svr,3,1.151267675330649,1.27986076287528,0.12859308754463106,4.309630167425898,CO2/CH4,log10_sel_co2_ch4_from_perm,5.460897842756547,5.589490930301178,0.9181575252417827,0.23311015008886626,0.3617032376334973,1.2678761756405519,-0.11660850030990288,0.011984587234728172,0.3617032376334973,8
S048,PIM-TMN-Trip,Sheet1,50,,,,svr,3,0.8622959159628186,1.122537177314312,0.2602412613514934,4.722633922533812,CO2/CH4,log10_sel_co2_ch4_from_perm,5.584929838496631,5.845171099848124,0.7614793176894634,0.1008165982733552,0.3610578596248486,1.0958629498563313,-0.23356703389351263,0.02667422745798076,0.3610578596248486,9
S044,PIM-TFM-Btrip,Sheet1,46,,,,svr,4,1.2474822606770544,1.25830098961626,0.010818728939205657,4.344392273685111,CO2/CH4,log10_sel_co2_ch4_from_perm,5.591874534362166,5.602693263301371,0.9049700797716717,0.3425121809053827,0.35333090984458837,1.253397997273533,-0.0059157365964785935,0.004902992342727064,0.35333090984458837,10
