sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family,model_name,fold_id,y_true,y_pred,residual,screening_x_true,pair_label,screening_target_column,screening_score_true,screening_score_pred,upper_bound_2008_log_selectivity,distance_to_upper_bound_2008_true,distance_to_upper_bound_2008_pred,upper_bound_2019_log_selectivity,distance_to_upper_bound_2019_true,distance_to_upper_bound_2019_pred,screening_rank_score,pred_rank
S056,PIM-BTrip-TB,Sheet1,58,,,,xgboost,4,0.9623759134476932,1.3637982606887817,0.4014223472410885,4.120738405542943,CO2/CH4,log10_sel_co2_ch4_from_perm,5.083114318990636,5.484536666231724,0.989816008505423,-0.027440095057729708,0.3739822521833588,1.346548296374811,-0.38417238292711775,0.017249964313970745,0.3739822521833588,1
S032,PIM-DTFM-Btrip,Sheet1,34,,,,xgboost,5,0.9919198695902082,1.1499824523925781,0.15806258280236996,4.629409599102719,CO2/CH4,log10_sel_co2_ch4_from_perm,5.621329468692927,5.7793920514952974,0.7968451460017141,0.1950747235884941,0.35313730639086405,1.1346902399150955,-0.14277037032488737,0.01529221247748258,0.35313730639086405,2
S017,Pristine PIM-1,Sheet1,19,,,,xgboost,4,0.9001654339746269,1.3602230548858643,0.46005762091123736,4.073351702386901,CO2/CH4,log10_sel_co2_ch4_from_perm,4.9735171363615285,5.4335747572727655,1.0077927547709926,-0.10762732079636572,0.35243030011487164,1.3662845325914046,-0.4661190986167777,-0.00606147770554033,0.35243030011487164,3
S034,PIM-DTFM-Btrip,Sheet1,36,,,,xgboost,5,1.216820682085793,1.2304277420043945,0.01360705991860156,4.359835482339888,CO2/CH4,log10_sel_co2_ch4_from_perm,5.576656164425682,5.590263224344283,0.8991115028920141,0.31770917919377883,0.3313162391123804,1.2469660069966577,-0.030145324910864746,-0.016538264992263185,0.3313162391123804,4
S050,PIM-TMN-Trip,Sheet1,52,,,,xgboost,3,1.105803726168039,1.2091114521026611,0.10330772593462223,4.413299764081252,CO2/CH4,log10_sel_co2_ch4_from_perm,5.519103490249291,5.622411216183913,0.8788291501828474,0.22697457598519155,0.3302823019198138,1.2246985010652276,-0.1188947748971887,-0.015587048962566463,0.3302823019198138,5
S052,PIM-TMN-Trip,Sheet1,54,,,,xgboost,3,1.151267675330649,1.2445062398910522,0.09323856456040325,4.309630167425898,CO2/CH4,log10_sel_co2_ch4_from_perm,5.460897842756547,5.554136407316951,0.9181575252417827,0.23311015008886626,0.3263487146492695,1.2678761756405519,-0.11660850030990288,-0.023369935749499637,0.3263487146492695,6
S051,PIM-TMN-Trip,Sheet1,53,,,,xgboost,3,1.1305082706312857,1.2187130451202393,0.08820477448895359,4.373794416714731,CO2/CH4,log10_sel_co2_ch4_from_perm,5.5043026873460175,5.592507461834971,0.8938160042672634,0.2366922663640223,0.3248970408529759,1.2411522067572396,-0.11064393612595391,-0.022439161637000327,0.3248970408529759,7
S018,Pristine PIM-1,Sheet1,20,,,,xgboost,4,1.099877868397791,1.3776452541351318,0.27776738573734083,3.944975908412048,CO2/CH4,log10_sel_co2_ch4_from_perm,5.044853776809839,5.32262116254718,1.0564937388282205,0.043384129569570495,0.32115151530691133,1.4197521685659373,-0.31987430016814633,-0.0421069144308055,0.32115151530691133,8
S049,PIM-TMN-Trip,Sheet1,51,,,,xgboost,3,1.0268998959598714,1.1426714658737183,0.11577156991384685,4.52244423350632,CO2/CH4,log10_sel_co2_ch4_from_perm,5.549344129466192,5.6651156993800384,0.837423812768178,0.1894760831916934,0.30524765310554025,1.1792405796053909,-0.15234068364551945,-0.0365691137316726,0.30524765310554025,9
S033,PIM-DTFM-Btrip,Sheet1,35,,,,xgboost,5,1.1299595379833507,1.155001163482666,0.025041625499315323,4.4623979978989565,CO2/CH4,log10_sel_co2_ch4_from_perm,5.592357535882307,5.6173991613816225,0.8602031130744617,0.26975642490888896,0.2947980504082043,1.2042494240899237,-0.07428988610657306,-0.04924826060725773,0.2947980504082043,10
S036,PIM-DTFM-Btrip,Sheet1,38,,,,xgboost,5,1.30813033608192,1.2612320184707642,-0.046898317611155926,4.1702617153949575,CO2/CH4,log10_sel_co2_ch4_from_perm,5.478392051476877,5.431493733865722,0.9710287134174052,0.33710162266451493,0.290203305053359,1.3259221781523973,-0.017791842070477237,-0.06469015968163316,0.290203305053359,11
S035,PIM-DTFM-Btrip,Sheet1,37,,,,xgboost,5,1.2784966979687609,1.230082392692566,-0.04841430527619495,4.227886704613674,CO2/CH4,log10_sel_co2_ch4_from_perm,5.5063834025824345,5.45796909730624,0.9491679436075735,0.32932875436118736,0.2809144490849924,1.3019217661496,-0.023425068180839226,-0.07183937345703417,0.2809144490849924,12
