sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family,model_name,fold_id,y_true,y_pred,residual,screening_x_true,pair_label,screening_target_column,screening_score_true,screening_score_pred,upper_bound_2008_log_selectivity,distance_to_upper_bound_2008_true,distance_to_upper_bound_2008_pred,upper_bound_2019_log_selectivity,distance_to_upper_bound_2019_true,distance_to_upper_bound_2019_pred,screening_rank_score,pred_rank
S037,PIM-HMI-Trip,Sheet1,39,,,,hist_gb,2,0.9578933081344576,1.3151391225710467,0.3572458144365891,4.645422269349092,CO2/CH4,log10_sel_co2_ch4_from_perm,5.60331557748355,5.960561391920139,0.7907705366518002,0.16712277148265742,0.5243685859192465,1.1280210727987385,-0.17012776466428092,0.18711804977230817,0.5243685859192465,1
S038,PIM-HMI-Trip,Sheet1,40,,,,hist_gb,2,0.9900917113397508,1.3151391225710467,0.3250474112312959,4.5910646070265,CO2/CH4,log10_sel_co2_ch4_from_perm,5.581156318366252,5.906203729597547,0.811391804604225,0.17869990673552583,0.5037473179668217,1.1506606656028169,-0.16056895426306605,0.16447845696822982,0.5037473179668217,2
S039,PIM-HMI-Trip,Sheet1,41,,,,hist_gb,2,1.097313820086803,1.3151391225710467,0.2178253024842438,4.429752280002408,CO2/CH4,log10_sel_co2_ch4_from_perm,5.52706610008921,5.7448914025734545,0.8725876798030463,0.2247261402837566,0.4425514427680004,1.2178461412480033,-0.12053232116120038,0.09729298132304343,0.4425514427680004,3
S044,PIM-TFM-Btrip,Sheet1,46,,,,hist_gb,4,1.2474822606770544,1.3204883830801721,0.07300612240311777,4.344392273685111,CO2/CH4,log10_sel_co2_ch4_from_perm,5.591874534362166,5.664880656765283,0.9049700797716717,0.3425121809053827,0.4155183033085005,1.253397997273533,-0.0059157365964785935,0.06709038580663917,0.4155183033085005,4
S045,PIM-TFM-Btrip,Sheet1,47,,,,hist_gb,4,1.2857249223712102,1.3204883830801721,0.03476346070896197,4.264817823009537,CO2/CH4,log10_sel_co2_ch4_from_perm,5.550542745380747,5.585306206089709,0.9351576559004935,0.3505672664707167,0.38533072717967864,1.286540209133414,-0.0008152867622037707,0.0339481739467582,0.38533072717967864,5
S040,PIM-HMI-Trip,Sheet1,42,,,,hist_gb,2,1.190101973498496,1.3151391225710467,0.1250371490725508,4.276461804173244,CO2/CH4,log10_sel_co2_ch4_from_perm,5.466563777671739,5.591600926744291,0.9307403641084954,0.2593616093900005,0.38439875846255134,1.281690570997759,-0.09158859749926318,0.03344855157328763,0.38439875846255134,6
S046,PIM-TFM-Btrip,Sheet1,48,,,,hist_gb,4,1.289434677672704,1.3204883830801721,0.031053705407468213,4.230448921378274,CO2/CH4,log10_sel_co2_ch4_from_perm,5.519883599050978,5.550937304458446,0.9481959342128086,0.34123874345989536,0.37229244886736357,1.3008546204750477,-0.011419942802343819,0.019633762605124394,0.37229244886736357,7
S041,PIM-HMI-Trip,Sheet1,43,,,,hist_gb,2,1.206020617995359,1.3151391225710467,0.10911850457568772,4.24064907462068,CO2/CH4,log10_sel_co2_ch4_from_perm,5.446669692616039,5.555788197191727,0.9443263768370856,0.26169424115827333,0.37081274573396106,1.2966063267464323,-0.0905857087510733,0.018532795824614423,0.37081274573396106,8
S042,PIM-HMI-Trip,Sheet1,44,,,,hist_gb,2,1.2294173739646963,1.3151391225710467,0.0857217486063504,4.214843848047698,CO2/CH4,log10_sel_co2_ch4_from_perm,5.444261222012394,5.529982970618745,0.9541159165081713,0.275301457456525,0.3610232060628754,1.307354026277037,-0.07793665231234059,0.007785096294009808,0.3610232060628754,9
S047,PIM-TFM-Btrip,Sheet1,49,,,,hist_gb,4,1.2943994167649682,1.3204883830801721,0.026088966315203965,4.193124598354461,CO2/CH4,log10_sel_co2_ch4_from_perm,5.48752401511943,5.513612981434633,0.9623553890776845,0.3320440276872837,0.35813299400248766,1.316399944516619,-0.022000527751650845,0.004088438563553121,0.35813299400248766,10
S049,PIM-TMN-Trip,Sheet1,51,,,,hist_gb,3,1.0268998959598714,1.1868941204756507,0.15999422451577927,4.52244423350632,CO2/CH4,log10_sel_co2_ch4_from_perm,5.549344129466192,5.709338353981971,0.837423812768178,0.1894760831916934,0.34947030770747267,1.1792405796053909,-0.15234068364551945,0.007653540870259823,0.34947030770747267,11
S032,PIM-DTFM-Btrip,Sheet1,34,,,,hist_gb,5,0.9919198695902082,1.140343654489647,0.14842378489943886,4.629409599102719,CO2/CH4,log10_sel_co2_ch4_from_perm,5.621329468692927,5.769753253592366,0.7968451460017141,0.1950747235884941,0.34349850848793295,1.1346902399150955,-0.14277037032488737,0.005653414574551485,0.34349850848793295,12
S043,PIM-TFM-Btrip,Sheet1,45,,,,hist_gb,4,1.1696950538708848,1.176327600816744,0.006632546945859241,4.5276299008713385,CO2/CH4,log10_sel_co2_ch4_from_perm,5.697324954742223,5.703957501688082,0.8354565641471544,0.3342384897237304,0.3408710366695896,1.1770807847844753,-0.007385730913590516,-0.0007531839677312746,0.3408710366695896,13
S033,PIM-DTFM-Btrip,Sheet1,35,,,,hist_gb,5,1.1299595379833507,1.190308376391528,0.0603488384081774,4.4623979978989565,CO2/CH4,log10_sel_co2_ch4_from_perm,5.592357535882307,5.652706374290485,0.8602031130744617,0.26975642490888896,0.33010526331706636,1.2042494240899237,-0.07428988610657306,-0.013941047698395659,0.33010526331706636,14
S018,Pristine PIM-1,Sheet1,20,,,,hist_gb,4,1.099877868397791,1.384769254817342,0.28489138641955103,3.944975908412048,CO2/CH4,log10_sel_co2_ch4_from_perm,5.044853776809839,5.32974516322939,1.0564937388282205,0.043384129569570495,0.3282755159891215,1.4197521685659373,-0.31987430016814633,-0.0349829137485953,0.3282755159891215,15
S050,PIM-TMN-Trip,Sheet1,52,,,,hist_gb,3,1.105803726168039,1.1868941204756507,0.08109039430761178,4.413299764081252,CO2/CH4,log10_sel_co2_ch4_from_perm,5.519103490249291,5.600193884556902,0.8788291501828474,0.22697457598519155,0.30806497029280333,1.2246985010652276,-0.1188947748971887,-0.037804380589576914,0.30806497029280333,16
S051,PIM-TMN-Trip,Sheet1,53,,,,hist_gb,3,1.1305082706312857,1.1868941204756507,0.05638584984436501,4.373794416714731,CO2/CH4,log10_sel_co2_ch4_from_perm,5.5043026873460175,5.560688537190382,0.8938160042672634,0.2366922663640223,0.2930781162083873,1.2411522067572396,-0.11064393612595391,-0.0542580862815889,0.2930781162083873,17
