sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family,model_name,fold_id,y_true,y_pred,residual,screening_x_true,pair_label,screening_target_column,screening_score_true,screening_score_pred,upper_bound_2008_log_selectivity,distance_to_upper_bound_2008_true,distance_to_upper_bound_2008_pred,upper_bound_2019_log_selectivity,distance_to_upper_bound_2019_true,distance_to_upper_bound_2019_pred,screening_rank_score,pred_rank
S056,PIM-BTrip-TB,Sheet1,58,,,,xgboost,4,0.9623759134476932,1.37125825881958,0.40888234537188684,4.120738405542943,CO2/CH4,log10_sel_co2_ch4_from_perm,5.083114318990636,5.491996664362523,0.989816008505423,-0.027440095057729708,0.3814422503141571,1.346548296374811,-0.38417238292711775,0.024709962444769085,0.3814422503141571,1
S017,Pristine PIM-1,Sheet1,19,,,,xgboost,4,0.9001654339746269,1.3861123323440552,0.4859468983694283,4.073351702386901,CO2/CH4,log10_sel_co2_ch4_from_perm,4.9735171363615285,5.459464034730956,1.0077927547709926,-0.10762732079636572,0.37831957757306256,1.3662845325914046,-0.4661190986167777,0.019827799752650588,0.37831957757306256,2
S018,Pristine PIM-1,Sheet1,20,,,,xgboost,4,1.099877868397791,1.3966341018676758,0.2967562334698848,3.944975908412048,CO2/CH4,log10_sel_co2_ch4_from_perm,5.044853776809839,5.341610010279724,1.0564937388282205,0.043384129569570495,0.3401403630394553,1.4197521685659373,-0.31987430016814633,-0.023118066698261552,0.3401403630394553,3
S034,PIM-DTFM-Btrip,Sheet1,36,,,,xgboost,5,1.216820682085793,1.2298189401626587,0.01299825807686572,4.359835482339888,CO2/CH4,log10_sel_co2_ch4_from_perm,5.576656164425682,5.589654422502547,0.8991115028920141,0.31770917919377883,0.33070743727064456,1.2469660069966577,-0.030145324910864746,-0.017147066833999025,0.33070743727064456,4
S032,PIM-DTFM-Btrip,Sheet1,34,,,,xgboost,5,0.9919198695902082,1.127550721168518,0.1356308515783099,4.629409599102719,CO2/CH4,log10_sel_co2_ch4_from_perm,5.621329468692927,5.756960320271237,0.7968451460017141,0.1950747235884941,0.330705575166804,1.1346902399150955,-0.14277037032488737,-0.007139518746577478,0.330705575166804,5
S050,PIM-TMN-Trip,Sheet1,52,,,,xgboost,3,1.105803726168039,1.205625295639038,0.09982156947099918,4.413299764081252,CO2/CH4,log10_sel_co2_ch4_from_perm,5.519103490249291,5.61892505972029,0.8788291501828474,0.22697457598519155,0.32679614545619073,1.2246985010652276,-0.1188947748971887,-0.01907320542618951,0.32679614545619073,6
S051,PIM-TMN-Trip,Sheet1,53,,,,xgboost,3,1.1305082706312857,1.2183711528778076,0.08786288224652195,4.373794416714731,CO2/CH4,log10_sel_co2_ch4_from_perm,5.5043026873460175,5.592165569592539,0.8938160042672634,0.2366922663640223,0.32455514861054424,1.2411522067572396,-0.11064393612595391,-0.022781053879431967,0.32455514861054424,7
S052,PIM-TMN-Trip,Sheet1,54,,,,xgboost,3,1.151267675330649,1.237645149230957,0.08637747390030803,4.309630167425898,CO2/CH4,log10_sel_co2_ch4_from_perm,5.460897842756547,5.547275316656855,0.9181575252417827,0.23311015008886626,0.3194876239891743,1.2678761756405519,-0.11660850030990288,-0.030231026409594852,0.3194876239891743,8
S033,PIM-DTFM-Btrip,Sheet1,35,,,,xgboost,5,1.1299595379833507,1.1541022062301636,0.02414266824681288,4.4623979978989565,CO2/CH4,log10_sel_co2_ch4_from_perm,5.592357535882307,5.61650020412912,0.8602031130744617,0.26975642490888896,0.29389909315570184,1.2042494240899237,-0.07428988610657306,-0.050147217859760174,0.29389909315570184,9
S049,PIM-TMN-Trip,Sheet1,51,,,,xgboost,3,1.0268998959598714,1.131274700164795,0.10437480420492351,4.52244423350632,CO2/CH4,log10_sel_co2_ch4_from_perm,5.549344129466192,5.653718933671115,0.837423812768178,0.1894760831916934,0.2938508873966169,1.1792405796053909,-0.15234068364551945,-0.04796587944059594,0.2938508873966169,10
S036,PIM-DTFM-Btrip,Sheet1,38,,,,xgboost,5,1.30813033608192,1.25603449344635,-0.05209584263556999,4.1702617153949575,CO2/CH4,log10_sel_co2_ch4_from_perm,5.478392051476877,5.426296208841308,0.9710287134174052,0.33710162266451493,0.28500578002894494,1.3259221781523973,-0.017791842070477237,-0.06988768470604723,0.28500578002894494,11
S035,PIM-DTFM-Btrip,Sheet1,37,,,,xgboost,5,1.2784966979687609,1.230106234550476,-0.04839046341828479,4.227886704613674,CO2/CH4,log10_sel_co2_ch4_from_perm,5.5063834025824345,5.45799293916415,0.9491679436075735,0.32932875436118736,0.28093829094290257,1.3019217661496,-0.023425068180839226,-0.07181553159912402,0.28093829094290257,12
S039,PIM-HMI-Trip,Sheet1,41,,,,xgboost,2,1.097313820086803,1.1235644817352295,0.0262506616484266,4.429752280002408,CO2/CH4,log10_sel_co2_ch4_from_perm,5.52706610008921,5.553316761737637,0.8725876798030463,0.2247261402837566,0.2509768019321832,1.2178461412480033,-0.12053232116120038,-0.09428165951277379,0.2509768019321832,13
S047,PIM-TFM-Btrip,Sheet1,49,,,,xgboost,4,1.2943994167649682,1.2094758749008179,-0.0849235418641503,4.193124598354461,CO2/CH4,log10_sel_co2_ch4_from_perm,5.48752401511943,5.402600473255279,0.9623553890776845,0.3320440276872837,0.2471204858231334,1.316399944516619,-0.022000527751650845,-0.10692406961580114,0.2471204858231334,14
S046,PIM-TFM-Btrip,Sheet1,48,,,,xgboost,4,1.289434677672704,1.191528558731079,-0.09790611894162482,4.230448921378274,CO2/CH4,log10_sel_co2_ch4_from_perm,5.519883599050978,5.421977480109353,0.9481959342128086,0.34123874345989536,0.24333262451827053,1.3008546204750477,-0.011419942802343819,-0.10932606174396864,0.24333262451827053,15
