model_name,fold_id,n_train,n_test,train_mae,train_rmse,train_r2,mae,rmse,r2,train_loss,validation_loss,mae_gap,rmse_gap
gcn_small,1,56,15,0.130518444946834,0.1941698481217012,-0.1410060872118395,0.21244093577067058,0.24008335854842583,-1.9773227025251776,0.03770192685936179,0.057640016078948975,0.08192249082383657,0.04591351042672462
gcn_small,2,57,14,0.17002853594328227,0.23542345417262675,-0.3404135942494275,0.07599049806594849,0.08799041958194995,-0.09219465724239595,0.05542420301782457,0.007742313202470541,-0.09403803787733378,-0.1474330345906768
gcn_small,3,57,14,0.15335331778777272,0.18810819258415243,-0.3596114887661066,0.19074116860117232,0.26933227501780027,0.056743833356585394,0.03538469254578415,0.07253987342119217,0.0373878508133996,0.08122408243364784
gcn_small,4,57,14,0.14074385793585525,0.18289592014753336,0.12416709876819731,0.13001335518700735,0.1657201724569745,-0.03792713228389788,0.0334509163931535,0.02746317908167839,-0.010730502748847903,-0.01717574769055885
gcn_small,5,57,14,0.15751935515487403,0.2056566776944599,-0.03544932624026331,0.08571338653564453,0.12494920185603108,-0.2516277923225225,0.04229466770693921,0.015612304210662842,-0.0718059686192295,-0.08070747583842881
gcn_medium,1,56,15,0.15413120601858413,0.2191274487630059,-0.45317508885824287,0.22125508785247802,0.2672760098698658,-2.6899607924623776,0.04801683606845992,0.07143644988536835,0.0671238818338939,0.048148561106859916
gcn_medium,2,57,14,0.19818584542525441,0.2658272212789023,-0.7089850829804112,0.12766374008996145,0.14132047241320478,-1.8173411042920522,0.07066410845308974,0.01997147500514984,-0.07052210533529296,-0.12450674886569751
gcn_medium,3,57,14,0.29246102404176144,0.34173951411106246,-3.4873485044886543,0.3422178753784725,0.4192283773625372,-1.2853577718325568,0.1167858922690676,0.1757524162530899,0.04975685133671104,0.07748886325147475
gcn_medium,4,57,14,0.16035001319751405,0.22355098241260984,-0.3084778812048927,0.11775216885975429,0.15239150258195855,0.12231714609472699,0.049975039061616384,0.023223167285323143,-0.04259784433775976,-0.0711594798306513
gcn_medium,5,57,14,0.2294872748224359,0.28535243636461477,-0.9934547797555213,0.13569311584745133,0.15739627131913067,-0.986081678443969,0.0814260158753186,0.02477358654141426,-0.09379415897498455,-0.1279561650454841
