model_name,fold_id,n_train,n_test,train_mae,train_rmse,train_r2,mae,rmse,r2,train_loss,validation_loss,mae_gap,rmse_gap
distance_gnn_small,1,56,15,0.1749227728162493,0.21329506119891817,-0.3768479385674952,0.09796617031097413,0.10605553059359402,0.4190102968946242,0.04549478194011109,0.011247774586081505,-0.07695660250527517,-0.10723953060532415
distance_gnn_small,2,57,14,0.16394402583440146,0.22377940629017665,-0.21109888246813413,0.06754181214741298,0.07555089042053291,0.1947913256472642,0.050077223431384356,0.00570793729275465,-0.09640221368698848,-0.14822851586964375
distance_gnn_small,3,57,14,0.15828524869784974,0.18990599748971276,-0.38572408590663065,0.24646893995148794,0.29030673475528146,-0.09589028292771618,0.036064287288147104,0.08427800238132477,0.0881836912536382,0.1004007372655687
distance_gnn_small,4,57,14,0.0669713815053304,0.07735000609192957,0.8433487283865113,0.10352239438465663,0.13885495131605677,0.2713166390148102,0.005983023373246716,0.019280698150396347,0.03655101287932623,0.061504945224127194
distance_gnn_small,5,57,14,0.16230024580369917,0.1788926071121414,0.21651983659260154,0.09204056433268956,0.11237960532160345,-0.012472486955774631,0.032002564650355725,0.012629176490008831,-0.07025968147100961,-0.06651300179053794
distance_gnn_medium,1,56,15,0.2171163558959961,0.275120265450782,-1.2907070014479447,0.3620292107264201,0.3969739365796891,-7.140025797827542,0.07569116460425514,0.15758830308914185,0.144912854830424,0.1218536711289071
distance_gnn_medium,2,57,14,0.19921274352491947,0.24233852435410894,-0.4203137352157613,0.08238982302801949,0.09901905838466846,-0.38314227246012633,0.058727960347345,0.009804775007069111,-0.11682292049689998,-0.14331946596944048
distance_gnn_medium,3,57,14,0.2244559034966586,0.271163549989351,-1.8252834562403017,0.2898003714425223,0.3846783878862777,-0.9241921064228116,0.0735296723351144,0.14797747135162354,0.06534446794586371,0.11351483789692668
distance_gnn_medium,4,57,14,0.20039422574796176,0.25824438422517587,-0.7461236412354426,0.169701772076743,0.1912923303403748,-0.3829651217602259,0.06669015943873347,0.0365927554666996,-0.030692453671218756,-0.06695205388480108
distance_gnn_medium,5,57,14,0.17998585993783517,0.242723930665001,-0.4423425359628028,0.10891807930810112,0.14169446562056603,-0.6095853137585328,0.05891490582246007,0.02007732167840004,-0.07106778062973405,-0.10102946504443497
