sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family,model_name,fold_id,y_true,y_pred,residual,screening_x_true,pair_label,screening_target_column,screening_score_true,screening_score_pred,upper_bound_2008_log_selectivity,distance_to_upper_bound_2008_true,distance_to_upper_bound_2008_pred,upper_bound_2019_log_selectivity,distance_to_upper_bound_2019_true,distance_to_upper_bound_2019_pred,screening_rank_score,pred_rank
S006,PIM-1-M,Sheet1,8,,,,hist_gb,3,0.9684063871642432,1.165202080898738,0.1967956937344948,4.151676230847047,CO2/CH4,log10_sel_co2_ch4_from_perm,5.12008261801129,5.316878311745786,0.9780793524719993,-0.009672965307756076,0.18712272842673872,1.3336629047446131,-0.3652565175803699,-0.16846082384587513,0.18712272842673872,1
S017,Pristine PIM-1,Sheet1,19,,,,hist_gb,1,0.9001654339746269,1.1549603799200103,0.25479494594538343,4.073351702386901,CO2/CH4,log10_sel_co2_ch4_from_perm,4.9735171363615285,5.228312082306911,1.0077927547709926,-0.10762732079636572,0.1471676251490177,1.3662845325914046,-0.4661190986167777,-0.21132415267139426,0.1471676251490177,2
S058,PIM-Trip-TB,Sheet1,60,,,,hist_gb,2,1.0305259218823384,1.1435973787797962,0.11307145689745779,3.9871745010875417,CO2/CH4,log10_sel_co2_ch4_from_perm,5.01770042296988,5.130771879867337,1.0404851680105067,-0.009959246128168342,0.10311221076928945,1.4021767447110878,-0.3716508228287494,-0.2585793659312916,0.10311221076928945,3
S018,Pristine PIM-1,Sheet1,20,,,,hist_gb,1,1.099877868397791,1.1549603799200103,0.055082511522219324,3.944975908412048,CO2/CH4,log10_sel_co2_ch4_from_perm,5.044853776809839,5.099936288332058,1.0564937388282205,0.043384129569570495,0.09846664109178982,1.4197521685659373,-0.31987430016814633,-0.264791788645927,0.09846664109178982,4
S070,PIM-PI-12,Sheet1,72,,,,hist_gb,5,1.2057798598462204,1.08959711511922,-0.1161827447270003,3.865696059916071,CO2/CH4,log10_sel_co2_ch4_from_perm,5.071475919762292,4.955293175035291,1.0865695538873925,0.11921030595882787,0.003027561231827569,1.4527716806425626,-0.2469918207963422,-0.3631745655233425,0.003027561231827569,5
S059,PIM-Trip-TB,Sheet1,61,,,,hist_gb,2,1.2582505360768417,1.1435973787797962,-0.1146531572970455,3.596707029681446,CO2/CH4,log10_sel_co2_ch4_from_perm,4.854957565758288,4.740304408461242,1.188613950789754,0.06963658528708772,-0.04501657200995779,1.5648037632059215,-0.30655322712907984,-0.42120638442612535,-0.04501657200995779,6
S010,Vinylated PIM-1,Sheet1,12,,,,hist_gb,3,1.0955716622357945,1.165202080898738,0.0696304186629435,3.510545010206612,CO2/CH4,log10_sel_co2_ch4_from_perm,4.606116672442407,4.67574709110535,1.2213006046117698,-0.12572894237597532,-0.05609852371303181,1.6006896522000216,-0.5051179899642271,-0.43548757130128357,-0.05609852371303181,7
S019,Pristine PIM-1,Sheet1,21,,,,hist_gb,1,1.1153330958348424,1.1549603799200103,0.03962728408516791,3.4955443375464483,CO2/CH4,log10_sel_co2_ch4_from_perm,4.61087743338129,4.650504717466458,1.2269912998546242,-0.11165820401978177,-0.07203091993461386,1.6069373292763078,-0.4916042334414654,-0.4519769493562975,-0.07203091993461386,8
S008,Brominated vinylated PIM-1,Sheet1,10,,,,hist_gb,4,1.1625184518664071,1.1307835282437089,-0.03173492362269825,3.2764618041732443,CO2/CH4,log10_sel_co2_ch4_from_perm,4.438980256039652,4.407245332416953,1.3101030348216969,-0.14758458295528976,-0.179319506577988,1.6981836988611492,-0.535665246994742,-0.5674001706174403,-0.179319506577988,9
S009,Thiophenated vinylated PIM-1,Sheet1,11,,,,hist_gb,4,1.142389466118836,1.1307835282437089,-0.011605937875127204,3.2392994791268923,CO2/CH4,log10_sel_co2_ch4_from_perm,4.381688945245728,4.370083007370601,1.3242010337011931,-0.18181156758235706,-0.19341750545748426,1.7136615518583806,-0.5712720857395446,-0.5828780236146718,-0.19341750545748426,10
S005,AO−PIM-1,Sheet1,7,,,,hist_gb,5,1.530350390252444,1.08959711511922,-0.44075327513322393,3.061829307294699,CO2/CH4,log10_sel_co2_ch4_from_perm,4.592179697547143,4.151426422413919,1.391526592059385,0.13882379819305912,-0.3019294769401648,1.7875766588272237,-0.2572262685747797,-0.6979795437080036,-0.3019294769401648,11
