sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family,model_name,fold_id,y_true,y_pred,residual,screening_x_true,pair_label,screening_target_column,screening_score_true,screening_score_pred,upper_bound_2008_log_selectivity,distance_to_upper_bound_2008_true,distance_to_upper_bound_2008_pred,upper_bound_2019_log_selectivity,distance_to_upper_bound_2019_true,distance_to_upper_bound_2019_pred,screening_rank_score,pred_rank
S017,Pristine PIM-1,Sheet1,19,,,,random_forest,1,0.9001654339746269,1.174368541674151,0.27420310769952405,4.073351702386901,CO2/CH4,log10_sel_co2_ch4_from_perm,4.9735171363615285,5.247720244061052,1.0077927547709926,-0.10762732079636572,0.16657578690315833,1.3662845325914046,-0.4661190986167777,-0.19191599091725364,0.16657578690315833,1
S018,Pristine PIM-1,Sheet1,20,,,,random_forest,1,1.099877868397791,1.1775892327747641,0.07771136437697312,3.944975908412048,CO2/CH4,log10_sel_co2_ch4_from_perm,5.044853776809839,5.122565141186812,1.0564937388282205,0.043384129569570495,0.12109549394654362,1.4197521685659373,-0.31987430016814633,-0.2421629357911732,0.12109549394654362,2
S058,PIM-Trip-TB,Sheet1,60,,,,random_forest,2,1.0305259218823384,1.1493942254842817,0.11886830360194334,3.9871745010875417,CO2/CH4,log10_sel_co2_ch4_from_perm,5.01770042296988,5.136568726571824,1.0404851680105067,-0.009959246128168342,0.108909057473775,1.4021767447110878,-0.3716508228287494,-0.25278251922680606,0.108909057473775,3
S006,PIM-1-M,Sheet1,8,,,,random_forest,3,0.9684063871642432,1.0218855269942446,0.05347913983000141,4.151676230847047,CO2/CH4,log10_sel_co2_ch4_from_perm,5.12008261801129,5.173561757841292,0.9780793524719993,-0.009672965307756076,0.043806174522245334,1.3336629047446131,-0.3652565175803699,-0.3117773777503685,0.043806174522245334,4
S019,Pristine PIM-1,Sheet1,21,,,,random_forest,1,1.1153330958348424,1.2368785619026392,0.12154546606779681,3.4955443375464483,CO2/CH4,log10_sel_co2_ch4_from_perm,4.61087743338129,4.732422899449087,1.2269912998546242,-0.11165820401978177,0.009887262048015044,1.6069373292763078,-0.4916042334414654,-0.3700587673736686,0.009887262048015044,5
S059,PIM-Trip-TB,Sheet1,61,,,,random_forest,2,1.2582505360768417,1.169204615041634,-0.0890459210352077,3.596707029681446,CO2/CH4,log10_sel_co2_ch4_from_perm,4.854957565758288,4.76591164472308,1.188613950789754,0.06963658528708772,-0.019409335748119982,1.5648037632059215,-0.30655322712907984,-0.39559914816428754,-0.019409335748119982,6
S070,PIM-PI-12,Sheet1,72,,,,random_forest,5,1.2057798598462204,0.9933126903705382,-0.21246716947568223,3.865696059916071,CO2/CH4,log10_sel_co2_ch4_from_perm,5.071475919762292,4.859008750286609,1.0865695538873925,0.11921030595882787,-0.09325686351685436,1.4527716806425626,-0.2469918207963422,-0.4594589902720244,-0.09325686351685436,7
S010,Vinylated PIM-1,Sheet1,12,,,,random_forest,4,1.0955716622357945,1.082371760614207,-0.013199901621587573,3.510545010206612,CO2/CH4,log10_sel_co2_ch4_from_perm,4.606116672442407,4.592916770820819,1.2213006046117698,-0.12572894237597532,-0.1389288439975629,1.6006896522000216,-0.5051179899642271,-0.5183178915858146,-0.1389288439975629,8
S009,Thiophenated vinylated PIM-1,Sheet1,11,,,,random_forest,3,1.142389466118836,1.1498604946846789,0.007471028565842808,3.2392994791268923,CO2/CH4,log10_sel_co2_ch4_from_perm,4.381688945245728,4.389159973811571,1.3242010337011931,-0.18181156758235706,-0.17434053901651425,1.7136615518583806,-0.5712720857395446,-0.5638010571737018,-0.17434053901651425,9
S008,Brominated vinylated PIM-1,Sheet1,10,,,,random_forest,4,1.1625184518664071,1.1247829885746687,-0.03773546329173838,3.2764618041732443,CO2/CH4,log10_sel_co2_ch4_from_perm,4.438980256039652,4.401244792747913,1.3101030348216969,-0.14758458295528976,-0.18532004624702814,1.6981836988611492,-0.535665246994742,-0.5734007102864804,-0.18532004624702814,10
S005,AO−PIM-1,Sheet1,7,,,,random_forest,5,1.530350390252444,1.0822593362374895,-0.4480910540149545,3.061829307294699,CO2/CH4,log10_sel_co2_ch4_from_perm,4.592179697547143,4.144088643532188,1.391526592059385,0.13882379819305912,-0.3092672558218954,1.7875766588272237,-0.2572262685747797,-0.7053173225897342,-0.3092672558218954,11
