model_name,fold_id,n_train,n_test,train_mae,train_rmse,train_r2,mae,rmse,r2,mae_gap,rmse_gap
ridge,1,8,3,0.007014569716280908,0.012991847370302179,0.9934204943543644,0.34603590522792665,0.34938944069012307,-11.71283926165709,0.33902133551164576,0.3363975933198209
ridge,2,9,2,0.006238779093085937,0.011951777319815454,0.9948202034381134,0.10707643649332899,0.12074334817309984,-0.12451815253754961,0.10083765740024304,0.10879157085328439
ridge,3,9,2,0.012448079005249283,0.016911173621381843,0.9892355033516254,0.023115966902666707,0.026615791763704582,0.8247727273515102,0.010667887897417424,0.009704618142322739
ridge,4,9,2,0.012497541159124924,0.01692224460622051,0.9905760550256058,0.00877939018566598,0.008783501278167625,0.23835684341587715,-0.0037181509734589436,-0.008138743328052886
ridge,5,9,2,0.012207425861708322,0.016988584920250033,0.9715465517734834,0.3661236956600733,0.4000859155132144,-5.077827175649133,0.353916269798365,0.38309733059296436
random_forest,1,8,3,0.045559749670624594,0.06368823596389353,0.841886160701893,0.1578199793814314,0.1788851593872872,-2.332511289858253,0.11226022971080682,0.11519692342339366
random_forest,2,9,2,0.03810151881785884,0.05954566229224109,0.8714275329709119,0.10395711231857552,0.10502106849154653,0.1492677307488599,0.06585559350071668,0.04547540619930544
random_forest,3,9,2,0.04878396847222398,0.06823726475025024,0.8247373191790365,0.07188911491797534,0.07511721647067084,-0.3957315450026926,0.02310514644575136,0.0068799517204205934
random_forest,4,9,2,0.05069298885106572,0.0695461723326728,0.8408292474227735,0.029987562999951756,0.03109134690492218,-8.543227555177552,-0.020705425851113964,-0.03845482542775061
random_forest,5,9,2,0.026387597423845492,0.037689595401284734,0.8599563423406187,0.33027911174531843,0.35066215278615487,-3.668954162615014,0.30389151432147293,0.3129725573848701
svr,1,8,3,0.06834772240350018,0.07782535470877312,0.7639012640727066,0.2120965239731634,0.2328711320992893,-4.647474958095379,0.14374880156966321,0.15504577739051617
svr,2,9,2,0.06530109184714275,0.07520843398358285,0.7948928459784743,0.11343731510932686,0.11524082646241181,-0.024360373460764473,0.048136223262184114,0.04003239247882896
svr,3,9,2,0.07377838985153973,0.08130571329670254,0.7511782393997775,0.13107975620683587,0.1436529044856299,-4.104482790050504,0.057301366355296146,0.062347191188927356
svr,4,9,2,0.08544874716815483,0.088782339612372,0.7405999975494888,0.020726885130087913,0.02171040975866056,-3.6532056556650714,-0.06472186203806692,-0.06707192985371144
svr,5,9,2,0.08621321208217131,0.08910308105379895,0.21728088920695654,0.30195481329713236,0.350328569848219,-3.66007528805354,0.21574160121496105,0.26122548879442004
hist_gb,1,8,3,0.11500072508008763,0.1613217415717828,-0.014465420411127194,0.11650158051759023,0.15223323027389354,-1.4134701434295143,0.001500855437502599,-0.009088511297889262
hist_gb,2,9,2,0.11196632495314734,0.16625674553310973,-0.002319701781679173,0.11386230709725165,0.11386505355703899,-4.8242354838690105e-05,0.0018959821441043023,-0.05239169197607074
hist_gb,3,9,2,0.11546408786631979,0.1630615891371689,-0.0008052414524930551,0.13321305619871915,0.14760918039813423,-4.3895146764477575,0.017748968332399362,-0.015452408739034668
hist_gb,4,9,2,0.13076122237966625,0.1743439592739723,-0.00030079441162533804,0.021670430748912728,0.023893546945773912,-4.636083982537675,-0.10909079163075353,-0.1504504123281984
hist_gb,5,9,2,0.07845022135018268,0.1007820641650658,-0.0013525145071586753,0.2784680099301121,0.32230566215392703,-2.944370400566279,0.20001778857992944,0.22152359798886123
xgboost,1,8,3,0.0005229390912156462,0.0007532802956548756,0.9999778810422582,0.4231419810846404,0.4343402747763117,-18.64641023993136,0.42261904199342476,0.43358699448065685
xgboost,2,9,2,0.00048501313691795556,0.0006573669168832926,0.9999843302017667,0.05538138868981146,0.058804184629844054,0.7332794326114607,0.054896375552893506,0.05814681771296076
xgboost,3,9,2,0.0005082455185929523,0.0006203424065863742,0.9999855153111207,0.050314464794839364,0.05774253872589197,0.1752645359516578,0.04980621927624641,0.057122196319305596
xgboost,4,9,2,0.00047573907092990364,0.0006171729996353966,0.9999874648180812,0.08906382322754591,0.08912632611804214,-77.42024887289757,0.08858808415661601,0.08850915311840674
xgboost,5,9,2,0.0005515239376642963,0.0006398389471083903,0.9999596390073573,0.3209980788838659,0.34205430160574624,-3.4425460029740833,0.3204465549462016,0.34141446265863784
