sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family,model_name,fold_id,y_true,y_pred,residual,screening_x_true,pair_label,screening_target_column,screening_score_true,screening_score_pred,upper_bound_2008_log_selectivity,distance_to_upper_bound_2008_true,distance_to_upper_bound_2008_pred,upper_bound_2019_log_selectivity,distance_to_upper_bound_2019_true,distance_to_upper_bound_2019_pred,screening_rank_score,pred_rank
S017,Pristine PIM-1,Sheet1,19,,,,xgboost,1,0.9001654339746269,1.4616007804870605,0.5614353465124337,4.073351702386901,CO2/CH4,log10_sel_co2_ch4_from_perm,4.9735171363615285,5.534952482873962,1.0077927547709926,-0.10762732079636572,0.45380802571606793,1.3662845325914046,-0.4661190986167777,0.09531624789565596,0.45380802571606793,1
S018,Pristine PIM-1,Sheet1,20,,,,xgboost,1,1.099877868397791,1.4616007804870605,0.36172291208926954,3.944975908412048,CO2/CH4,log10_sel_co2_ch4_from_perm,5.044853776809839,5.406576688899109,1.0564937388282205,0.043384129569570495,0.40510704165884004,1.4197521685659373,-0.31987430016814633,0.04184861192112321,0.40510704165884004,2
S019,Pristine PIM-1,Sheet1,21,,,,xgboost,1,1.1153330958348424,1.4616007804870605,0.34626768465221813,3.4955443375464483,CO2/CH4,log10_sel_co2_ch4_from_perm,4.61087743338129,4.957145118033509,1.2269912998546242,-0.11165820401978177,0.23460948063243636,1.6069373292763078,-0.4916042334414654,-0.1453365487892473,0.23460948063243636,3
S006,PIM-1-M,Sheet1,8,,,,xgboost,3,0.9684063871642432,1.047052025794983,0.0786456386307397,4.151676230847047,CO2/CH4,log10_sel_co2_ch4_from_perm,5.12008261801129,5.19872825664203,0.9780793524719993,-0.009672965307756076,0.06897267332298362,1.3336629047446131,-0.3652565175803699,-0.2866108789496302,0.06897267332298362,4
S058,PIM-Trip-TB,Sheet1,60,,,,xgboost,2,1.0305259218823384,1.0661377906799316,0.03561186879759326,3.9871745010875417,CO2/CH4,log10_sel_co2_ch4_from_perm,5.01770042296988,5.053312291767473,1.0404851680105067,-0.009959246128168342,0.025652622669424918,1.4021767447110878,-0.3716508228287494,-0.33603895403115613,0.025652622669424918,5
S059,PIM-Trip-TB,Sheet1,61,,,,xgboost,2,1.2582505360768417,1.183099627494812,-0.07515090858202966,3.596707029681446,CO2/CH4,log10_sel_co2_ch4_from_perm,4.854957565758288,4.779806657176258,1.188613950789754,0.06963658528708772,-0.005514323294941947,1.5648037632059215,-0.30655322712907984,-0.3817041357111095,-0.005514323294941947,6
S070,PIM-PI-12,Sheet1,72,,,,xgboost,5,1.2057798598462204,1.002940058708191,-0.20283980113802946,3.865696059916071,CO2/CH4,log10_sel_co2_ch4_from_perm,5.071475919762292,4.868636118624262,1.0865695538873925,0.11921030595882787,-0.0836294951792016,1.4527716806425626,-0.2469918207963422,-0.44983162193437165,-0.0836294951792016,7
S010,Vinylated PIM-1,Sheet1,12,,,,xgboost,3,1.0955716622357945,1.0735883712768555,-0.021983290958939028,3.510545010206612,CO2/CH4,log10_sel_co2_ch4_from_perm,4.606116672442407,4.5841333814834675,1.2213006046117698,-0.12572894237597532,-0.14771223333491434,1.6006896522000216,-0.5051179899642271,-0.5271012809231661,-0.14771223333491434,8
S008,Brominated vinylated PIM-1,Sheet1,10,,,,xgboost,4,1.1625184518664071,1.0701173543930054,-0.09240109747340175,3.2764618041732443,CO2/CH4,log10_sel_co2_ch4_from_perm,4.438980256039652,4.34657915856625,1.3101030348216969,-0.14758458295528976,-0.2399856804286915,1.6981836988611492,-0.535665246994742,-0.6280663444681438,-0.2399856804286915,9
S009,Thiophenated vinylated PIM-1,Sheet1,11,,,,xgboost,4,1.142389466118836,1.056662917137146,-0.08572654898169008,3.2392994791268923,CO2/CH4,log10_sel_co2_ch4_from_perm,4.381688945245728,4.295962396264038,1.3242010337011931,-0.18181156758235706,-0.26753811656404713,1.7136615518583806,-0.5712720857395446,-0.6569986347212347,-0.26753811656404713,10
S005,AO−PIM-1,Sheet1,7,,,,xgboost,5,1.530350390252444,1.0911940336227417,-0.4391563566297023,3.061829307294699,CO2/CH4,log10_sel_co2_ch4_from_perm,4.592179697547143,4.153023340917441,1.391526592059385,0.13882379819305912,-0.3003325584366432,1.7875766588272237,-0.2572262685747797,-0.696382625204482,-0.3003325584366432,11
