model_name,fold_id,n_train,n_test,train_mae,train_rmse,train_r2,mae,rmse,r2,mae_gap,rmse_gap
ridge,1,56,15,0.03164995246026051,0.038026461564794584,0.9545956010771652,0.2817928858042761,0.298363844474224,-2.1020240662122185,0.25014293334401555,0.2603373829094294
ridge,2,57,14,0.03332597153045245,0.04307497217037679,0.9535388576098285,0.11862331984455932,0.13882920022392103,-0.472934363950972,0.08529734831410687,0.09575422805354425
ridge,3,57,14,0.03063149638145521,0.039788576662032206,0.9621888359512164,0.09568504953478078,0.11232447071000883,-0.1646642352782619,0.06505355315332557,0.07253589404797661
ridge,4,57,14,0.03097344192374425,0.03979697684380668,0.9582186127988003,0.21207274343204527,0.2552640947290592,-2.802804069449833,0.18109930150830103,0.21546711788525252
ridge,5,57,14,0.033174131549330924,0.042002084941269814,0.9355303990909791,0.1760233374607442,0.23098330612828874,0.1531775764879817,0.14284920591141326,0.18898122118701893
random_forest,1,56,15,0.02590559178632016,0.035043535576408824,0.9614395643179009,0.21530665767061244,0.23139746763357694,-0.8658210030587599,0.18940106588429229,0.1963539320571681
random_forest,2,57,14,0.024284778706160845,0.03464801319794537,0.9699394760985821,0.12357533623283634,0.1683978305892158,-1.1671787601145431,0.0992905575266755,0.13374981739127045
random_forest,3,57,14,0.027806608068757652,0.035629186804913546,0.9696809868873997,0.06416678250958337,0.0941217948097784,0.18222773362549805,0.03636017444082572,0.05849260800486486
random_forest,4,57,14,0.023911135558758602,0.03207140944159943,0.9728656899673132,0.15135011506819454,0.19896470588027618,-1.3103436072014705,0.12743897950943595,0.16689329643867673
random_forest,5,57,14,0.02487027577240923,0.03675743944096198,0.9506253778849421,0.17716674437325747,0.2736862961509899,-0.1888779366640252,0.15229646860084822,0.2369288567100279
svr,1,56,15,0.07327958180395928,0.07914288964473538,0.8033246615729248,0.2668137342844725,0.29021474218942084,-1.9348892220992426,0.19353415248051326,0.21107185254468547
svr,2,57,14,0.05954667960046863,0.06957011726149412,0.8788048212024014,0.10966036296649094,0.12110608978122729,-0.12086605026717057,0.05011368336602231,0.05153597251973317
svr,3,57,14,0.06457763598794546,0.07373798777159124,0.8701368884385698,0.07148797860923138,0.09970200215798415,0.08238662117053086,0.006910342621285925,0.02596401438639291
svr,4,57,14,0.0642723836389828,0.07268579577026812,0.860625991996214,0.16681250837558156,0.19181918200378706,-1.1473782807339465,0.10254012473659876,0.11913338623351893
svr,5,57,14,0.05717006466155951,0.06773749367557899,0.8323237583599526,0.1898577597018311,0.2822883324176619,-0.2647859116099931,0.1326876950402716,0.2145508387420829
hist_gb,1,56,15,0.11416872630931484,0.16145558017163522,0.18147448996764837,0.21612586299426978,0.23164452371152056,-0.8698072912553771,0.10195713668495494,0.07018894353988533
hist_gb,2,57,14,0.08801843584836591,0.11379937170476036,0.6757204202080014,0.10765311609840504,0.13733484287480582,-0.441395695985741,0.01963468025003913,0.023535471170045466
hist_gb,3,57,14,0.09458416284078913,0.11423928185961597,0.688301889828844,0.11723113171151989,0.14328060108576482,-0.8950765919585453,0.022646968870730755,0.029041319226148846
hist_gb,4,57,14,0.07502053465784214,0.09655410472919797,0.754062829048727,0.2193058254923912,0.2790268932599275,-3.5437728698289632,0.14428529083454905,0.18247278853072957
hist_gb,5,57,14,0.07635743234011834,0.09539415623586106,0.6674500965744913,0.16334397623244978,0.2474664050468933,0.02800582631540771,0.08698654389233144,0.15207224881103223
xgboost,1,56,15,0.0006568728592208421,0.0008943838611654703,0.9999748826389814,0.2053783926802589,0.22646702997761534,-0.7871571498817937,0.20472151982103806,0.22557264611644987
xgboost,2,57,14,0.000618330035860391,0.0008467583470815542,0.9999820460981794,0.1481238821519963,0.2215637565617327,-2.7516230091950447,0.1475055521161359,0.22071699821465113
xgboost,3,57,14,0.0006639886661821098,0.0009278586859889764,0.999979437926093,0.0694013874621179,0.10281848211450288,0.024124636719197734,0.06873739879593578,0.1018906234285139
xgboost,4,57,14,0.0007151403651070382,0.0009237580796460297,0.9999774887718125,0.1876046917431168,0.2709097332405671,-3.2832527677070127,0.18688955137800978,0.2699859751609211
xgboost,5,57,14,0.000749504016028704,0.0009475180640554656,0.9999671913560265,0.1787939304464168,0.2771659342952328,-0.21930081903334653,0.17804442643038812,0.2762184162311773
