sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family,model_name,fold_id,y_true,y_pred,residual,screening_x_true,pair_label,screening_target_column,screening_score_true,screening_score_pred,upper_bound_2008_log_selectivity,distance_to_upper_bound_2008_true,distance_to_upper_bound_2008_pred,upper_bound_2019_log_selectivity,distance_to_upper_bound_2019_true,distance_to_upper_bound_2019_pred,screening_rank_score,pred_rank
S044,PIM-TFM-Btrip,Sheet1,46,,,,ridge,3,1.2474822606770544,1.370009048315322,0.12252678763826763,4.344392273685111,CO2/CH4,log10_sel_co2_ch4_from_perm,5.591874534362166,5.714401322000433,0.9049700797716717,0.3425121809053827,0.46503896854365034,1.253397997273533,-0.0059157365964785935,0.11661105104178904,0.46503896854365034,1
S046,PIM-TFM-Btrip,Sheet1,48,,,,ridge,3,1.289434677672704,1.4113663574584037,0.12193167978569974,4.230448921378274,CO2/CH4,log10_sel_co2_ch4_from_perm,5.519883599050978,5.6418152788366775,0.9481959342128086,0.34123874345989536,0.4631704232455951,1.3008546204750477,-0.011419942802343819,0.11051173698335592,0.4631704232455951,2
S045,PIM-TFM-Btrip,Sheet1,47,,,,ridge,3,1.2857249223712102,1.3975689905210382,0.11184406814982806,4.264817823009537,CO2/CH4,log10_sel_co2_ch4_from_perm,5.550542745380747,5.662386813530575,0.9351576559004935,0.3505672664707167,0.46241133462054473,1.286540209133414,-0.0008152867622037707,0.11102878138762429,0.46241133462054473,3
S047,PIM-TFM-Btrip,Sheet1,49,,,,ridge,3,1.2943994167649682,1.4227913885794994,0.12839197181453121,4.193124598354461,CO2/CH4,log10_sel_co2_ch4_from_perm,5.48752401511943,5.6159159869339605,0.9623553890776845,0.3320440276872837,0.4604359995018149,1.316399944516619,-0.022000527751650845,0.10639144406288037,0.4604359995018149,4
S049,PIM-TMN-Trip,Sheet1,51,,,,ridge,4,1.0268998959598714,1.2791414148588405,0.25224151889896906,4.52244423350632,CO2/CH4,log10_sel_co2_ch4_from_perm,5.549344129466192,5.801585648365161,0.837423812768178,0.1894760831916934,0.44171760209066246,1.1792405796053909,-0.15234068364551945,0.09990083525344962,0.44171760209066246,5
S018,Pristine PIM-1,Sheet1,20,,,,ridge,4,1.099877868397791,1.4929813120758744,0.39310344367808336,3.944975908412048,CO2/CH4,log10_sel_co2_ch4_from_perm,5.044853776809839,5.437957220487922,1.0564937388282205,0.043384129569570495,0.43648757324765386,1.4197521685659373,-0.31987430016814633,0.07322914350993703,0.43648757324765386,6
S017,Pristine PIM-1,Sheet1,19,,,,ridge,4,0.9001654339746269,1.4350980345373208,0.5349326005626939,4.073351702386901,CO2/CH4,log10_sel_co2_ch4_from_perm,4.9735171363615285,5.508449736924222,1.0077927547709926,-0.10762732079636572,0.42730527976632815,1.3662845325914046,-0.4661190986167777,0.06881350194591618,0.42730527976632815,7
S050,PIM-TMN-Trip,Sheet1,52,,,,ridge,4,1.105803726168039,1.3043199038270668,0.19851617765902785,4.413299764081252,CO2/CH4,log10_sel_co2_ch4_from_perm,5.519103490249291,5.717619667908319,0.8788291501828474,0.22697457598519155,0.4254907536442194,1.2246985010652276,-0.1188947748971887,0.07962140276183916,0.4254907536442194,8
S051,PIM-TMN-Trip,Sheet1,53,,,,ridge,4,1.1305082706312857,1.3160676374372446,0.18555936680595897,4.373794416714731,CO2/CH4,log10_sel_co2_ch4_from_perm,5.5043026873460175,5.689862054151976,0.8938160042672634,0.2366922663640223,0.42225163316998127,1.2411522067572396,-0.11064393612595391,0.07491543068000506,0.42225163316998127,9
S052,PIM-TMN-Trip,Sheet1,54,,,,ridge,4,1.151267675330649,1.3219573799821094,0.17068970465146038,4.309630167425898,CO2/CH4,log10_sel_co2_ch4_from_perm,5.460897842756547,5.6315875474080075,0.9181575252417827,0.23311015008886626,0.40379985474032665,1.2678761756405519,-0.11660850030990288,0.0540812043415575,0.40379985474032665,10
S033,PIM-DTFM-Btrip,Sheet1,35,,,,ridge,5,1.1299595379833507,1.2498805583743433,0.11992102039099262,4.4623979978989565,CO2/CH4,log10_sel_co2_ch4_from_perm,5.592357535882307,5.7122785562733,0.8602031130744617,0.26975642490888896,0.3896774452998816,1.2042494240899237,-0.07428988610657306,0.04563113428441956,0.3896774452998816,11
S039,PIM-HMI-Trip,Sheet1,41,,,,ridge,2,1.097313820086803,1.2618412868965518,0.16452746680974895,4.429752280002408,CO2/CH4,log10_sel_co2_ch4_from_perm,5.52706610008921,5.691593566898959,0.8725876798030463,0.2247261402837566,0.38925360709350554,1.2178461412480033,-0.12053232116120038,0.04399514564854856,0.38925360709350554,12
S034,PIM-DTFM-Btrip,Sheet1,36,,,,ridge,5,1.216820682085793,1.2867502296819655,0.06992954759617254,4.359835482339888,CO2/CH4,log10_sel_co2_ch4_from_perm,5.576656164425682,5.646585712021854,0.8991115028920141,0.31770917919377883,0.38763872678995137,1.2469660069966577,-0.030145324910864746,0.03978422268530779,0.38763872678995137,13
S048,PIM-TMN-Trip,Sheet1,50,,,,ridge,4,0.8622959159628186,1.1163044089508005,0.2540084929879819,4.722633922533812,CO2/CH4,log10_sel_co2_ch4_from_perm,5.584929838496631,5.838938331484613,0.7614793176894634,0.1008165982733552,0.3548250912613371,1.0958629498563313,-0.23356703389351263,0.02044145909446926,0.3548250912613371,14
S040,PIM-HMI-Trip,Sheet1,42,,,,ridge,2,1.190101973498496,1.2853558481800376,0.09525387468154167,4.276461804173244,CO2/CH4,log10_sel_co2_ch4_from_perm,5.466563777671739,5.561817652353281,0.9307403641084954,0.2593616093900005,0.3546154840715422,1.281690570997759,-0.09158859749926318,0.0036652771822784924,0.3546154840715422,15
S041,PIM-HMI-Trip,Sheet1,43,,,,ridge,2,1.206020617995359,1.296327229435966,0.09030661144060703,4.24064907462068,CO2/CH4,log10_sel_co2_ch4_from_perm,5.446669692616039,5.536976304056646,0.9443263768370856,0.26169424115827333,0.35200085259888036,1.2966063267464323,-0.0905857087510733,-0.00027909731046626973,0.35200085259888036,16
S043,PIM-TFM-Btrip,Sheet1,45,,,,ridge,3,1.1696950538708848,1.1867459270383576,0.01705087316747278,4.5276299008713385,CO2/CH4,log10_sel_co2_ch4_from_perm,5.697324954742223,5.714375827909696,0.8354565641471544,0.3342384897237304,0.35128936289120316,1.1770807847844753,-0.007385730913590516,0.009665142253882264,0.35128936289120316,17
S042,PIM-HMI-Trip,Sheet1,44,,,,ridge,2,1.2294173739646963,1.301827746650877,0.07241037268618067,4.214843848047698,CO2/CH4,log10_sel_co2_ch4_from_perm,5.444261222012394,5.516671594698575,0.9541159165081713,0.275301457456525,0.3477118301427057,1.307354026277037,-0.07793665231234059,-0.0055262796261599245,0.3477118301427057,18
S035,PIM-DTFM-Btrip,Sheet1,37,,,,ridge,5,1.2784966979687609,1.296350726132194,0.017854028163433178,4.227886704613674,CO2/CH4,log10_sel_co2_ch4_from_perm,5.5063834025824345,5.524237430745868,0.9491679436075735,0.32932875436118736,0.34718278252462054,1.3019217661496,-0.023425068180839226,-0.005571040017406048,0.34718278252462054,19
S036,PIM-DTFM-Btrip,Sheet1,38,,,,ridge,5,1.30813033608192,1.304936801201985,-0.0031935348799350116,4.1702617153949575,CO2/CH4,log10_sel_co2_ch4_from_perm,5.478392051476877,5.475198516596943,0.9710287134174052,0.33710162266451493,0.3339080877845799,1.3259221781523973,-0.017791842070477237,-0.02098537695041225,0.3339080877845799,20
S038,PIM-HMI-Trip,Sheet1,40,,,,ridge,2,0.9900917113397508,1.1317453046306996,0.14165359329094873,4.5910646070265,CO2/CH4,log10_sel_co2_ch4_from_perm,5.581156318366252,5.7228099116572,0.811391804604225,0.17869990673552583,0.32035350002647456,1.1506606656028169,-0.16056895426306605,-0.018915360972117323,0.32035350002647456,21
S037,PIM-HMI-Trip,Sheet1,39,,,,ridge,2,0.9578933081344576,1.1097654113554907,0.15187210322103306,4.645422269349092,CO2/CH4,log10_sel_co2_ch4_from_perm,5.60331557748355,5.755187680704583,0.7907705366518002,0.16712277148265742,0.3189948747036905,1.1280210727987385,-0.17012776466428092,-0.01825566144324786,0.3189948747036905,22
S019,Pristine PIM-1,Sheet1,21,,,,ridge,4,1.1153330958348424,1.5332381594118538,0.4179050635770114,3.4955443375464483,CO2/CH4,log10_sel_co2_ch4_from_perm,4.61087743338129,5.028782496958302,1.2269912998546242,-0.11165820401978177,0.30624685955722963,1.6069373292763078,-0.4916042334414654,-0.07369916986445402,0.30624685955722963,23
S032,PIM-DTFM-Btrip,Sheet1,34,,,,ridge,5,0.9919198695902082,1.0919791652591762,0.10005929566896798,4.629409599102719,CO2/CH4,log10_sel_co2_ch4_from_perm,5.621329468692927,5.721388764361896,0.7968451460017141,0.1950747235884941,0.2951340192574621,1.1346902399150955,-0.14277037032488737,-0.04271107465591939,0.2951340192574621,24
S056,PIM-BTrip-TB,Sheet1,58,,,,ridge,2,0.9623759134476932,1.2494672745263302,0.287091361078637,4.120738405542943,CO2/CH4,log10_sel_co2_ch4_from_perm,5.083114318990636,5.370205680069272,0.989816008505423,-0.027440095057729708,0.25965126602090727,1.346548296374811,-0.38417238292711775,-0.09708102184848078,0.25965126602090727,25
S031,PIM-DM-Btrip,Sheet1,33,,,,ridge,5,1.1465230284129726,1.1189848516094498,-0.027538176803522774,4.342422680822207,CO2/CH4,log10_sel_co2_ch4_from_perm,5.488945709235179,5.461407532431656,0.9057172697803607,0.2408057586326119,0.21326758182908911,1.2542183191656213,-0.10769529075264872,-0.1352334675561715,0.21326758182908911,26
