sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family,model_name,fold_id,y_true,y_pred,residual,screening_x_true,pair_label,screening_target_column,screening_score_true,screening_score_pred,upper_bound_2008_log_selectivity,distance_to_upper_bound_2008_true,distance_to_upper_bound_2008_pred,upper_bound_2019_log_selectivity,distance_to_upper_bound_2019_true,distance_to_upper_bound_2019_pred,screening_rank_score,pred_rank
S017,Pristine PIM-1,Sheet1,19,,,,xgboost,4,0.9001654339746269,1.5417249202728271,0.6415594862982003,4.073351702386901,CO2/CH4,log10_sel_co2_ch4_from_perm,4.9735171363615285,5.615076622659728,1.0077927547709926,-0.10762732079636572,0.5339321655018345,1.3662845325914046,-0.4661190986167777,0.17544038768142256,0.5339321655018345,1
S018,Pristine PIM-1,Sheet1,20,,,,xgboost,4,1.099877868397791,1.5666491985321045,0.4667713301343135,3.944975908412048,CO2/CH4,log10_sel_co2_ch4_from_perm,5.044853776809839,5.511625106944153,1.0564937388282205,0.043384129569570495,0.510155459703884,1.4197521685659373,-0.31987430016814633,0.14689702996616716,0.510155459703884,2
S032,PIM-DTFM-Btrip,Sheet1,34,,,,xgboost,5,0.9919198695902082,1.1529157161712646,0.16099584658105648,4.629409599102719,CO2/CH4,log10_sel_co2_ch4_from_perm,5.621329468692927,5.782325315273984,0.7968451460017141,0.1950747235884941,0.35607057016955057,1.1346902399150955,-0.14277037032488737,0.018225476256169104,0.35607057016955057,3
S019,Pristine PIM-1,Sheet1,21,,,,xgboost,4,1.1153330958348424,1.5682896375656128,0.4529565417307704,3.4955443375464483,CO2/CH4,log10_sel_co2_ch4_from_perm,4.61087743338129,5.063833975112061,1.2269912998546242,-0.11165820401978177,0.3412983377109886,1.6069373292763078,-0.4916042334414654,-0.03864769171069504,0.3412983377109886,4
S047,PIM-TFM-Btrip,Sheet1,49,,,,xgboost,3,1.2943994167649682,1.2881141901016235,-0.006285226663344634,4.193124598354461,CO2/CH4,log10_sel_co2_ch4_from_perm,5.48752401511943,5.481238788456085,0.9623553890776845,0.3320440276872837,0.32575880102393906,1.316399944516619,-0.022000527751650845,-0.02828575441499548,0.32575880102393906,5
S056,PIM-BTrip-TB,Sheet1,58,,,,xgboost,2,0.9623759134476932,1.3144341707229614,0.3520582572752682,4.120738405542943,CO2/CH4,log10_sel_co2_ch4_from_perm,5.083114318990636,5.435172576265904,0.989816008505423,-0.027440095057729708,0.3246181622175385,1.346548296374811,-0.38417238292711775,-0.03211412565184957,0.3246181622175385,6
S046,PIM-TFM-Btrip,Sheet1,48,,,,xgboost,3,1.289434677672704,1.2677656412124634,-0.021669036460240543,4.230448921378274,CO2/CH4,log10_sel_co2_ch4_from_perm,5.519883599050978,5.4982145625907375,0.9481959342128086,0.34123874345989536,0.3195697069996548,1.3008546204750477,-0.011419942802343819,-0.03308897926258436,0.3195697069996548,7
S045,PIM-TFM-Btrip,Sheet1,47,,,,xgboost,3,1.2857249223712102,1.2531522512435913,-0.03257267112761886,4.264817823009537,CO2/CH4,log10_sel_co2_ch4_from_perm,5.550542745380747,5.517970074253128,0.9351576559004935,0.3505672664707167,0.3179945953430978,1.286540209133414,-0.0008152867622037707,-0.03338795788982263,0.3179945953430978,8
S050,PIM-TMN-Trip,Sheet1,52,,,,xgboost,4,1.105803726168039,1.1874873638153076,0.08168363764726871,4.413299764081252,CO2/CH4,log10_sel_co2_ch4_from_perm,5.519103490249291,5.6007871278965595,0.8788291501828474,0.22697457598519155,0.30865821363246027,1.2246985010652276,-0.1188947748971887,-0.03721113724991998,0.30865821363246027,9
S051,PIM-TMN-Trip,Sheet1,53,,,,xgboost,4,1.1305082706312857,1.1997284889221191,0.06922021829083347,4.373794416714731,CO2/CH4,log10_sel_co2_ch4_from_perm,5.5043026873460175,5.5735229056368505,0.8938160042672634,0.2366922663640223,0.30591248465485577,1.2411522067572396,-0.11064393612595391,-0.041423717835120444,0.30591248465485577,10
S044,PIM-TFM-Btrip,Sheet1,46,,,,xgboost,3,1.2474822606770544,1.2095890045166016,-0.037893256160452804,4.344392273685111,CO2/CH4,log10_sel_co2_ch4_from_perm,5.591874534362166,5.553981278201713,0.9049700797716717,0.3425121809053827,0.3046189247449299,1.253397997273533,-0.0059157365964785935,-0.0438089927569314,0.3046189247449299,11
S034,PIM-DTFM-Btrip,Sheet1,36,,,,xgboost,5,1.216820682085793,1.2031540870666504,-0.01366659501914258,4.359835482339888,CO2/CH4,log10_sel_co2_ch4_from_perm,5.576656164425682,5.562989569406539,0.8991115028920141,0.31770917919377883,0.30404258417463625,1.2469660069966577,-0.030145324910864746,-0.043811919930007326,0.30404258417463625,12
S033,PIM-DTFM-Btrip,Sheet1,35,,,,xgboost,5,1.1299595379833507,1.1625463962554932,0.03258685827214247,4.4623979978989565,CO2/CH4,log10_sel_co2_ch4_from_perm,5.592357535882307,5.62494439415445,0.8602031130744617,0.26975642490888896,0.30234328318103143,1.2042494240899237,-0.07428988610657306,-0.041703027834430584,0.30234328318103143,13
S052,PIM-TMN-Trip,Sheet1,54,,,,xgboost,4,1.151267675330649,1.2179381847381592,0.06667050940751018,4.309630167425898,CO2/CH4,log10_sel_co2_ch4_from_perm,5.460897842756547,5.5275683521640575,0.9181575252417827,0.23311015008886626,0.29978065949637644,1.2678761756405519,-0.11660850030990288,-0.049937990902392704,0.29978065949637644,14
S049,PIM-TMN-Trip,Sheet1,51,,,,xgboost,4,1.0268998959598714,1.1123820543289185,0.08548215836904705,4.52244423350632,CO2/CH4,log10_sel_co2_ch4_from_perm,5.549344129466192,5.634826287835239,0.837423812768178,0.1894760831916934,0.27495824156074045,1.1792405796053909,-0.15234068364551945,-0.0668585252764724,0.27495824156074045,15
S036,PIM-DTFM-Btrip,Sheet1,38,,,,xgboost,5,1.30813033608192,1.228171706199646,-0.07995862988227409,4.1702617153949575,CO2/CH4,log10_sel_co2_ch4_from_perm,5.478392051476877,5.3984334215946035,0.9710287134174052,0.33710162266451493,0.25714299278224084,1.3259221781523973,-0.017791842070477237,-0.09775047195275133,0.25714299278224084,16
S035,PIM-DTFM-Btrip,Sheet1,37,,,,xgboost,5,1.2784966979687609,1.1990281343460083,-0.07946856362275256,4.227886704613674,CO2/CH4,log10_sel_co2_ch4_from_perm,5.5063834025824345,5.426914838959682,0.9491679436075735,0.32932875436118736,0.2498601907384348,1.3019217661496,-0.023425068180839226,-0.10289363180359179,0.2498601907384348,17
S048,PIM-TMN-Trip,Sheet1,50,,,,xgboost,4,0.8622959159628186,1.0053497552871704,0.14305383932435178,4.722633922533812,CO2/CH4,log10_sel_co2_ch4_from_perm,5.584929838496631,5.7279836778209825,0.7614793176894634,0.1008165982733552,0.243870437597707,1.0958629498563313,-0.23356703389351263,-0.09051319456916085,0.243870437597707,18
