sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family,model_name,fold_id,y_true,y_pred,residual,screening_x_true,pair_label,screening_target_column,screening_score_true,screening_score_pred,upper_bound_2008_log_selectivity,distance_to_upper_bound_2008_true,distance_to_upper_bound_2008_pred,upper_bound_2019_log_selectivity,distance_to_upper_bound_2019_true,distance_to_upper_bound_2019_pred,screening_rank_score,pred_rank
S047,PIM-TFM-Btrip,Sheet1,49,,,,random_forest,3,1.2943994167649682,1.347423209805791,0.05302379304082283,4.193124598354461,CO2/CH4,log10_sel_co2_ch4_from_perm,5.48752401511943,5.540547808160252,0.9623553890776845,0.3320440276872837,0.3850678207281065,1.316399944516619,-0.022000527751650845,0.031023265289171986,0.3850678207281065,1
S018,Pristine PIM-1,Sheet1,20,,,,random_forest,4,1.099877868397791,1.4272737367667279,0.32739586836893686,3.944975908412048,CO2/CH4,log10_sel_co2_ch4_from_perm,5.044853776809839,5.372249645178776,1.0564937388282205,0.043384129569570495,0.37077999793850736,1.4197521685659373,-0.31987430016814633,0.007521568200790529,0.37077999793850736,2
S046,PIM-TFM-Btrip,Sheet1,48,,,,random_forest,3,1.289434677672704,1.3188626460771342,0.029427968404430294,4.230448921378274,CO2/CH4,log10_sel_co2_ch4_from_perm,5.519883599050978,5.549311567455408,0.9481959342128086,0.34123874345989536,0.37066671186432565,1.3008546204750477,-0.011419942802343819,0.018008025602086475,0.37066671186432565,3
S050,PIM-TMN-Trip,Sheet1,52,,,,random_forest,4,1.105803726168039,1.2210138933432015,0.11521016717516264,4.413299764081252,CO2/CH4,log10_sel_co2_ch4_from_perm,5.519103490249291,5.634313657424453,0.8788291501828474,0.22697457598519155,0.3421847431603542,1.2246985010652276,-0.1188947748971887,-0.0036846077220260565,0.3421847431603542,4
S045,PIM-TFM-Btrip,Sheet1,47,,,,random_forest,3,1.2857249223712102,1.2752516463594579,-0.010473276011752297,4.264817823009537,CO2/CH4,log10_sel_co2_ch4_from_perm,5.550542745380747,5.540069469368994,0.9351576559004935,0.3505672664707167,0.3400939904589644,1.286540209133414,-0.0008152867622037707,-0.011288562773956068,0.3400939904589644,5
S051,PIM-TMN-Trip,Sheet1,53,,,,random_forest,4,1.1305082706312857,1.2334394376246658,0.10293116699338012,4.373794416714731,CO2/CH4,log10_sel_co2_ch4_from_perm,5.5043026873460175,5.607233854339397,0.8938160042672634,0.2366922663640223,0.3396234333574024,1.2411522067572396,-0.11064393612595391,-0.0077127691325737935,0.3396234333574024,6
S017,Pristine PIM-1,Sheet1,19,,,,random_forest,4,0.9001654339746269,1.3447494518857466,0.4445840179111197,4.073351702386901,CO2/CH4,log10_sel_co2_ch4_from_perm,4.9735171363615285,5.418101154272648,1.0077927547709926,-0.10762732079636572,0.33695669711475396,1.3662845325914046,-0.4661190986167777,-0.021535080705658016,0.33695669711475396,7
S052,PIM-TMN-Trip,Sheet1,54,,,,random_forest,4,1.151267675330649,1.248345164447806,0.09707748911715708,4.309630167425898,CO2/CH4,log10_sel_co2_ch4_from_perm,5.460897842756547,5.557975331873704,0.9181575252417827,0.23311015008886626,0.33018763920602334,1.2678761756405519,-0.11660850030990288,-0.019531011192745806,0.33018763920602334,8
S049,PIM-TMN-Trip,Sheet1,51,,,,random_forest,4,1.0268998959598714,1.1599083158793948,0.1330084199195234,4.52244423350632,CO2/CH4,log10_sel_co2_ch4_from_perm,5.549344129466192,5.682352549385715,0.837423812768178,0.1894760831916934,0.3224845031112168,1.1792405796053909,-0.15234068364551945,-0.019332263725996057,0.3224845031112168,9
S044,PIM-TFM-Btrip,Sheet1,46,,,,random_forest,3,1.2474822606770544,1.2251292010643626,-0.02235305961269174,4.344392273685111,CO2/CH4,log10_sel_co2_ch4_from_perm,5.591874534362166,5.5695214747494735,0.9049700797716717,0.3425121809053827,0.320159121292691,1.253397997273533,-0.0059157365964785935,-0.028268796209170333,0.320159121292691,10
S048,PIM-TMN-Trip,Sheet1,50,,,,random_forest,4,0.8622959159628186,1.0753498011151483,0.2130538851523297,4.722633922533812,CO2/CH4,log10_sel_co2_ch4_from_perm,5.584929838496631,5.797983723648961,0.7614793176894634,0.1008165982733552,0.3138704834256849,1.0958629498563313,-0.23356703389351263,-0.02051314874118293,0.3138704834256849,11
S034,PIM-DTFM-Btrip,Sheet1,36,,,,random_forest,5,1.216820682085793,1.2014226542187643,-0.015398027867028707,4.359835482339888,CO2/CH4,log10_sel_co2_ch4_from_perm,5.576656164425682,5.561258136558653,0.8991115028920141,0.31770917919377883,0.3023111513267501,1.2469660069966577,-0.030145324910864746,-0.04554335277789345,0.3023111513267501,12
