sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family,model_name,fold_id,y_true,y_pred,residual,screening_x_true,pair_label,screening_target_column,screening_score_true,screening_score_pred,upper_bound_2008_log_selectivity,distance_to_upper_bound_2008_true,distance_to_upper_bound_2008_pred,upper_bound_2019_log_selectivity,distance_to_upper_bound_2019_true,distance_to_upper_bound_2019_pred,screening_rank_score,pred_rank
S017,Pristine PIM-1,Sheet1,19,,,,xgboost,4,0.9001654339746269,1.5598039627075195,0.6596385287328926,4.073351702386901,CO2/CH4,log10_sel_co2_ch4_from_perm,4.9735171363615285,5.633155665094421,1.0077927547709926,-0.10762732079636572,0.5520112079365269,1.3662845325914046,-0.4661190986167777,0.19351943011611494,0.5520112079365269,1
S018,Pristine PIM-1,Sheet1,20,,,,xgboost,4,1.099877868397791,1.5855203866958618,0.4856425182980708,3.944975908412048,CO2/CH4,log10_sel_co2_ch4_from_perm,5.044853776809839,5.53049629510791,1.0564937388282205,0.043384129569570495,0.5290266478676413,1.4197521685659373,-0.31987430016814633,0.16576821812992448,0.5290266478676413,2
S032,PIM-DTFM-Btrip,Sheet1,34,,,,xgboost,5,0.9919198695902082,1.1714226007461548,0.17950273115594662,4.629409599102719,CO2/CH4,log10_sel_co2_ch4_from_perm,5.621329468692927,5.800832199848874,0.7968451460017141,0.1950747235884941,0.3745774547444407,1.1346902399150955,-0.14277037032488737,0.03673236083105924,0.3745774547444407,3
S019,Pristine PIM-1,Sheet1,21,,,,xgboost,4,1.1153330958348424,1.5945745706558228,0.47924147482098034,3.4955443375464483,CO2/CH4,log10_sel_co2_ch4_from_perm,4.61087743338129,5.090118908202271,1.2269912998546242,-0.11165820401978177,0.36758327080119857,1.6069373292763078,-0.4916042334414654,-0.012362758620485081,0.36758327080119857,4
S047,PIM-TFM-Btrip,Sheet1,49,,,,xgboost,3,1.2943994167649682,1.3287872076034546,0.03438779083848642,4.193124598354461,CO2/CH4,log10_sel_co2_ch4_from_perm,5.48752401511943,5.521911805957916,0.9623553890776845,0.3320440276872837,0.3664318185257701,1.316399944516619,-0.022000527751650845,0.012387263086835576,0.3664318185257701,5
S046,PIM-TFM-Btrip,Sheet1,48,,,,xgboost,3,1.289434677672704,1.305323600769043,0.015888923096339047,4.230448921378274,CO2/CH4,log10_sel_co2_ch4_from_perm,5.519883599050978,5.535772522147317,0.9481959342128086,0.34123874345989536,0.3571276665562344,1.3008546204750477,-0.011419942802343819,0.004468980293995228,0.3571276665562344,6
S045,PIM-TFM-Btrip,Sheet1,47,,,,xgboost,3,1.2857249223712102,1.2799125909805298,-0.005812331390680381,4.264817823009537,CO2/CH4,log10_sel_co2_ch4_from_perm,5.550542745380747,5.544730413990067,0.9351576559004935,0.3505672664707167,0.3447549350800363,1.286540209133414,-0.0008152867622037707,-0.006627618152884152,0.3447549350800363,7
S033,PIM-DTFM-Btrip,Sheet1,35,,,,xgboost,5,1.1299595379833507,1.1964712142944336,0.0665116763110829,4.4623979978989565,CO2/CH4,log10_sel_co2_ch4_from_perm,5.592357535882307,5.65886921219339,0.8602031130744617,0.26975642490888896,0.33626810121997186,1.2042494240899237,-0.07428988610657306,-0.007778209795490154,0.33626810121997186,8
S044,PIM-TFM-Btrip,Sheet1,46,,,,xgboost,3,1.2474822606770544,1.230509877204895,-0.016972383472159347,4.344392273685111,CO2/CH4,log10_sel_co2_ch4_from_perm,5.591874534362166,5.574902150890006,0.9049700797716717,0.3425121809053827,0.32553979743322337,1.253397997273533,-0.0059157365964785935,-0.02288812006863794,0.32553979743322337,9
S056,PIM-BTrip-TB,Sheet1,58,,,,xgboost,2,0.9623759134476932,1.3137662410736084,0.35139032762591516,4.120738405542943,CO2/CH4,log10_sel_co2_ch4_from_perm,5.083114318990636,5.434504646616551,0.989816008505423,-0.027440095057729708,0.32395023256818545,1.346548296374811,-0.38417238292711775,-0.032782055301202595,0.32395023256818545,10
S034,PIM-DTFM-Btrip,Sheet1,36,,,,xgboost,5,1.216820682085793,1.2207107543945312,0.0038900723087382794,4.359835482339888,CO2/CH4,log10_sel_co2_ch4_from_perm,5.576656164425682,5.58054623673442,0.8991115028920141,0.31770917919377883,0.3215992515025171,1.2469660069966577,-0.030145324910864746,-0.026255252602126466,0.3215992515025171,11
S050,PIM-TMN-Trip,Sheet1,52,,,,xgboost,4,1.105803726168039,1.1851606369018555,0.07935691073381657,4.413299764081252,CO2/CH4,log10_sel_co2_ch4_from_perm,5.519103490249291,5.598460400983107,0.8788291501828474,0.22697457598519155,0.3063314867190081,1.2246985010652276,-0.1188947748971887,-0.03953786416337213,0.3063314867190081,12
S052,PIM-TMN-Trip,Sheet1,54,,,,xgboost,4,1.151267675330649,1.214509129524231,0.06324145419358196,4.309630167425898,CO2/CH4,log10_sel_co2_ch4_from_perm,5.460897842756547,5.524139296950129,0.9181575252417827,0.23311015008886626,0.2963516042824482,1.2678761756405519,-0.11660850030990288,-0.053367046116320926,0.2963516042824482,13
S051,PIM-TMN-Trip,Sheet1,53,,,,xgboost,4,1.1305082706312857,1.189732313156128,0.05922404252484226,4.373794416714731,CO2/CH4,log10_sel_co2_ch4_from_perm,5.5043026873460175,5.563526729870859,0.8938160042672634,0.2366922663640223,0.29591630888886455,1.2411522067572396,-0.11064393612595391,-0.051419893601111655,0.29591630888886455,14
S068,PIM-CN-HPB,Sheet1,70,,,,xgboost,2,1.0520620400193863,1.5559649467468262,0.5039029067274399,3.378397900948137,CO2/CH4,log10_sel_co2_ch4_from_perm,4.430459940967523,4.934362847694963,1.2714322849070943,-0.21937024488770795,0.2845326618397319,1.655728015073189,-0.6036659750538027,-0.09976306832636284,0.2845326618397319,15
S036,PIM-DTFM-Btrip,Sheet1,38,,,,xgboost,5,1.30813033608192,1.2431480884552002,-0.06498224762671989,4.1702617153949575,CO2/CH4,log10_sel_co2_ch4_from_perm,5.478392051476877,5.413409803850158,0.9710287134174052,0.33710162266451493,0.27211937503779504,1.3259221781523973,-0.017791842070477237,-0.08277408969719713,0.27211937503779504,16
S049,PIM-TMN-Trip,Sheet1,51,,,,xgboost,4,1.0268998959598714,1.104651927947998,0.07775203198812664,4.52244423350632,CO2/CH4,log10_sel_co2_ch4_from_perm,5.549344129466192,5.627096161454318,0.837423812768178,0.1894760831916934,0.26722811517982004,1.1792405796053909,-0.15234068364551945,-0.07458865165739281,0.26722811517982004,17
S035,PIM-DTFM-Btrip,Sheet1,37,,,,xgboost,5,1.2784966979687609,1.2112493515014648,-0.06724734646729602,4.227886704613674,CO2/CH4,log10_sel_co2_ch4_from_perm,5.5063834025824345,5.439136056115139,0.9491679436075735,0.32932875436118736,0.26208140789389134,1.3019217661496,-0.023425068180839226,-0.09067241464813525,0.26208140789389134,18
S048,PIM-TMN-Trip,Sheet1,50,,,,xgboost,4,0.8622959159628186,1.003686547279358,0.14139063131653928,4.722633922533812,CO2/CH4,log10_sel_co2_ch4_from_perm,5.584929838496631,5.72632046981317,0.7614793176894634,0.1008165982733552,0.2422072295898945,1.0958629498563313,-0.23356703389351263,-0.09217640257697335,0.2422072295898945,19
