model_name,fold_id,convergence_type,n_iterations,final_train_loss,final_validation_loss
ridge,1,train_vs_validation_metrics_only,,,
ridge,2,train_vs_validation_metrics_only,,,
ridge,3,train_vs_validation_metrics_only,,,
ridge,4,train_vs_validation_metrics_only,,,
ridge,5,train_vs_validation_metrics_only,,,
random_forest,1,train_vs_validation_metrics_only,,,
random_forest,2,train_vs_validation_metrics_only,,,
random_forest,3,train_vs_validation_metrics_only,,,
random_forest,4,train_vs_validation_metrics_only,,,
random_forest,5,train_vs_validation_metrics_only,,,
svr,1,train_vs_validation_metrics_only,,,
svr,2,train_vs_validation_metrics_only,,,
svr,3,train_vs_validation_metrics_only,,,
svr,4,train_vs_validation_metrics_only,,,
svr,5,train_vs_validation_metrics_only,,,
hist_gb,1,iterative_loss,144.0,0.03543212436387747,0.04976547288329731
hist_gb,2,iterative_loss,300.0,0.03846077904543989,0.08797294743618989
hist_gb,3,iterative_loss,300.0,0.02761878704189705,0.07601652794083923
hist_gb,4,iterative_loss,101.0,0.05214783422510341,0.08385635335014419
hist_gb,5,iterative_loss,300.0,0.017186174410447726,0.08933443336441405
xgboost,1,train_vs_validation_metrics_only,,,
xgboost,2,train_vs_validation_metrics_only,,,
xgboost,3,train_vs_validation_metrics_only,,,
xgboost,4,train_vs_validation_metrics_only,,,
xgboost,5,train_vs_validation_metrics_only,,,
