model_name,fold_id,n_train,n_test,train_mae,train_rmse,train_r2,mae,rmse,r2,mae_gap,rmse_gap
ridge,1,59,15,0.05933872908975325,0.08964269813508748,0.9784947816056722,0.4306036052844718,0.49859435196424257,-0.10356115022260104,0.37126487619471854,0.4089516538291551
ridge,2,59,15,0.07459881893081478,0.10350385252206759,0.9690305995739681,0.21014658772049755,0.22988764436629272,0.8468687555076428,0.13554776878968278,0.12638379184422513
ridge,3,59,15,0.06627597031090242,0.0957191629138967,0.9737528222549573,0.47374381535979354,0.5605558258373223,-0.07477791207003448,0.4074678450488911,0.4648366629234256
ridge,4,59,15,0.060691927730852316,0.08347414279503029,0.9754744523671246,0.4663679446543169,0.5602378265222261,0.4001716002046096,0.4056760169234646,0.4767636837271958
ridge,5,60,14,0.065960010113253,0.09889224480771361,0.9734580416587869,0.24915131265413534,0.3031668498870602,0.561636631425065,0.18319130254088234,0.2042746050793466
random_forest,1,59,15,0.0602661143559576,0.08957547097114785,0.9785270250066683,0.4784110786340077,0.5113751419145507,-0.16086286882129186,0.41814496427805015,0.42179967094340287
random_forest,2,59,15,0.07350673315763878,0.10558712584982606,0.9677713804354414,0.1158131516893412,0.15513439945774216,0.9302653268914276,0.04230641853170242,0.049547273607916095
random_forest,3,59,15,0.0577036248422763,0.08486261185944938,0.9793691264761861,0.4038907341981652,0.5061523613683859,0.12371873573436898,0.34618710935588887,0.42128974950893655
random_forest,4,59,15,0.06284623691457833,0.08937052051742768,0.9718872485806036,0.4895413865858702,0.6210934324988582,0.2627818118417994,0.42669514967129185,0.5317229119814305
random_forest,5,60,14,0.0699132241282574,0.10392160186569828,0.9706897071647831,0.23804186610272268,0.27111403296998,0.6494299358371254,0.16812864197446528,0.16719243110428172
svr,1,59,15,0.0863707413763607,0.11283737187601821,0.9659262492312908,0.3477339932459699,0.4234531488119513,0.20400117370510817,0.2613632518696092,0.31061577693593306
svr,2,59,15,0.09707170401381685,0.12243606534492417,0.9566650303839035,0.24335643218911315,0.26654694310842214,0.794136209920192,0.1462847281752963,0.14411087776349796
svr,3,59,15,0.09257093852822203,0.11946410276570069,0.9591154069088849,0.42341248055081365,0.4850959016555838,0.19511061013561726,0.33084154202259164,0.3656317988898831
svr,4,59,15,0.08550717878024733,0.09979591543385939,0.9649457798074093,0.5641898362565906,0.693165936786376,0.08175918540739513,0.47868265747634325,0.5933700213525166
svr,5,60,14,0.09454529644102432,0.12267199999407237,0.9591587162737545,0.4607739957106978,0.5066641065356364,-0.22436557676784408,0.3662286992696735,0.38399210654156407
hist_gb,1,59,15,0.18521532414321995,0.2728689590180963,0.8007390089846473,0.3864447277420335,0.4410415224211392,0.13650336140601638,0.20122940359881353,0.16817256340304287
hist_gb,2,59,15,0.2347043629523745,0.32069300551900387,0.7026973754532708,0.18625118290339407,0.22184003160970925,0.857402343352939,-0.04845318004898044,-0.09885297390929462
hist_gb,3,59,15,0.18568584837605043,0.24672708454266426,0.8256112429688562,0.46663191763565137,0.5681432103084118,-0.10407006123766305,0.280946069259601,0.3214161257657475
hist_gb,4,59,15,0.18016135812476852,0.2435242799732375,0.7912630595271869,0.5015257723683023,0.6560217794623362,0.17753261860822211,0.3213644142435338,0.4124974994890987
hist_gb,5,60,14,0.22419328509600497,0.305206239912812,0.747189382403222,0.30043373800720935,0.3835959352927304,0.2981911726332622,0.07624045291120438,0.07838969537991841
xgboost,1,59,15,0.0008309030138254695,0.0010614150471606708,0.9999969850195666,0.4200098532672596,0.4717755524262763,0.011964480101609554,0.4191789502534341,0.4707141373791156
xgboost,2,59,15,0.0007161933531280687,0.0009293603503798697,0.9999975031753251,0.13233399650890457,0.17790252261587208,0.9082942083189496,0.1316178031557765,0.1769731622654922
xgboost,3,59,15,0.0006227335207984313,0.0008481203952060743,0.9999979393708341,0.47975106806457113,0.6148719214515678,-0.29315419739595794,0.4791283345437727,0.6140238010563617
xgboost,4,59,15,0.0008810650669097472,0.0010741121816624675,0.999995939176986,0.5158293740048646,0.6392524178441374,0.21904335249615026,0.5149483089379548,0.638178305662475
xgboost,5,60,14,0.0007733318743916399,0.0009737244348888962,0.9999974267580104,0.3049025297167511,0.3897889668464573,0.27534729549840775,0.3041291978423594,0.3888152424115684
