model_name,fold_id,n_train,n_test,train_mae,train_rmse,train_r2,mae,rmse,r2,mae_gap,rmse_gap
ridge,1,59,15,0.05088907493436918,0.07079259293352762,0.9853448368250733,0.5454435729175499,0.6289487716528517,-0.18801012035361708,0.4945544979831807,0.5581561787193241
ridge,2,59,15,0.0747759504900964,0.10401023724911214,0.9700890972114998,0.1816692014895381,0.19799332051459861,0.8392126933039245,0.1068932509994417,0.09398308326548648
ridge,3,59,15,0.0638159541933504,0.09469770896247603,0.9736631010403758,0.3439621202028061,0.4560787815341164,0.43253819428463636,0.2801461660094557,0.36138107257164037
ridge,4,59,15,0.06823954048210125,0.09913998310242138,0.97287303498677,0.2851516703723244,0.33247966182658373,0.6063822088585192,0.21691212989022318,0.23333967872416234
ridge,5,60,14,0.06835187847709924,0.09960159179206675,0.9689857701599481,0.420032675358012,0.46270699562073847,0.5310500307853618,0.35168079688091275,0.36310540382867174
random_forest,1,59,15,0.062010390546749686,0.0916455341574466,0.9754394757398903,0.5265800652675074,0.6176525013369294,-0.1457187034068539,0.4645696747207578,0.5260069671794828
random_forest,2,59,15,0.07430693930658963,0.10638744540194028,0.96870621398001,0.09542242182092471,0.12084940795444635,0.9400982188110376,0.02111548251433508,0.014461962552506064
random_forest,3,59,15,0.060726227354570506,0.0918742794989909,0.9752101678745893,0.38800648797592646,0.4661887433969036,0.40710134399040987,0.32728026062135596,0.3743144638979127
random_forest,4,59,15,0.06889395273046449,0.10099397727500709,0.9718489578260765,0.22411370598811095,0.2585990487269588,0.7618786162969506,0.15521975325764648,0.15760507145195174
random_forest,5,60,14,0.06410081793348613,0.08945827049840263,0.9749810293297244,0.38730278983830224,0.5644200132786446,0.3022189197693461,0.32320197190481614,0.47496174278024195
svr,1,59,15,0.08072516966042524,0.09195274899142217,0.9752745358057477,0.47185106458568915,0.5939909687621283,-0.05961787883378489,0.3911258949252639,0.5020382197707062
svr,2,59,15,0.09775005879941732,0.12329557683872679,0.9579687466204896,0.19874903025721521,0.26038794000265303,0.7219054910173577,0.10099897145779789,0.13709236316392626
svr,3,59,15,0.09066350141246879,0.12116614453011151,0.9568830262695055,0.4031277533301542,0.4682740411362864,0.4017853193815567,0.31246425191768545,0.3471078966061749
svr,4,59,15,0.09305115250780621,0.11982489303726183,0.9603724131798584,0.3574392818860076,0.4062194773193628,0.4124213086378421,0.2643881293782014,0.28639458428210096
svr,5,60,14,0.0939617598855322,0.12043126414796516,0.9546573464033442,0.40266708517296906,0.46080031034862173,0.5349068894820828,0.3087053252874369,0.34036904620065656
hist_gb,1,59,15,0.1978789055752956,0.27693819415119025,0.7757250693560513,0.4329128302298938,0.5072184471961573,0.227355577188058,0.2350339246545982,0.23028025304496702
hist_gb,2,59,15,0.23221281963640236,0.311547911508139,0.7316342825150639,0.14145574891209986,0.1749403428746599,0.874474884712686,-0.0907570707243025,-0.1366075686334791
hist_gb,3,59,15,0.19626425382304685,0.27372393158189867,0.7799551382686973,0.43086176557007044,0.4768011261567856,0.3798004522493722,0.2345975117470236,0.20307719457488693
hist_gb,4,59,15,0.25733517793057736,0.3423361638963087,0.6765485623703208,0.25691800802532644,0.3017774204978487,0.6757215894921008,-0.0004171699052509248,-0.040558743398459995
hist_gb,5,60,14,0.18289926266984918,0.25145904716768885,0.8023198901144406,0.4007814242757419,0.551842594176977,0.3329708435856603,0.21788216160589274,0.30038354700928815
xgboost,1,59,15,0.0007543574701937927,0.0009712528718573294,0.9999972414576799,0.5164164864605713,0.6064635256917176,-0.10458455540281353,0.5156621289903774,0.6054922728198603
xgboost,2,59,15,0.0007400461506589071,0.001010506245120422,0.9999971767109022,0.15282239098172987,0.186308722316354,0.8576304680850548,0.15208234483107097,0.1852982160712336
xgboost,3,59,15,0.0007181327830260812,0.0008606681725054252,0.999997824509559,0.29298370485042385,0.4518527449767035,0.44300570095687475,0.2922655720673978,0.4509920768041981
xgboost,4,59,15,0.000792066223635594,0.0010597787202393965,0.9999969001982728,0.2607300294061609,0.35131555992084,0.5605197911554941,0.2599379631825253,0.35025578120060064
xgboost,5,60,14,0.0007154816024277256,0.0009741711983536732,0.9999970331266098,0.4495544741663257,0.6655266515845473,0.029835711794974684,0.448838992563898,0.6645524803861936
