model_name,fold_id,convergence_type,n_iterations,final_train_loss,final_validation_loss
gcn_small,1,iterative_loss,33,0.2529447149422209,0.30321550369262695
gcn_small,2,iterative_loss,24,0.2199382857751038,0.5298299193382263
gcn_small,3,iterative_loss,25,0.227472106784077,0.8728339672088623
gcn_small,4,iterative_loss,50,0.16564345587108095,0.38406112790107727
gcn_small,5,iterative_loss,23,0.20068687796592713,1.2682090997695923
gcn_medium,1,iterative_loss,120,0.21740673785492526,0.10942139476537704
gcn_medium,2,iterative_loss,23,0.29560138664003144,0.8327329754829407
gcn_medium,3,iterative_loss,22,0.30812681125382246,1.0400959253311157
gcn_medium,4,iterative_loss,44,0.24637623207043793,0.4596391022205353
gcn_medium,5,iterative_loss,22,0.25689807534217834,1.4638997316360474
