sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family,model_name,fold_id,y_true,y_pred,residual,screening_x_true,pair_label,screening_target_column,screening_score_true,screening_score_pred,upper_bound_2008_log_selectivity,distance_to_upper_bound_2008_true,distance_to_upper_bound_2008_pred,upper_bound_2019_log_selectivity,distance_to_upper_bound_2019_true,distance_to_upper_bound_2019_pred,screening_rank_score,pred_rank
S048,PIM-TMN-Trip,Sheet1,50,,,,random_forest,3,1.1736306605080244,1.2846499741783304,0.11101931367030593,4.722633922533812,CO2/N2,log10_sel_co2_n2_from_perm,5.8962645830418365,6.007283896712142,0.9585405857253727,0.21509007478265174,0.32610938845295767,1.219022156412332,-0.04539149590430758,0.06562781776599835,0.32610938845295767,1
S032,PIM-DTFM-Btrip,Sheet1,34,,,,random_forest,5,1.1522883443830565,1.305057174501536,0.15276883011847953,4.629409599102719,CO2/N2,log10_sel_co2_n2_from_perm,5.781697943485776,5.934466773604255,0.9908204761101002,0.16146786827295634,0.31423669839143586,1.24636868719294,-0.09408034280988353,0.058688487308595993,0.31423669839143586,2
S049,PIM-TMN-Trip,Sheet1,51,,,,random_forest,3,1.227978007344727,1.3192441962893326,0.09126618894460559,4.52244423350632,CO2/N2,log10_sel_co2_n2_from_perm,5.750422240851047,5.841688429795653,1.0278583450839225,0.20011966226080458,0.29138585120541016,1.277746031163723,-0.04976802381899592,0.041498165125609665,0.29138585120541016,3
S037,PIM-HMI-Trip,Sheet1,39,,,,random_forest,2,1.2371823040372425,1.2550160313105365,0.01783372727329402,4.645422269349092,CO2/N2,log10_sel_co2_n2_from_perm,5.882604573386335,5.900438300659629,0.9852759227006912,0.2519063813365513,0.2697401086098453,1.2416715119959987,-0.004489207958756181,0.01334451931453784,0.2697401086098453,4
S033,PIM-DTFM-Btrip,Sheet1,35,,,,random_forest,5,1.20712549279565,1.3179929705217028,0.11086747772605277,4.4623979978989565,CO2/N2,log10_sel_co2_n2_from_perm,5.669523490694607,5.78039096842066,1.0486499779119571,0.15847551488369294,0.2693429926097457,1.2953600633160738,-0.08823457052042372,0.02263290720562905,0.2693429926097457,5
S050,PIM-TMN-Trip,Sheet1,52,,,,random_forest,3,1.2459824293330757,1.3321268390705523,0.08614440973747661,4.413299764081252,CO2/N2,log10_sel_co2_n2_from_perm,5.659282193414327,5.745426603151804,1.0656507513945417,0.180331677938534,0.2664760876760106,1.309762595970138,-0.06378016663706232,0.022364243100414294,0.2664760876760106,6
S051,PIM-TMN-Trip,Sheet1,53,,,,random_forest,3,1.2635414993613288,1.3344581848076174,0.0709166854462886,4.373794416714731,CO2/N2,log10_sel_co2_n2_from_perm,5.63733591607606,5.708252601522348,1.0793298882943065,0.18421161106702222,0.2551282965133108,1.3213511402254974,-0.05780964086416862,0.013107044582119975,0.2551282965133108,7
S034,PIM-DTFM-Btrip,Sheet1,36,,,,random_forest,5,1.2458921300330512,1.3371106406295825,0.0912185105965313,4.359835482339888,CO2/N2,log10_sel_co2_n2_from_perm,5.60572761237294,5.696946122969471,1.0841633143243767,0.16172881570867448,0.2529473263052058,1.3254458701682499,-0.07955374013519867,0.01166477046133263,0.2529473263052058,8
S038,PIM-HMI-Trip,Sheet1,40,,,,random_forest,2,1.264728746097748,1.256800143223453,-0.007928602874295088,4.5910646070265,CO2/N2,log10_sel_co2_n2_from_perm,5.855793353124248,5.847864750249953,1.0040978279370456,0.2606309181607025,0.2527023152864074,1.2576168514863455,0.007111894611402603,-0.0008167082628924849,0.2527023152864074,9
S036,PIM-DTFM-Btrip,Sheet1,38,,,,random_forest,5,1.300443507415629,1.3947622143321445,0.09431870691651545,4.1702617153949575,CO2/N2,log10_sel_co2_n2_from_perm,5.470705222810587,5.5650239297271025,1.149805200385641,0.15063830702998815,0.2449570139465036,1.3810556580664402,-0.08061215065081107,0.013706556265704384,0.2449570139465036,10
S039,PIM-HMI-Trip,Sheet1,41,,,,random_forest,2,1.2713897879071585,1.2958679782901195,0.02447819038296095,4.429752280002408,CO2/N2,log10_sel_co2_n2_from_perm,5.701142067909566,5.725620258292527,1.0599538968512052,0.21143589105595328,0.23591408143891424,1.3049363959345979,-0.03354660802743936,-0.00906841764447841,0.23591408143891424,11
