sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family,model_name,fold_id,y_true,y_pred,residual,screening_x_true,pair_label,screening_target_column,screening_score_true,screening_score_pred,upper_bound_2008_log_selectivity,distance_to_upper_bound_2008_true,distance_to_upper_bound_2008_pred,upper_bound_2019_log_selectivity,distance_to_upper_bound_2019_true,distance_to_upper_bound_2019_pred,screening_rank_score,pred_rank
S032,PIM-DTFM-Btrip,Sheet1,34,,,,ridge,5,1.1522883443830565,1.3455646943057116,0.19327634992265508,4.629409599102719,CO2/N2,log10_sel_co2_n2_from_perm,5.781697943485776,5.974974293408431,0.9908204761101002,0.16146786827295634,0.3547442181956114,1.24636868719294,-0.09408034280988353,0.09919600711277154,0.3547442181956114,1
S048,PIM-TMN-Trip,Sheet1,50,,,,ridge,3,1.1736306605080244,1.2804252566131535,0.10679459610512909,4.722633922533812,CO2/N2,log10_sel_co2_n2_from_perm,5.8962645830418365,6.003059179146966,0.9585405857253727,0.21509007478265174,0.32188467088778083,1.219022156412332,-0.04539149590430758,0.061403100200821514,0.32188467088778083,2
S033,PIM-DTFM-Btrip,Sheet1,35,,,,ridge,5,1.20712549279565,1.365968570887944,0.15884307809229403,4.4623979978989565,CO2/N2,log10_sel_co2_n2_from_perm,5.669523490694607,5.828366568786901,1.0486499779119571,0.15847551488369294,0.31731859297598697,1.2953600633160738,-0.08823457052042372,0.07060850757187032,0.31731859297598697,3
S034,PIM-DTFM-Btrip,Sheet1,36,,,,ridge,5,1.2458921300330512,1.370732836789256,0.12484070675620473,4.359835482339888,CO2/N2,log10_sel_co2_n2_from_perm,5.60572761237294,5.730568319129144,1.0841633143243767,0.16172881570867448,0.2865695224648792,1.3254458701682499,-0.07955374013519867,0.045286966621006064,0.2865695224648792,4
S049,PIM-TMN-Trip,Sheet1,51,,,,ridge,3,1.227978007344727,1.3090262128946264,0.08104820554989933,4.52244423350632,CO2/N2,log10_sel_co2_n2_from_perm,5.750422240851047,5.831470446400947,1.0278583450839225,0.20011966226080458,0.2811678678107039,1.277746031163723,-0.04976802381899592,0.03128018173090341,0.2811678678107039,5
S039,PIM-HMI-Trip,Sheet1,41,,,,ridge,2,1.2713897879071585,1.3382551408700958,0.06686535296293727,4.429752280002408,CO2/N2,log10_sel_co2_n2_from_perm,5.701142067909566,5.768007420872504,1.0599538968512052,0.21143589105595328,0.27830124401889056,1.3049363959345979,-0.03354660802743936,0.03331874493549791,0.27830124401889056,6
S043,PIM-TFM-Btrip,Sheet1,45,,,,ridge,4,1.2651788111409092,1.2919792640667616,0.026800452925852314,4.5276299008713385,CO2/N2,log10_sel_co2_n2_from_perm,5.792808712012247,5.8196091649381,1.0260627538910492,0.23911605724986007,0.2659165101757124,1.27622486150546,-0.011046050364550863,0.01575440256130145,0.2659165101757124,7
S037,PIM-HMI-Trip,Sheet1,39,,,,ridge,2,1.2371823040372425,1.244348391824344,0.007166087787101594,4.645422269349092,CO2/N2,log10_sel_co2_n2_from_perm,5.882604573386335,5.889770661173436,0.9852759227006912,0.2519063813365513,0.2590724691236529,1.2416715119959987,-0.004489207958756181,0.002676879828345413,0.2590724691236529,8
S038,PIM-HMI-Trip,Sheet1,40,,,,ridge,2,1.264728746097748,1.257920960875838,-0.0068077852219101676,4.5910646070265,CO2/N2,log10_sel_co2_n2_from_perm,5.855793353124248,5.848985567902338,1.0040978279370456,0.2606309181607025,0.25382313293879233,1.2576168514863455,0.007111894611402603,0.00030410938949243516,0.25382313293879233,9
S050,PIM-TMN-Trip,Sheet1,52,,,,ridge,3,1.2459824293330757,1.3134486036048834,0.06746617427180768,4.413299764081252,CO2/N2,log10_sel_co2_n2_from_perm,5.659282193414327,5.7267483676861355,1.0656507513945417,0.180331677938534,0.24779785221034167,1.309762595970138,-0.06378016663706232,0.0036860076347453585,0.24779785221034167,10
