fold_id,sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family
1,S010,Vinylated PIM-1,Sheet1,12,,,
1,S020,PIM-Btrip,Sheet1,22,,,
1,S021,PIM-Btrip,Sheet1,23,,,
1,S022,PIM-Btrip,Sheet1,24,,,
1,S023,PIM-Btrip,Sheet1,25,,,
1,S024,PIM-Btrip,Sheet1,26,,,
1,S025,PIM-Btrip,Sheet1,27,,,
1,S026,PIM-Btrip,Sheet1,28,,,
1,S027,PIM-Btrip,Sheet1,29,,,
1,S028,PIM-Btrip,Sheet1,30,,,
1,S029,PIM-Btrip,Sheet1,31,,,
1,S030,PIM-Btrip,Sheet1,32,,,
1,S031,PIM-DM-Btrip,Sheet1,33,,,
1,S070,PIM-PI-12,Sheet1,72,,,
1,S080,KAUST-PI-1,Sheet1,82,,,
2,S008,Brominated vinylated PIM-1,Sheet1,10,,,
2,S015,PIM-1-Py,Sheet1,17,,,
2,S037,PIM-HMI-Trip,Sheet1,39,,,
2,S038,PIM-HMI-Trip,Sheet1,40,,,
2,S039,PIM-HMI-Trip,Sheet1,41,,,
2,S040,PIM-HMI-Trip,Sheet1,42,,,
2,S041,PIM-HMI-Trip,Sheet1,43,,,
2,S042,PIM-HMI-Trip,Sheet1,44,,,
2,S056,PIM-BTrip-TB,Sheet1,58,,,
2,S057,PIM-BTrip-TB,Sheet1,59,,,
2,S062,PIM-HPB-2,Sheet1,64,,,
2,S063,PIM-HPB-2,Sheet1,65,,,
2,S075,4MTBDA-PMDA,Sheet1,77,,,
2,S076,4MTBDA-PMDA,Sheet1,78,,,
3,S011,Adamantane-AO-PIM-1,Sheet1,13,,,
3,S012,PIM-1-SO3H,Sheet1,14,,,
3,S013,PIM-1-SO3H,Sheet1,15,,,
3,S014,PIM-1-SO3H,Sheet1,16,,,
3,S016,PIM-1-MePy,Sheet1,18,,,
3,S048,PIM-TMN-Trip,Sheet1,50,,,
3,S049,PIM-TMN-Trip,Sheet1,51,,,
3,S050,PIM-TMN-Trip,Sheet1,52,,,
3,S051,PIM-TMN-Trip,Sheet1,53,,,
3,S052,PIM-TMN-Trip,Sheet1,54,,,
3,S058,PIM-Trip-TB,Sheet1,60,,,
3,S059,PIM-Trip-TB,Sheet1,61,,,
3,S066,PIM-Br-HPB,Sheet1,68,,,
3,S067,PIM-Br-HPB,Sheet1,69,,,
4,S005,AO−PIM-1,Sheet1,7,,,
4,S007,PIM-1-MBr,Sheet1,9,,,
4,S043,PIM-TFM-Btrip,Sheet1,45,,,
4,S044,PIM-TFM-Btrip,Sheet1,46,,,
4,S045,PIM-TFM-Btrip,Sheet1,47,,,
4,S046,PIM-TFM-Btrip,Sheet1,48,,,
4,S047,PIM-TFM-Btrip,Sheet1,49,,,
4,S053,PIM-EA-TB,Sheet1,55,,,
4,S054,PIM-EA-TB,Sheet1,56,,,
4,S055,PIM-EA-TB,Sheet1,57,,,
4,S060,TB-Ad-Me,Sheet1,62,,,
4,S061,TB-Ad-Me,Sheet1,63,,,
4,S064,PIM-CH3-HPB,Sheet1,66,,,
4,S065,PIM-CH3-HPB,Sheet1,67,,,
5,S001,COOH-PIM-1,Sheet1,3,,,
5,S002,COOH-PIM-1,Sheet1,4,,,
5,S004,Thio−PIM-1,Sheet1,6,,,
5,S006,PIM-1-M,Sheet1,8,,,
5,S009,Thiophenated vinylated PIM-1,Sheet1,11,,,
5,S032,PIM-DTFM-Btrip,Sheet1,34,,,
5,S033,PIM-DTFM-Btrip,Sheet1,35,,,
5,S034,PIM-DTFM-Btrip,Sheet1,36,,,
5,S035,PIM-DTFM-Btrip,Sheet1,37,,,
5,S036,PIM-DTFM-Btrip,Sheet1,38,,,
5,S068,PIM-CN-HPB,Sheet1,70,,,
5,S069,PIM-CN-HPB,Sheet1,71,,,
5,S077,4MTBDA-6FDA,Sheet1,79,,,
5,S078,4MTBDA-6FDA,Sheet1,80,,,
