sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family,model_name,fold_id,y_true,y_pred,residual,screening_x_true,pair_label,screening_target_column,screening_score_true,screening_score_pred,upper_bound_2008_log_selectivity,distance_to_upper_bound_2008_true,distance_to_upper_bound_2008_pred,upper_bound_2019_log_selectivity,distance_to_upper_bound_2019_true,distance_to_upper_bound_2019_pred,screening_rank_score,pred_rank
S048,PIM-TMN-Trip,Sheet1,50,,,,svr,3,1.1736306605080244,1.3461344816443916,0.1725038211363672,4.722633922533812,CO2/N2,log10_sel_co2_n2_from_perm,5.8962645830418365,6.068768404178204,0.9585405857253727,0.21509007478265174,0.38759389591901894,1.219022156412332,-0.04539149590430758,0.12711232523205962,0.38759389591901894,1
S049,PIM-TMN-Trip,Sheet1,51,,,,svr,3,1.227978007344727,1.3913850898351703,0.16340708249044322,4.52244423350632,CO2/N2,log10_sel_co2_n2_from_perm,5.750422240851047,5.91382932334149,1.0278583450839225,0.20011966226080458,0.3635267447512478,1.277746031163723,-0.04976802381899592,0.1136390586714473,0.3635267447512478,2
S050,PIM-TMN-Trip,Sheet1,52,,,,svr,3,1.2459824293330757,1.3981309558711201,0.15214852653804445,4.413299764081252,CO2/N2,log10_sel_co2_n2_from_perm,5.659282193414327,5.811430719952372,1.0656507513945417,0.180331677938534,0.33248020447657844,1.309762595970138,-0.06378016663706232,0.08836835990098213,0.33248020447657844,3
S032,PIM-DTFM-Btrip,Sheet1,34,,,,svr,5,1.1522883443830565,1.3222143324671463,0.16992598808408976,4.629409599102719,CO2/N2,log10_sel_co2_n2_from_perm,5.781697943485776,5.951623931569865,0.9908204761101002,0.16146786827295634,0.3313938563570461,1.24636868719294,-0.09408034280988353,0.07584564527420623,0.3313938563570461,4
S037,PIM-HMI-Trip,Sheet1,39,,,,svr,2,1.2371823040372425,1.3144848182424407,0.07730251420519818,4.645422269349092,CO2/N2,log10_sel_co2_n2_from_perm,5.882604573386335,5.959907087591533,0.9852759227006912,0.2519063813365513,0.3292088955417495,1.2416715119959987,-0.004489207958756181,0.072813306246442,0.3292088955417495,5
S051,PIM-TMN-Trip,Sheet1,53,,,,svr,3,1.2635414993613288,1.401244506658827,0.1377030072974983,4.373794416714731,CO2/N2,log10_sel_co2_n2_from_perm,5.63733591607606,5.775038923373558,1.0793298882943065,0.18421161106702222,0.3219146183645205,1.3213511402254974,-0.05780964086416862,0.07989336643332967,0.3219146183645205,6
S038,PIM-HMI-Trip,Sheet1,40,,,,svr,2,1.264728746097748,1.3213961618390324,0.05666741574128431,4.5910646070265,CO2/N2,log10_sel_co2_n2_from_perm,5.855793353124248,5.912460768865532,1.0040978279370456,0.2606309181607025,0.3172983339019868,1.2576168514863455,0.007111894611402603,0.06377931035268691,0.3172983339019868,7
S039,PIM-HMI-Trip,Sheet1,41,,,,svr,2,1.2713897879071585,1.3624936893255704,0.09110390141841185,4.429752280002408,CO2/N2,log10_sel_co2_n2_from_perm,5.701142067909566,5.792245969327978,1.0599538968512052,0.21143589105595328,0.30253979247436513,1.3049363959345979,-0.03354660802743936,0.057557293390972486,0.30253979247436513,8
S052,PIM-TMN-Trip,Sheet1,54,,,,svr,3,1.268237482267674,1.4027968235703356,0.13455934130266156,4.309630167425898,CO2/N2,log10_sel_co2_n2_from_perm,5.577867649693572,5.712426990996234,1.1015474261367002,0.16669005613097387,0.30124939743363544,1.340173155270623,-0.07193567300294901,0.06262366829971255,0.30124939743363544,9
S033,PIM-DTFM-Btrip,Sheet1,35,,,,svr,5,1.20712549279565,1.341810673994783,0.13468518119913298,4.4623979978989565,CO2/N2,log10_sel_co2_n2_from_perm,5.669523490694607,5.80420867189374,1.0486499779119571,0.15847551488369294,0.2931606960828259,1.2953600633160738,-0.08823457052042372,0.04645061067870926,0.2931606960828259,10
