sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family,model_name,fold_id,y_true,y_pred,residual,screening_x_true,pair_label,screening_target_column,screening_score_true,screening_score_pred,upper_bound_2008_log_selectivity,distance_to_upper_bound_2008_true,distance_to_upper_bound_2008_pred,upper_bound_2019_log_selectivity,distance_to_upper_bound_2019_true,distance_to_upper_bound_2019_pred,screening_rank_score,pred_rank
S032,PIM-DTFM-Btrip,Sheet1,34,,,,xgboost,5,1.1522883443830565,1.3866610527038574,0.23437270832080093,4.629409599102719,CO2/N2,log10_sel_co2_n2_from_perm,5.781697943485776,6.016070651806577,0.9908204761101002,0.16146786827295634,0.39584057659375727,1.24636868719294,-0.09408034280988353,0.1402923655109174,0.39584057659375727,1
S036,PIM-DTFM-Btrip,Sheet1,38,,,,xgboost,5,1.300443507415629,1.5138834714889526,0.21343996407332355,4.1702617153949575,CO2/N2,log10_sel_co2_n2_from_perm,5.470705222810587,5.68414518688391,1.149805200385641,0.15063830702998815,0.3640782711033117,1.3810556580664402,-0.08061215065081107,0.1328278134225125,0.3640782711033117,2
S033,PIM-DTFM-Btrip,Sheet1,35,,,,xgboost,5,1.20712549279565,1.4090445041656494,0.20191901136999935,4.4623979978989565,CO2/N2,log10_sel_co2_n2_from_perm,5.669523490694607,5.871442502064606,1.0486499779119571,0.15847551488369294,0.3603945262536923,1.2953600633160738,-0.08823457052042372,0.11368444084957563,0.3603945262536923,3
S034,PIM-DTFM-Btrip,Sheet1,36,,,,xgboost,5,1.2458921300330512,1.4249138832092285,0.1790217531761773,4.359835482339888,CO2/N2,log10_sel_co2_n2_from_perm,5.60572761237294,5.784749365549117,1.0841633143243767,0.16172881570867448,0.3407505688848518,1.3254458701682499,-0.07955374013519867,0.09946801304097863,0.3407505688848518,4
S045,PIM-TFM-Btrip,Sheet1,47,,,,xgboost,4,1.3228097699872232,1.406538486480713,0.08372871649348967,4.264817823009537,CO2/N2,log10_sel_co2_n2_from_perm,5.5876275929967605,5.67135630949025,1.117064165893058,0.2057456040941652,0.2894743205876549,1.3533184601742199,-0.030508690186996645,0.05322002630649303,0.2894743205876549,5
S044,PIM-TFM-Btrip,Sheet1,46,,,,xgboost,4,1.306965775744487,1.3744724988937378,0.06750672314925077,4.344392273685111,CO2/N2,log10_sel_co2_n2_from_perm,5.651358049429598,5.718864772578849,1.0895106857422359,0.21745509000225116,0.28496181315150193,1.3299759988437492,-0.02301022309926215,0.04449650004998862,0.28496181315150193,6
S048,PIM-TMN-Trip,Sheet1,50,,,,xgboost,3,1.1736306605080244,1.2366976737976074,0.06306701328958297,4.722633922533812,CO2/N2,log10_sel_co2_n2_from_perm,5.8962645830418365,5.9593315963314195,0.9585405857253727,0.21509007478265174,0.2781570880722347,1.219022156412332,-0.04539149590430758,0.017675517385275397,0.2781570880722347,7
S049,PIM-TMN-Trip,Sheet1,51,,,,xgboost,3,1.227978007344727,1.293887972831726,0.06590996548699901,4.52244423350632,CO2/N2,log10_sel_co2_n2_from_perm,5.750422240851047,5.816332206338046,1.0278583450839225,0.20011966226080458,0.2660296277478036,1.277746031163723,-0.04976802381899592,0.01614194166800309,0.2660296277478036,8
S050,PIM-TMN-Trip,Sheet1,52,,,,xgboost,3,1.2459824293330757,1.3181301355361938,0.07214770620311817,4.413299764081252,CO2/N2,log10_sel_co2_n2_from_perm,5.659282193414327,5.731429899617446,1.0656507513945417,0.180331677938534,0.25247938414165216,1.309762595970138,-0.06378016663706232,0.008367539566055848,0.25247938414165216,9
S006,PIM-1-M,Sheet1,8,,,,xgboost,5,1.222257305132755,1.4034630060195923,0.1812057008868373,4.151676230847047,CO2/N2,log10_sel_co2_n2_from_perm,5.373933535979802,5.55513923686664,1.1562406174728674,0.06601668765988755,0.24722238854672485,1.386507545584161,-0.1642502404514059,0.01695546043543139,0.24722238854672485,10
