sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family,model_name,fold_id,y_true,y_pred,residual,screening_x_true,pair_label,screening_target_column,screening_score_true,screening_score_pred,upper_bound_2008_log_selectivity,distance_to_upper_bound_2008_true,distance_to_upper_bound_2008_pred,upper_bound_2019_log_selectivity,distance_to_upper_bound_2019_true,distance_to_upper_bound_2019_pred,screening_rank_score,pred_rank
S048,PIM-TMN-Trip,Sheet1,50,,,,random_forest,3,1.1736306605080244,1.2894027754165882,0.11577211490856376,4.722633922533812,CO2/N2,log10_sel_co2_n2_from_perm,5.8962645830418365,6.0120366979504,0.9585405857253727,0.21509007478265174,0.3308621896912155,1.219022156412332,-0.04539149590430758,0.07038061900425618,0.3308621896912155,1
S032,PIM-DTFM-Btrip,Sheet1,34,,,,random_forest,5,1.1522883443830565,1.3063489725569277,0.15406062817387123,4.629409599102719,CO2/N2,log10_sel_co2_n2_from_perm,5.781697943485776,5.9357585716596475,0.9908204761101002,0.16146786827295634,0.31552849644682757,1.24636868719294,-0.09408034280988353,0.059980285363987695,0.31552849644682757,2
S049,PIM-TMN-Trip,Sheet1,51,,,,random_forest,3,1.227978007344727,1.3229680666070325,0.09499005926230542,4.52244423350632,CO2/N2,log10_sel_co2_n2_from_perm,5.750422240851047,5.845412300113352,1.0278583450839225,0.20011966226080458,0.29510972152311,1.277746031163723,-0.04976802381899592,0.045222035443309494,0.29510972152311,3
S033,PIM-DTFM-Btrip,Sheet1,35,,,,random_forest,5,1.20712549279565,1.326994503798644,0.11986901100299385,4.4623979978989565,CO2/N2,log10_sel_co2_n2_from_perm,5.669523490694607,5.7893925016976,1.0486499779119571,0.15847551488369294,0.2783445258866868,1.2953600633160738,-0.08823457052042372,0.031634440482570136,0.2783445258866868,4
S037,PIM-HMI-Trip,Sheet1,39,,,,random_forest,2,1.2371823040372425,1.2561672546143303,0.018984950577087822,4.645422269349092,CO2/N2,log10_sel_co2_n2_from_perm,5.882604573386335,5.901589523963422,0.9852759227006912,0.2519063813365513,0.2708913319136391,1.2416715119959987,-0.004489207958756181,0.014495742618331642,0.2708913319136391,5
S050,PIM-TMN-Trip,Sheet1,52,,,,random_forest,3,1.2459824293330757,1.3342436271988702,0.08826119786579456,4.413299764081252,CO2/N2,log10_sel_co2_n2_from_perm,5.659282193414327,5.747543391280122,1.0656507513945417,0.180331677938534,0.26859287580432856,1.309762595970138,-0.06378016663706232,0.024481031228732242,0.26859287580432856,6
S034,PIM-DTFM-Btrip,Sheet1,36,,,,random_forest,5,1.2458921300330512,1.3481212656656458,0.10222913563259461,4.359835482339888,CO2/N2,log10_sel_co2_n2_from_perm,5.60572761237294,5.707956748005534,1.0841633143243767,0.16172881570867448,0.2639579513412691,1.3254458701682499,-0.07955374013519867,0.022675395497395945,0.2639579513412691,7
S051,PIM-TMN-Trip,Sheet1,53,,,,random_forest,3,1.2635414993613288,1.336006131743259,0.07246463238193024,4.373794416714731,CO2/N2,log10_sel_co2_n2_from_perm,5.63733591607606,5.709800548457991,1.0793298882943065,0.18421161106702222,0.25667624344895246,1.3213511402254974,-0.05780964086416862,0.014654991517761617,0.25667624344895246,8
S038,PIM-HMI-Trip,Sheet1,40,,,,random_forest,2,1.264728746097748,1.2577952979089497,-0.0069334481887983745,4.5910646070265,CO2/N2,log10_sel_co2_n2_from_perm,5.855793353124248,5.84885990493545,1.0040978279370456,0.2606309181607025,0.2536974699719041,1.2576168514863455,0.007111894611402603,0.00017844642260422816,0.2536974699719041,9
S036,PIM-DTFM-Btrip,Sheet1,38,,,,random_forest,5,1.300443507415629,1.3981616597747493,0.09771815235912018,4.1702617153949575,CO2/N2,log10_sel_co2_n2_from_perm,5.470705222810587,5.568423375169707,1.149805200385641,0.15063830702998815,0.24835645938910833,1.3810556580664402,-0.08061215065081107,0.017106001708309115,0.24835645938910833,10
S039,PIM-HMI-Trip,Sheet1,41,,,,random_forest,2,1.2713897879071585,1.2978608587526952,0.02647107084553668,4.429752280002408,CO2/N2,log10_sel_co2_n2_from_perm,5.701142067909566,5.727613138755103,1.0599538968512052,0.21143589105595328,0.23790696190148997,1.3049363959345979,-0.03354660802743936,-0.00707553718190268,0.23790696190148997,11
S043,PIM-TFM-Btrip,Sheet1,45,,,,random_forest,4,1.2651788111409092,1.256426017268491,-0.00875279387241834,4.5276299008713385,CO2/N2,log10_sel_co2_n2_from_perm,5.792808712012247,5.7840559181398294,1.0260627538910492,0.23911605724986007,0.23036326337744173,1.27622486150546,-0.011046050364550863,-0.019798844236969204,0.23036326337744173,12
S044,PIM-TFM-Btrip,Sheet1,46,,,,random_forest,4,1.306965775744487,1.3099722141829953,0.00300643843850823,4.344392273685111,CO2/N2,log10_sel_co2_n2_from_perm,5.651358049429598,5.654364487868106,1.0895106857422359,0.21745509000225116,0.2204615284407594,1.3299759988437492,-0.02301022309926215,-0.02000378466075392,0.2204615284407594,13
S052,PIM-TMN-Trip,Sheet1,54,,,,random_forest,3,1.268237482267674,1.3174959966711406,0.04925851440346651,4.309630167425898,CO2/N2,log10_sel_co2_n2_from_perm,5.577867649693572,5.627126164097039,1.1015474261367002,0.16669005613097387,0.2159485705344404,1.340173155270623,-0.07193567300294901,-0.022677158599482494,0.2159485705344404,14
S045,PIM-TFM-Btrip,Sheet1,47,,,,random_forest,4,1.3228097699872232,1.3310781521068862,0.008268382119662965,4.264817823009537,CO2/N2,log10_sel_co2_n2_from_perm,5.5876275929967605,5.595895975116423,1.117064165893058,0.2057456040941652,0.21401398621382817,1.3533184601742199,-0.030508690186996645,-0.02224030806733368,0.21401398621382817,15
S040,PIM-HMI-Trip,Sheet1,42,,,,random_forest,2,1.2887955392469694,1.3174881291408056,0.028692589893836162,4.276461804173244,CO2/N2,log10_sel_co2_n2_from_perm,5.565257343420213,5.593949933314049,1.1130323164596414,0.17576322278732803,0.2044558126811642,1.349902801281962,-0.061107262034992615,-0.03241467214115645,0.2044558126811642,16
S006,PIM-1-M,Sheet1,8,,,,random_forest,5,1.222257305132755,1.3583805856304443,0.1361232804976893,4.151676230847047,CO2/N2,log10_sel_co2_n2_from_perm,5.373933535979802,5.5100568164774915,1.1562406174728674,0.06601668765988755,0.20213996815757684,1.386507545584161,-0.1642502404514059,-0.028126959953716613,0.20213996815757684,17
S046,PIM-TFM-Btrip,Sheet1,48,,,,random_forest,4,1.3322724378805977,1.3258045130688498,-0.006467924811747849,4.230448921378274,CO2/N2,log10_sel_co2_n2_from_perm,5.562721359258871,5.5562534344471235,1.128964755100559,0.20330768278003863,0.19683975796829078,1.3634002735010788,-0.03112783562048116,-0.03759576043222901,0.19683975796829078,18
S041,PIM-HMI-Trip,Sheet1,43,,,,random_forest,2,1.2830417875605842,1.3159002514055864,0.03285846384500224,4.24064907462068,CO2/N2,log10_sel_co2_n2_from_perm,5.5236908621812635,5.556549326026266,1.1254328460831056,0.15760894147747861,0.19046740532248085,1.3604081487599802,-0.077366361199396,-0.044507897354393755,0.19046740532248085,19
S042,PIM-HMI-Trip,Sheet1,44,,,,random_forest,2,1.3095877992992466,1.2721015087953333,-0.03748629050391328,4.214843848047698,CO2/N2,log10_sel_co2_n2_from_perm,5.524431647346945,5.486945356843031,1.1343681738438334,0.17521962545541325,0.13773333495149997,1.3679778837476544,-0.058390084448407764,-0.09587637495232104,0.13773333495149997,20
S020,PIM-Btrip,Sheet1,22,,,,random_forest,1,1.2568914985230746,1.2290048919366119,-0.027886606586462692,4.332438459915605,CO2/N2,log10_sel_co2_n2_from_perm,5.58932995843868,5.561443351852217,1.0936498179338932,0.16324168058918143,0.13535507400271873,1.3334825443906857,-0.07659104586761112,-0.10447765245407381,0.13535507400271873,21
S031,PIM-DM-Btrip,Sheet1,33,,,,random_forest,1,1.3338225090602889,1.2191091701247105,-0.11471333893557834,4.342422680822207,CO2/N2,log10_sel_co2_n2_from_perm,5.676245189882495,5.561531850946917,1.0901926777307762,0.24362983132951266,0.12891649239393432,1.3305537614905385,0.0032687475697503743,-0.11144459136582796,0.12891649239393432,22
S021,PIM-Btrip,Sheet1,23,,,,random_forest,1,1.4029034282035877,1.2770115676520875,-0.12589186055150026,4.12057393120585,CO2/N2,log10_sel_co2_n2_from_perm,5.523477359409437,5.3975854988579375,1.1670101118084621,0.23589331639512556,0.1100014558436253,1.395631130107833,0.007272298095754692,-0.11861956245574556,0.1100014558436253,23
S023,PIM-Btrip,Sheet1,25,,,,random_forest,1,1.426239405065027,1.2950692632382665,-0.13117014182676057,4.02938377768521,CO2/N2,log10_sel_co2_n2_from_perm,5.455623182750237,5.324453040923476,1.1985856497311214,0.22765375533390575,0.09648361350714518,1.4223809551358881,0.003858449929138974,-0.1273116918976216,0.09648361350714518,24
S024,PIM-Btrip,Sheet1,26,,,,random_forest,1,1.4570163369419442,1.2998307414741188,-0.1571855954678254,3.9041743682841634,CO2/N2,log10_sel_co2_n2_from_perm,5.361190705226107,5.204005109758282,1.2419407083879934,0.2150756285539508,0.05789003308612539,1.459110028002138,-0.0020936910601938585,-0.15927928652801926,0.05789003308612539,25
S056,PIM-BTrip-TB,Sheet1,58,,,,random_forest,2,1.1541274188610084,1.219828651885293,0.06570123302428454,4.120738405542943,CO2/N2,log10_sel_co2_n2_from_perm,5.2748658244039515,5.340567057428236,1.1669531608607153,-0.012825741999706874,0.05287549102457767,1.3955828830156967,-0.24145546415468822,-0.17575423113040367,0.05287549102457767,26
S035,PIM-DTFM-Btrip,Sheet1,37,,,,random_forest,5,1.2913729621347805,1.1748376363781505,-0.11653532575662995,4.227886704613674,CO2/N2,log10_sel_co2_n2_from_perm,5.519259666748455,5.402724340991824,1.129851949271127,0.1615210128636535,0.04498568710702355,1.3641518771281251,-0.07277891499334466,-0.1893142407499746,0.04498568710702355,27
S047,PIM-TFM-Btrip,Sheet1,49,,,,random_forest,4,1.3345874007848224,1.1794382866066722,-0.15514911417815025,4.193124598354461,CO2/N2,log10_sel_co2_n2_from_perm,5.527711999139283,5.372562884961133,1.141888689665591,0.19269871111923131,0.037549596941081065,1.3743490335549988,-0.039761632770176414,-0.19491074694832666,0.037549596941081065,28
S025,PIM-Btrip,Sheet1,27,,,,random_forest,1,0.8821054955098159,1.310844635840199,0.4287391403303832,3.782472624166286,CO2/N2,log10_sel_co2_n2_from_perm,4.664578119676102,5.093317260006485,1.284081201503602,-0.4019757059937862,0.026763434336597003,1.4948101582801896,-0.6127046627703737,-0.18396552243999054,0.026763434336597003,29
S011,Adamantane-AO-PIM-1,Sheet1,13,,,,random_forest,3,1.4947145225174754,1.4390860152203375,-0.055628507297137864,3.3950816511739457,CO2/N2,log10_sel_co2_n2_from_perm,4.889796173691421,4.834167666394283,1.4182193500466562,0.07649517247081916,0.020866665173681298,1.6084478740303625,-0.1137333515128871,-0.16936185881002497,0.020866665173681298,30
S029,PIM-Btrip,Sheet1,31,,,,random_forest,1,1.4986732214364824,1.2944940421019775,-0.2041791793345049,3.777426822389312,CO2/N2,log10_sel_co2_n2_from_perm,5.276100043825794,5.07192086449129,1.2858283627837177,0.2128448586527647,0.008665679318259789,1.4962902996052039,0.0023829218312785283,-0.20179625750322638,0.008665679318259789,31
S027,PIM-Btrip,Sheet1,29,,,,random_forest,1,1.433588129142473,1.2273034848081785,-0.2062846443342945,3.963787827345555,CO2/N2,log10_sel_co2_n2_from_perm,5.397375956488029,5.191091312153734,1.221298928934603,0.21228920020787,0.006004555873575512,1.4416229470219704,-0.008034817879497336,-0.21431946221379183,0.006004555873575512,32
