sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family,model_name,fold_id,y_true,y_pred,residual,screening_x_true,pair_label,screening_target_column,screening_score_true,screening_score_pred,upper_bound_2008_log_selectivity,distance_to_upper_bound_2008_true,distance_to_upper_bound_2008_pred,upper_bound_2019_log_selectivity,distance_to_upper_bound_2019_true,distance_to_upper_bound_2019_pred,screening_rank_score,pred_rank
S048,PIM-TMN-Trip,Sheet1,50,,,,distance_gnn_small,3,1.173630714416504,1.4309356212615967,0.2573049068450928,4.722633922533812,CO2/N2,log10_sel_co2_n2_from_perm,5.896264636950316,6.153569543795409,0.9585405857253727,0.2150901286911312,0.472395035536224,1.219022156412332,-0.04539144199582812,0.21191346484926465,0.472395035536224,1
S043,PIM-TFM-Btrip,Sheet1,45,,,,distance_gnn_small,4,1.2651787996292114,1.4611581563949585,0.19597935676574707,4.5276299008713385,CO2/N2,log10_sel_co2_n2_from_perm,5.79280870050055,5.988788057266297,1.0260627538910492,0.23911604573816225,0.4350954025039093,1.27622486150546,-0.01104606187624868,0.1849332948894984,0.4350954025039093,2
S037,PIM-HMI-Trip,Sheet1,39,,,,distance_gnn_small,2,1.2371822595596313,1.3439584970474243,0.10677623748779297,4.645422269349092,CO2/N2,log10_sel_co2_n2_from_perm,5.882604528908724,5.989380766396517,0.9852759227006912,0.25190633685894015,0.3586825743467331,1.2416715119959987,-0.00448925243636733,0.10228698505142564,0.3586825743467331,3
S049,PIM-TMN-Trip,Sheet1,51,,,,distance_gnn_small,3,1.227977991104126,1.3764163255691528,0.14843833446502686,4.52244423350632,CO2/N2,log10_sel_co2_n2_from_perm,5.750422224610446,5.898860559075473,1.0278583450839225,0.2001196460202035,0.34855798048523035,1.277746031163723,-0.04976804005959701,0.09867029440542985,0.34855798048523035,4
S038,PIM-HMI-Trip,Sheet1,40,,,,distance_gnn_small,2,1.2647287845611572,1.338012456893921,0.07328367233276367,4.5910646070265,CO2/N2,log10_sel_co2_n2_from_perm,5.855793391587658,5.929077063920421,1.0040978279370456,0.2606309566241116,0.3339146289568753,1.2576168514863455,0.007111933074811727,0.0803956054075754,0.3339146289568753,5
S044,PIM-TFM-Btrip,Sheet1,46,,,,distance_gnn_small,4,1.3069658279418945,1.4133179187774658,0.10635209083557129,4.344392273685111,CO2/N2,log10_sel_co2_n2_from_perm,5.651358101627006,5.757710192462577,1.0895106857422359,0.21745514219965867,0.32380723303522996,1.3299759988437492,-0.023010170901854643,0.08334191993371665,0.32380723303522996,6
S032,PIM-DTFM-Btrip,Sheet1,34,,,,distance_gnn_small,5,1.1522883176803589,1.3093912601470947,0.15710294246673584,4.629409599102719,CO2/N2,log10_sel_co2_n2_from_perm,5.781697916783078,5.938800859249814,0.9908204761101002,0.16146784157025873,0.31857078403699457,1.24636868719294,-0.09408036951258114,0.0630225729541547,0.31857078403699457,7
S050,PIM-TMN-Trip,Sheet1,52,,,,distance_gnn_small,3,1.2459824085235596,1.3790744543075562,0.13309204578399658,4.413299764081252,CO2/N2,log10_sel_co2_n2_from_perm,5.6592821726048115,5.792374218388808,1.0656507513945417,0.18033165712901789,0.31342370291301447,1.309762595970138,-0.06378018744657843,0.06931185833741815,0.31342370291301447,8
S051,PIM-TMN-Trip,Sheet1,53,,,,distance_gnn_small,3,1.2635414600372314,1.3802924156188965,0.11675095558166504,4.373794416714731,CO2/N2,log10_sel_co2_n2_from_perm,5.637335876751963,5.754086832333628,1.0793298882943065,0.1842115717429249,0.30096252732458995,1.3213511402254974,-0.05780968018826593,0.058941275393399106,0.30096252732458995,9
S045,PIM-TFM-Btrip,Sheet1,47,,,,distance_gnn_small,4,1.3228098154067993,1.4091110229492188,0.08630120754241943,4.264817823009537,CO2/N2,log10_sel_co2_n2_from_perm,5.587627638416336,5.673928845958756,1.117064165893058,0.2057456495137413,0.29204685705616074,1.3533184601742199,-0.030508644767420545,0.05579256277499889,0.29204685705616074,10
S052,PIM-TMN-Trip,Sheet1,54,,,,distance_gnn_small,3,1.2682374715805054,1.3812311887741089,0.11299371719360352,4.309630167425898,CO2/N2,log10_sel_co2_n2_from_perm,5.577867639006404,5.690861356200007,1.1015474261367002,0.16669004544380517,0.2796837626374087,1.340173155270623,-0.07193568369011771,0.0410580335034858,0.2796837626374087,11
S046,PIM-TFM-Btrip,Sheet1,48,,,,distance_gnn_small,4,1.3322724103927612,1.408490777015686,0.0762183666229248,4.230448921378274,CO2/N2,log10_sel_co2_n2_from_perm,5.562721331771035,5.63893969839396,1.128964755100559,0.20330765529220218,0.279526021915127,1.3634002735010788,-0.03112786310831761,0.045090503514607194,0.279526021915127,12
S039,PIM-HMI-Trip,Sheet1,41,,,,distance_gnn_small,2,1.2713898420333862,1.3313053846359253,0.05991554260253906,4.429752280002408,CO2/N2,log10_sel_co2_n2_from_perm,5.701142122035794,5.761057664638333,1.0599538968512052,0.211435945182181,0.27135148778472007,1.3049363959345979,-0.03354655390121164,0.026368988701327423,0.27135148778472007,13
