model_name,fold_id,n_train,n_test,train_mae,train_rmse,train_r2,mae,rmse,r2,mae_gap,rmse_gap
ridge,1,56,15,0.043173901779423936,0.10224005874305928,0.7054168237622368,0.16933691381768767,0.1948046096639522,-0.4655031620293426,0.12616301203826374,0.09256455092089291
ridge,2,57,14,0.058170696737221105,0.1245591952794502,0.6270554212191078,0.08538066951423287,0.10676651587450511,-0.31085188549298204,0.027209972777011766,-0.017792679404945083
ridge,3,57,14,0.035041403387723366,0.07955317486269801,0.6850752734790178,0.13453098211398706,0.2965913980912425,-0.06988249938311153,0.0994895787262637,0.2170382232285445
ridge,4,57,14,0.0528212246411309,0.1196980095012095,0.6018780540666309,0.1343484360689778,0.16727345122728832,-0.040980744442551176,0.08152721142784691,0.04757544172607882
ridge,5,57,14,0.05838556571973425,0.12450632364129963,0.6246567453276901,0.05718800912243945,0.06367196022301731,0.5726660200980054,-0.0011975565972947994,-0.060834363418282314
random_forest,1,56,15,0.02938168433525612,0.06345617158058275,0.8865215243132909,0.16515791258025883,0.19199915068240106,-0.42359651522144137,0.1357762282450027,0.1285429791018183
random_forest,2,57,14,0.03967858568038599,0.07584492487775386,0.8617243330271631,0.055574384421264715,0.09262425529126507,0.013418561505294857,0.015895798740878722,0.016779330413511206
random_forest,3,57,14,0.027972629001604382,0.045345506904309635,0.8976800662638328,0.1264745771642514,0.28402306198783794,0.01887082208994295,0.09850194816264701,0.2386775550835283
random_forest,4,57,14,0.035873242373041986,0.07418261257153984,0.8470862602324806,0.1374313275840596,0.16450217552158114,-0.006773910914892989,0.10155808521101761,0.0903195629500413
random_forest,5,57,14,0.039697984272331836,0.07169272172489335,0.8755497044150663,0.060337844383366535,0.06921156881420781,0.49507325650661993,0.020639860111034698,-0.0024811529106855412
svr,1,56,15,0.06769604593101827,0.10236926840766986,0.7046717724461606,0.14910846716886977,0.18018184951965205,-0.25374837206379763,0.0814124212378515,0.0778125811119822
svr,2,57,14,0.08022383589604522,0.12768434779425994,0.6081065220109486,0.07687489129236931,0.0866506839782228,0.13656932784695286,-0.0033489446036759074,-0.04103366381603714
svr,3,57,14,0.07235129225470553,0.10229235380072783,0.47931139661387656,0.1613453093727986,0.31595615052816434,-0.21415074035504467,0.08899401711809306,0.21366379672743652
svr,4,57,14,0.08181374349319104,0.1272771557135602,0.5498645836896103,0.14061781799310483,0.1772973377990561,-0.16948078427252922,0.05880407449991379,0.050020182085495885
svr,5,57,14,0.08456536707323795,0.12840568892457185,0.6007781280693714,0.0934623133062595,0.11431509515573103,-0.37745731966841056,0.00889694623302155,-0.014090593768840823
hist_gb,1,56,15,0.07664141677847483,0.1631750378020806,0.24963390263238727,0.16608234498017965,0.1918242783690129,-0.4210044803644952,0.08944092820170482,0.0286492405669323
hist_gb,2,57,14,0.10318527669088924,0.16790231867206987,0.32234897712586963,0.06028258153840931,0.07931198662321444,0.2766289255504384,-0.04290269515247993,-0.08859033204885543
hist_gb,3,57,14,0.0702095536861846,0.10547583825423872,0.44639793794282334,0.18074393975471906,0.343327753448987,-0.4336290895803656,0.11053438606853445,0.2378519151947483
hist_gb,4,57,14,0.08428066738094211,0.1583533693122959,0.30321807219418206,0.15814821791619801,0.2065251851100154,-0.5868457077558877,0.0738675505352559,0.04817181579771951
hist_gb,5,57,14,0.11457501991276113,0.19566349363154373,0.07303058800704265,0.08652066367082421,0.10104755767084707,-0.07627345456255497,-0.028054356241936917,-0.09461593596069666
xgboost,1,56,15,0.000688079960164286,0.000904070946434373,0.9999769659245309,0.17503584024414348,0.19951885175775122,-0.5372913183641068,0.1743477602839792,0.19861478081131684
xgboost,2,57,14,0.000785310065859229,0.00110663440733016,0.9999705624915479,0.08411974527962185,0.16908715886576448,-2.2877950376500644,0.08333443521376262,0.1679805244584343
xgboost,3,57,14,0.000757489448874019,0.00102331550591779,0.99994789122811,0.137034398203341,0.2802550746450196,0.04473041238977682,0.136276908754467,0.2792317591391018
xgboost,4,57,14,0.0008133820667160288,0.001082483873013115,0.9999674399449071,0.1472096333743622,0.16529804410475296,-0.01653910688234994,0.14639625130764616,0.16421556023173986
xgboost,5,57,14,0.0007552507263177479,0.0010130744616373341,0.9999751498776644,0.06600672754009654,0.07296867680257707,0.43876605738463914,0.0652514768137788,0.07195560234093974
