sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family,model_name,fold_id,y_true,y_pred,residual,screening_x_true,pair_label,screening_target_column,screening_score_true,screening_score_pred,upper_bound_2008_log_selectivity,distance_to_upper_bound_2008_true,distance_to_upper_bound_2008_pred,upper_bound_2019_log_selectivity,distance_to_upper_bound_2019_true,distance_to_upper_bound_2019_pred,screening_rank_score,pred_rank
S048,PIM-TMN-Trip,Sheet1,50,,,,svr,5,1.1736306605080244,1.3516514642224724,0.17802080371444795,4.722633922533812,CO2/N2,log10_sel_co2_n2_from_perm,5.8962645830418365,6.0742853867562845,0.9585405857253727,0.21509007478265174,0.3931108784970997,1.219022156412332,-0.04539149590430758,0.13262930781014037,0.3931108784970997,1
S049,PIM-TMN-Trip,Sheet1,51,,,,svr,5,1.227978007344727,1.3990708129984406,0.17109280565371354,4.52244423350632,CO2/N2,log10_sel_co2_n2_from_perm,5.750422240851047,5.92151504650476,1.0278583450839225,0.20011966226080458,0.3712124679145181,1.277746031163723,-0.04976802381899592,0.12132478183471762,0.3712124679145181,2
S050,PIM-TMN-Trip,Sheet1,52,,,,svr,5,1.2459824293330757,1.4061462043239557,0.16016377499087997,4.413299764081252,CO2/N2,log10_sel_co2_n2_from_perm,5.659282193414327,5.819445968405208,1.0656507513945417,0.180331677938534,0.34049545292941397,1.309762595970138,-0.06378016663706232,0.09638360835381765,0.34049545292941397,3
S037,PIM-HMI-Trip,Sheet1,39,,,,svr,2,1.2371823040372425,1.3190506323503137,0.08186832831307123,4.645422269349092,CO2/N2,log10_sel_co2_n2_from_perm,5.882604573386335,5.964472901699406,0.9852759227006912,0.2519063813365513,0.3337747096496225,1.2416715119959987,-0.004489207958756181,0.07737912035431505,0.3337747096496225,4
S051,PIM-TMN-Trip,Sheet1,53,,,,svr,5,1.2635414993613288,1.409411743541385,0.14587024418005634,4.373794416714731,CO2/N2,log10_sel_co2_n2_from_perm,5.63733591607606,5.783206160256117,1.0793298882943065,0.18421161106702222,0.33008185524707856,1.3213511402254974,-0.05780964086416862,0.08806060331588772,0.33008185524707856,5
S038,PIM-HMI-Trip,Sheet1,40,,,,svr,2,1.264728746097748,1.3250157485590501,0.06028700246130203,4.5910646070265,CO2/N2,log10_sel_co2_n2_from_perm,5.855793353124248,5.91608035558555,1.0040978279370456,0.2606309181607025,0.3209179206220045,1.2576168514863455,0.007111894611402603,0.06739889707270463,0.3209179206220045,6
S032,PIM-DTFM-Btrip,Sheet1,34,,,,svr,4,1.1522883443830565,1.3023711914737468,0.1500828470906903,4.629409599102719,CO2/N2,log10_sel_co2_n2_from_perm,5.781697943485776,5.931780790576466,0.9908204761101002,0.16146786827295634,0.31155071536364665,1.24636868719294,-0.09408034280988353,0.056002504280806775,0.31155071536364665,7
S052,PIM-TMN-Trip,Sheet1,54,,,,svr,5,1.268237482267674,1.4110397777673336,0.1428022954996595,4.309630167425898,CO2/N2,log10_sel_co2_n2_from_perm,5.577867649693572,5.720669945193232,1.1015474261367002,0.16669005613097387,0.3094923516306334,1.340173155270623,-0.07193567300294901,0.0708666224967105,0.3094923516306334,8
S043,PIM-TFM-Btrip,Sheet1,45,,,,svr,3,1.2651788111409092,1.327704810163439,0.06252599902252975,4.5276299008713385,CO2/N2,log10_sel_co2_n2_from_perm,5.792808712012247,5.855334711034778,1.0260627538910492,0.23911605724986007,0.3016420562723898,1.27622486150546,-0.011046050364550863,0.05147994865797889,0.3016420562723898,9
S039,PIM-HMI-Trip,Sheet1,41,,,,svr,2,1.2713897879071585,1.3601378570298266,0.08874806912266808,4.429752280002408,CO2/N2,log10_sel_co2_n2_from_perm,5.701142067909566,5.789890137032234,1.0599538968512052,0.21143589105595328,0.30018396017862137,1.3049363959345979,-0.03354660802743936,0.05520146109522872,0.30018396017862137,10
S033,PIM-DTFM-Btrip,Sheet1,35,,,,svr,4,1.20712549279565,1.3204064029891602,0.11328091019351016,4.4623979978989565,CO2/N2,log10_sel_co2_n2_from_perm,5.669523490694607,5.782804400888117,1.0486499779119571,0.15847551488369294,0.2717564250772031,1.2953600633160738,-0.08823457052042372,0.02504633967308645,0.2717564250772031,11
S044,PIM-TFM-Btrip,Sheet1,46,,,,svr,3,1.306965775744487,1.3562434282303606,0.04927765248587357,4.344392273685111,CO2/N2,log10_sel_co2_n2_from_perm,5.651358049429598,5.700635701915472,1.0895106857422359,0.21745509000225116,0.26673274248812473,1.3299759988437492,-0.02301022309926215,0.02626742938661142,0.26673274248812473,12
S040,PIM-HMI-Trip,Sheet1,42,,,,svr,2,1.2887955392469694,1.366361391868339,0.07756585262136961,4.276461804173244,CO2/N2,log10_sel_co2_n2_from_perm,5.565257343420213,5.642823196041583,1.1130323164596414,0.17576322278732803,0.25332907540869765,1.349902801281962,-0.061107262034992615,0.016458590586376998,0.25332907540869765,13
S041,PIM-HMI-Trip,Sheet1,43,,,,svr,2,1.2830417875605842,1.3692432871462614,0.08620149958567724,4.24064907462068,CO2/N2,log10_sel_co2_n2_from_perm,5.5236908621812635,5.609892361766941,1.1254328460831056,0.15760894147747861,0.24381044106315586,1.3604081487599802,-0.077366361199396,0.00883513838628125,0.24381044106315586,14
S045,PIM-TFM-Btrip,Sheet1,47,,,,svr,3,1.3228097699872232,1.360509720139364,0.03769995015214089,4.264817823009537,CO2/N2,log10_sel_co2_n2_from_perm,5.5876275929967605,5.6253275431489005,1.117064165893058,0.2057456040941652,0.2434455542463061,1.3533184601742199,-0.030508690186996645,0.007191259965144248,0.2434455542463061,15
S034,PIM-DTFM-Btrip,Sheet1,36,,,,svr,4,1.2458921300330512,1.3245298188680623,0.0786376888350111,4.359835482339888,CO2/N2,log10_sel_co2_n2_from_perm,5.60572761237294,5.684365301207951,1.0841633143243767,0.16172881570867448,0.24036650454368558,1.3254458701682499,-0.07955374013519867,-0.0009160513001875703,0.24036650454368558,16
S042,PIM-HMI-Trip,Sheet1,44,,,,svr,2,1.3095877992992466,1.3706823909766281,0.061094591677381516,4.214843848047698,CO2/N2,log10_sel_co2_n2_from_perm,5.524431647346945,5.585526239024326,1.1343681738438334,0.17521962545541325,0.23631421713279477,1.3679778837476544,-0.058390084448407764,0.0027045072289737515,0.23631421713279477,17
S046,PIM-TFM-Btrip,Sheet1,48,,,,svr,3,1.3322724378805977,1.3626356533350008,0.030363215454403125,4.230448921378274,CO2/N2,log10_sel_co2_n2_from_perm,5.562721359258871,5.593084574713275,1.128964755100559,0.20330768278003863,0.23367089823444176,1.3634002735010788,-0.03112783562048116,-0.0007646201660780338,0.23367089823444176,18
S047,PIM-TFM-Btrip,Sheet1,49,,,,svr,3,1.3345874007848224,1.3643901836097823,0.02980278282495985,4.193124598354461,CO2/N2,log10_sel_co2_n2_from_perm,5.527711999139283,5.557514781964244,1.141888689665591,0.19269871111923131,0.22250149394419116,1.3743490335549988,-0.039761632770176414,-0.009958849945216564,0.22250149394419116,19
S035,PIM-DTFM-Btrip,Sheet1,37,,,,svr,4,1.2913729621347805,1.3255930105351907,0.03422004840041026,4.227886704613674,CO2/N2,log10_sel_co2_n2_from_perm,5.519259666748455,5.553479715148865,1.129851949271127,0.1615210128636535,0.19574106126406376,1.3641518771281251,-0.07277891499334466,-0.03855886659293439,0.19574106126406376,20
S020,PIM-Btrip,Sheet1,22,,,,svr,1,1.2568914985230746,1.2891425320455527,0.032251033522478156,4.332438459915605,CO2/N2,log10_sel_co2_n2_from_perm,5.58932995843868,5.6215809919611575,1.0936498179338932,0.16324168058918143,0.19549271411165958,1.3334825443906857,-0.07659104586761112,-0.04434001234513296,0.19549271411165958,21
S031,PIM-DM-Btrip,Sheet1,33,,,,svr,1,1.3338225090602889,1.2844945320636458,-0.04932797699664304,4.342422680822207,CO2/N2,log10_sel_co2_n2_from_perm,5.676245189882495,5.626917212885853,1.0901926777307762,0.24362983132951266,0.19430185433286962,1.3305537614905385,0.0032687475697503743,-0.04605922942689267,0.19430185433286962,22
S006,PIM-1-M,Sheet1,8,,,,svr,2,1.222257305132755,1.3395243396310843,0.11726703449832931,4.151676230847047,CO2/N2,log10_sel_co2_n2_from_perm,5.373933535979802,5.4912005704781315,1.1562406174728674,0.06601668765988755,0.18328372215821687,1.386507545584161,-0.1642502404514059,-0.04698320595307659,0.18328372215821687,23
S036,PIM-DTFM-Btrip,Sheet1,38,,,,svr,4,1.300443507415629,1.3265397174059654,0.02609620999033635,4.1702617153949575,CO2/N2,log10_sel_co2_n2_from_perm,5.470705222810587,5.496801432800923,1.149805200385641,0.15063830702998815,0.1767345170203245,1.3810556580664402,-0.08061215065081107,-0.054515940660474715,0.1767345170203245,24
