sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family,model_name,fold_id,y_true,y_pred,residual,screening_x_true,pair_label,screening_target_column,screening_score_true,screening_score_pred,upper_bound_2008_log_selectivity,distance_to_upper_bound_2008_true,distance_to_upper_bound_2008_pred,upper_bound_2019_log_selectivity,distance_to_upper_bound_2019_true,distance_to_upper_bound_2019_pred,screening_rank_score,pred_rank
S032,PIM-DTFM-Btrip,Sheet1,34,,,,xgboost,4,1.1522883443830565,1.3555353879928589,0.2032470436098024,4.629409599102719,CO2/N2,log10_sel_co2_n2_from_perm,5.781697943485776,5.984944987095578,0.9908204761101002,0.16146786827295634,0.36471491188275873,1.24636868719294,-0.09408034280988353,0.10916670079991886,0.36471491188275873,1
S048,PIM-TMN-Trip,Sheet1,50,,,,xgboost,5,1.1736306605080244,1.277053952217102,0.1034232917090776,4.722633922533812,CO2/N2,log10_sel_co2_n2_from_perm,5.8962645830418365,5.999687874750914,0.9585405857253727,0.21509007478265174,0.31851336649172934,1.219022156412332,-0.04539149590430758,0.058031795804770026,0.31851336649172934,2
S045,PIM-TFM-Btrip,Sheet1,47,,,,xgboost,3,1.3228097699872232,1.42071533203125,0.09790556204402678,4.264817823009537,CO2/N2,log10_sel_co2_n2_from_perm,5.5876275929967605,5.685533155040787,1.117064165893058,0.2057456040941652,0.303651166138192,1.3533184601742199,-0.030508690186996645,0.06739687185703014,0.303651166138192,3
S036,PIM-DTFM-Btrip,Sheet1,38,,,,xgboost,4,1.300443507415629,1.4519215822219849,0.15147807480635578,4.1702617153949575,CO2/N2,log10_sel_co2_n2_from_perm,5.470705222810587,5.622183297616942,1.149805200385641,0.15063830702998815,0.30211638183634393,1.3810556580664402,-0.08061215065081107,0.07086592415554471,0.30211638183634393,4
S033,PIM-DTFM-Btrip,Sheet1,35,,,,xgboost,4,1.20712549279565,1.3498059511184692,0.14268045832281917,4.4623979978989565,CO2/N2,log10_sel_co2_n2_from_perm,5.669523490694607,5.812203949017426,1.0486499779119571,0.15847551488369294,0.3011559732065121,1.2953600633160738,-0.08823457052042372,0.054445887802395454,0.3011559732065121,5
S049,PIM-TMN-Trip,Sheet1,51,,,,xgboost,5,1.227978007344727,1.322653889656067,0.09467588231133983,4.52244423350632,CO2/N2,log10_sel_co2_n2_from_perm,5.750422240851047,5.845098123162387,1.0278583450839225,0.20011966226080458,0.2947955445721444,1.277746031163723,-0.04976802381899592,0.04490785849234391,0.2947955445721444,6
S044,PIM-TFM-Btrip,Sheet1,46,,,,xgboost,3,1.306965775744487,1.377341389656067,0.07037561391157987,4.344392273685111,CO2/N2,log10_sel_co2_n2_from_perm,5.651358049429598,5.721733663341178,1.0895106857422359,0.21745509000225116,0.28783070391383103,1.3299759988437492,-0.02301022309926215,0.04736539081231772,0.28783070391383103,7
S034,PIM-DTFM-Btrip,Sheet1,36,,,,xgboost,4,1.2458921300330512,1.3694030046463013,0.12351087461325005,4.359835482339888,CO2/N2,log10_sel_co2_n2_from_perm,5.60572761237294,5.72923848698619,1.0841633143243767,0.16172881570867448,0.28523969032192453,1.3254458701682499,-0.07955374013519867,0.043957134478051385,0.28523969032192453,8
S050,PIM-TMN-Trip,Sheet1,52,,,,xgboost,5,1.2459824293330757,1.3492838144302368,0.10330138509716114,4.413299764081252,CO2/N2,log10_sel_co2_n2_from_perm,5.659282193414327,5.762583578511489,1.0656507513945417,0.180331677938534,0.28363306303569513,1.309762595970138,-0.06378016663706232,0.03952121846009882,0.28363306303569513,9
S046,PIM-TFM-Btrip,Sheet1,48,,,,xgboost,3,1.3322724378805977,1.3955804109573364,0.06330797307673874,4.230448921378274,CO2/N2,log10_sel_co2_n2_from_perm,5.562721359258871,5.6260293323356105,1.128964755100559,0.20330768278003863,0.2666156558567774,1.3634002735010788,-0.03112783562048116,0.032180137456257585,0.2666156558567774,10
