"experiment","best_model","mae","rmse","r2","run_dir"
"co2_ch4_descriptor_2d","random_forest","0.14937295633985","0.200750270531988","-0.106367686930733","output/experiments/co2_ch4_descriptor_2d/batch_20260518-co2_ch4_descriptor_2d"
"co2_ch4_descriptor_2d_3d","random_forest","0.149658381088399","0.201752030190658","-0.1174369602307","output/experiments/co2_ch4_descriptor_2d_3d/batch_20260518-co2_ch4_descriptor_2d_3d"
"co2_ch4_graph_2d","gcn_small","0.140014531746717","0.191053698759651","-0.0020701392005229","output/experiments/co2_ch4_graph_2d/batch_20260518-co2_ch4_graph_2d"
"co2_ch4_graph_3d","distance_gnn_small","0.121176401494255","0.162517950485477","0.274913374587391","output/experiments/co2_ch4_graph_3d/rerun_20260518_co2_ch4_graph_3d"
"co2_ch4_oracle_ffv","hist_gb","0.131266577227524","0.177849781660062","-0.268674141965645","output/experiments/co2_ch4_oracle_ffv/batch_20260518-co2_ch4_oracle_ffv"
"co2_grouped_descriptor_2d","random_forest","0.346586910703363","0.449351134315016","0.416265050154498","output/experiments/co2_grouped_descriptor_2d/batch_20260518-co2_grouped_descriptor_2d"
"co2_grouped_descriptor_2d_3d","random_forest","0.345635661110678","0.448099095552392","0.419513470034374","output/experiments/co2_grouped_descriptor_2d_3d/batch_20260518-co2_grouped_descriptor_2d_3d"
"co2_grouped_graph_2d","gcn_small","0.512599916071505","0.61243185972882","-0.0843252687235654","output/experiments/co2_grouped_graph_2d/batch_20260518-co2_grouped_graph_2d"
"co2_grouped_graph_3d","distance_gnn_small","0.41982546690348","0.472618470664379","0.354248521916958","output/experiments/co2_grouped_graph_3d/debug_graph3d_after_fix"
"co2_grouped_oracle_ffv","random_forest","0.304340734624447","0.367609387929473","-0.0786106183988464","output/experiments/co2_grouped_oracle_ffv/batch_20260518-co2_grouped_oracle_ffv"
"co2_n2_descriptor_2d","random_forest","0.107742305275415","0.171609647625688","0.162946171925466","output/experiments/co2_n2_descriptor_2d/batch_20260518-co2_n2_descriptor_2d"
"co2_n2_descriptor_2d_3d","random_forest","0.109669787372343","0.173395748652482","0.145431504471531","output/experiments/co2_n2_descriptor_2d_3d/batch_20260518-co2_n2_descriptor_2d_3d"
"co2_n2_graph_2d","gcn_small","0.128836105407124","0.180377833063372","0.0752244701743223","output/experiments/co2_n2_graph_2d/batch_20260518-co2_n2_graph_2d"
"co2_n2_graph_3d","distance_gnn_small","0.119553838817167","0.176443223578332","0.115128991757927","output/experiments/co2_n2_graph_3d/rerun_20260518_co2_n2_graph_3d"
"co2_n2_oracle_ffv","ridge","0.100678008139027","0.127790847515846","-0.509333178867475","output/experiments/co2_n2_oracle_ffv/batch_20260518-co2_n2_oracle_ffv"
"ffv_pilot","random_forest","0.0289377083333335","0.0371380039444659","-0.215278457812964","output/experiments/ffv_pilot/batch_20260518-ffv_pilot"
