model_name,fold_id,convergence_type,n_iterations,final_train_loss,final_validation_loss
ridge,1,train_vs_validation_metrics_only,,,
ridge,2,train_vs_validation_metrics_only,,,
ridge,3,train_vs_validation_metrics_only,,,
ridge,4,train_vs_validation_metrics_only,,,
ridge,5,train_vs_validation_metrics_only,,,
ridge,6,train_vs_validation_metrics_only,,,
ridge,7,train_vs_validation_metrics_only,,,
ridge,8,train_vs_validation_metrics_only,,,
ridge,9,train_vs_validation_metrics_only,,,
ridge,10,train_vs_validation_metrics_only,,,
ridge,11,train_vs_validation_metrics_only,,,
ridge,12,train_vs_validation_metrics_only,,,
random_forest,1,train_vs_validation_metrics_only,,,
random_forest,2,train_vs_validation_metrics_only,,,
random_forest,3,train_vs_validation_metrics_only,,,
random_forest,4,train_vs_validation_metrics_only,,,
random_forest,5,train_vs_validation_metrics_only,,,
random_forest,6,train_vs_validation_metrics_only,,,
random_forest,7,train_vs_validation_metrics_only,,,
random_forest,8,train_vs_validation_metrics_only,,,
random_forest,9,train_vs_validation_metrics_only,,,
random_forest,10,train_vs_validation_metrics_only,,,
random_forest,11,train_vs_validation_metrics_only,,,
random_forest,12,train_vs_validation_metrics_only,,,
svr,1,train_vs_validation_metrics_only,,,
svr,2,train_vs_validation_metrics_only,,,
svr,3,train_vs_validation_metrics_only,,,
svr,4,train_vs_validation_metrics_only,,,
svr,5,train_vs_validation_metrics_only,,,
svr,6,train_vs_validation_metrics_only,,,
svr,7,train_vs_validation_metrics_only,,,
svr,8,train_vs_validation_metrics_only,,,
svr,9,train_vs_validation_metrics_only,,,
svr,10,train_vs_validation_metrics_only,,,
svr,11,train_vs_validation_metrics_only,,,
svr,12,train_vs_validation_metrics_only,,,
hist_gb,1,iterative_loss,20.0,0.0006247187500000002,0.0007568645833333337
hist_gb,2,iterative_loss,20.0,0.00046530468750000006,0.0004398411458333337
hist_gb,3,iterative_loss,20.0,0.00046530468750000006,0.0007822161458333338
hist_gb,4,iterative_loss,20.0,0.00046530468750000006,0.0007822161458333338
hist_gb,5,iterative_loss,20.0,0.0005487421875000002,0.0008075286458333335
hist_gb,6,iterative_loss,20.0,0.0004001250000000001,0.0008828333333333336
hist_gb,7,iterative_loss,20.0,0.0004001250000000001,0.0012733333333333331
hist_gb,8,iterative_loss,20.0,0.0004001250000000001,0.0012733333333333331
hist_gb,9,iterative_loss,20.0,0.0004191171875000001,0.001337486979166666
hist_gb,10,iterative_loss,20.0,0.0004191171875000001,0.001337486979166666
hist_gb,11,iterative_loss,20.0,0.0001745,0.001685791666666667
hist_gb,12,iterative_loss,20.0,0.00033836718750000023,0.0015401536458333343
xgboost,1,train_vs_validation_metrics_only,,,
xgboost,2,train_vs_validation_metrics_only,,,
xgboost,3,train_vs_validation_metrics_only,,,
xgboost,4,train_vs_validation_metrics_only,,,
xgboost,5,train_vs_validation_metrics_only,,,
xgboost,6,train_vs_validation_metrics_only,,,
xgboost,7,train_vs_validation_metrics_only,,,
xgboost,8,train_vs_validation_metrics_only,,,
xgboost,9,train_vs_validation_metrics_only,,,
xgboost,10,train_vs_validation_metrics_only,,,
xgboost,11,train_vs_validation_metrics_only,,,
xgboost,12,train_vs_validation_metrics_only,,,
