fold_id,sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family
1,S005,AO−PIM-1,Sheet1,7,,,
2,S006,PIM-1-M,Sheet1,8,,,
3,S008,Brominated vinylated PIM-1,Sheet1,10,,,
4,S009,Thiophenated vinylated PIM-1,Sheet1,11,,,
5,S010,Vinylated PIM-1,Sheet1,12,,,
6,S017,Pristine PIM-1,Sheet1,19,,,
7,S018,Pristine PIM-1,Sheet1,20,,,
8,S019,Pristine PIM-1,Sheet1,21,,,
9,S058,PIM-Trip-TB,Sheet1,60,,,
10,S059,PIM-Trip-TB,Sheet1,61,,,
11,S070,PIM-PI-12,Sheet1,72,,,
12,S079,KAUST-PI-1,Sheet1,81,,,
